taxonKey	canonicalName	year	classKey	obs	cobs	ncells	c_ncells	method	fit	ucl	lcl	em1	em2	em	em_status	growth
1311477	Vespa velutina	2004	216	6	132	6	6	correct_baseline	31.643952578371444	239.33119318207474	4.183908171219607	0	1	1	2	0.49623523715914597
1311477	Vespa velutina	2005	216	0	0	0	0	correct_baseline	24.466853159006778	134.74722914594358	4.442591564209696	0	1	1	2	0.5664289961131774
1311477	Vespa velutina	2006	216	74	389	74	74	correct_baseline	20.657343334104915	96.246895696361	4.433658151108793	0	1	1	2	0.6462206837143937
1311477	Vespa velutina	2007	216	15	0	15	0	correct_baseline	19.04494771231008	85.66206030987962	4.234196936806487	0	1	1	2	0.7366898625665941
1311477	Vespa velutina	2008	216	66	0	66	0	correct_baseline	19.17317664654556	90.66874053500531	4.054437070047459	0	1	1	2	0.8388180705069311
1311477	Vespa velutina	2009	216	19	76	19	19	correct_baseline	21.0774150206656	108.41243418476256	4.097845669586677	0	1	1	2	0.9531891442998595
1311477	Vespa velutina	2010	216	0	0	0	0	correct_baseline	25.301695368186955	140.95234184406345	4.541788948868718	1	1	4	3	1.0792503165216252
1311477	Vespa velutina	2011	216	0	0	0	0	correct_baseline	33.16583386148978	194.64349453990573	5.651216539900472	1	1	4	3	1.2135840944225345
1311477	Vespa velutina	2012	216	137	1438	137	117	correct_baseline	47.47240823463522	281.73856665373205	7.999009757033587	1	1	4	3	1.347188079523106
1311477	Vespa velutina	2013	216	63	389	56	56	correct_baseline	74.19944736980251	424.61341960177475	12.9660480235116	1	1	4	3	1.4673868008014814
1311477	Vespa velutina	2014	216	80	2560	80	80	correct_baseline	126.63949137653056	664.9832631729181	24.117239732597664	1	1	4	3	1.5700183752194705
1311477	Vespa velutina	2015	216	0	0	0	0	correct_baseline	236.01887382205658	1085.000215266364	51.34091958364863	1	1	4	3	1.6612254541435592
1311477	Vespa velutina	2016	216	0	0	0	0	correct_baseline	480.3230203335252	1862.1247297089822	123.89621392245625	1	1	4	3	1.7474850624643623
1311477	Vespa velutina	2017	216	330	5035	239	239	correct_baseline	1067.4048102902534	3442.1753623664963	330.9979617794563	1	1	4	3	1.8325422245720338
1311477	Vespa velutina	2018	216	10467	93471	3345	3292	correct_baseline	2590.2040896586705	7232.855942814509	927.5944770820057	1	1	4	3	1.9183745589436072
1311477	Vespa velutina	2019	216	7311	31630	3820	2766	correct_baseline	6863.535314667714	19026.025865149244	2475.9830218658917	1	1	4	3	2.0060897231106316
1311477	Vespa velutina	2020	216	22401	193938	12484	9148	correct_baseline	19859.613881662168	67826.32739330224	5814.914041293877	1	1	4	3	2.0963732186010358
1311477	Vespa velutina	2021	216	32100	379693	20363	16836	correct_baseline	62748.4135473349	321953.95049081364	12229.585618393297	1	1	4	3	2.1896968594021797
