taxonKey	canonicalName	year	classKey	obs	cobs	ncells	c_ncells	method	fit	ucl	lcl	em1	em2	em	em_status	growth
1311477	Vespa velutina	2004	216	0	0	0	0	correct_baseline	1520.468733489738	112040.55275209651	20.633825099337805	-1	1	-2	0	0.01034531001741376
1311477	Vespa velutina	2005	216	0	0	0	0	correct_baseline	73.20669567657893	2043.9373701216937	2.622008076286682	-1	1	-2	0	0.022658875288069313
1311477	Vespa velutina	2006	216	55	275	55	55	correct_baseline	5.8796046390584555	119.96187049216478	0.28817282166249325	-1	1	-2	0	0.04886637701771414
1311477	Vespa velutina	2007	216	0	0	0	0	correct_baseline	0.7866847337391182	16.797292702416136	0.03684360814937565	-1	1	-2	0	0.10156987746269312
1311477	Vespa velutina	2008	216	0	0	0	0	correct_baseline	0.1746587654436408	4.133568709170131	0.007379987244102487	-1	1	-2	0	0.19589015561168094
1311477	Vespa velutina	2009	216	0	0	0	0	correct_baseline	0.0637975236868269	1.5629462885947794	0.002604135572842126	-1	1	-2	0	0.3369953562020947
1311477	Vespa velutina	2010	216	0	0	0	0	correct_baseline	0.03776452993860844	0.8972627390613641	0.0015894560861581908	0	1	1	2	0.5280075023785251
1311477	Vespa velutina	2011	216	0	0	0	0	correct_baseline	0.03539431889243664	0.8091890929625519	0.0015481644781851654	0	1	1	2	0.7968905158453429
1311477	Vespa velutina	2012	216	0	0	0	0	correct_baseline	0.050849872609697616	1.1743157396614992	0.002201886134275791	1	1	4	3	1.1821985993719435
1311477	Vespa velutina	2013	216	0	0	0	0	correct_baseline	0.10741183792690431	2.683150994890498	0.004299908185862797	1	1	4	3	1.7087097916143075
1311477	Vespa velutina	2014	216	0	0	0	0	correct_baseline	0.31724103610217325	8.966867231594689	0.011223749876943587	1	1	4	3	2.3614405865789676
1311477	Vespa velutina	2015	216	0	0	0	0	correct_baseline	1.2371421435535344	39.37453834580168	0.038870822304369335	1	1	4	3	3.0674222974689105
1311477	Vespa velutina	2016	216	0	0	0	0	correct_baseline	5.987039445538394	201.05961145803536	0.17827867597324032	1	0	3	3	3.693356578349212
1311477	Vespa velutina	2017	216	194	4196	148	148	correct_baseline	33.731231043321806	1048.963448688909	1.0846859813085752	1	0	3	3	4.028751449263256
1311477	Vespa velutina	2018	216	1411	23400	605	600	correct_baseline	207.8367759265298	4910.251220536003	8.797131447547253	1	0	3	3	3.83439629752129
1311477	Vespa velutina	2019	216	1487	4609	728	578	correct_baseline	1321.574099868358	18718.05305813746	93.30874829866796	1	0	3	3	3.112369241574176
1311477	Vespa velutina	2020	216	4756	55019	3083	2076	correct_baseline	8244.515127486759	64350.18853803406	1056.2833028404148	1	0	3	3	2.1749391388043238
1311477	Vespa velutina	2021	216	7423	115068	5131	4175	correct_baseline	48433.159242406386	469704.53412410605	4994.141516165334	1	0	3	3	1.3433686409313232
1311477	Vespa velutina	2022	216	61770	412796	26709	21438	correct_baseline	259963.67790786995	15628223.028899478	4324.299295346424	0	0	0	1	0.7572342829656623
1311477	Vespa velutina	2023	216	156041	967687	43337	38940	correct_baseline	1250270.8157399911	1500435894.668019	1041.8153272966072	0	0	0	1	0.4024267738320972
