"","2015","2016","2017","2018","2019","2020","2021","2022"
"hemelboom"," 40"," 39"," 54"," 72","142","125","146","211"
"zijdeplant"," 1"," 3"," 2"," 4"," 3"," 8","17"," 1"
"struikaster","15","25","12","19","27","37","34","23"
"waterwaaier",NA," 2"," 4"," 3"," 2"," 5",NA,NA
"waterhyacint"," 1"," 3"," 8"," 1",NA,NA,NA,NA
"smalle waterpest"," 90","118"," 99","106"," 64"," 75"," 81"," 43"
"gewone gunnera",NA,NA,NA," 1",NA," 7"," 2"," 1"
"reuzenberenklauw","326","408","404","353","372","516","641","640"
"grote waternavel"," 64","131","115","104","101","110"," 96","101"
"reuzenbalsemien"," 413"," 583"," 550"," 581"," 691"," 867","1441","1185"
"verspreidbladige waterpest","4","3","3","4","3","5","3","5"
"grote waterteunisbloem"," 36"," 69"," 77","103","108","172","164","153"
"kleine waterteunisbloem","6","5","5","4","4","5","2","4"
"moerasaronskelk",NA," 2"," 8"," 4"," 5"," 7","20"," 8"
"Japans steltgras",NA,NA,NA,NA,NA,NA," 1",NA
"parelvederkruid","67","76","75","69","54","86","85","74"
"ongelijkbladig vederkruid"," 4"," 9"," 9","18","10","13","11",NA
"fraai lampenpoetsersgras",NA,NA,NA,NA,NA,NA," 1"," 1"
"treurmaina",NA,NA," 1",NA,NA,NA," 1"," 2"
"nijlgans","2642","2796","3068","3119","2975","3640","4116","3320"
"Pallas' eekhoorn",NA," 1",NA,NA,NA,NA,NA,NA
"Chinese wolhandkrab"," 54","126"," 96"," 79"," 90","139","137","111"
"zonnebaars","24","38","50","64","56","55","57","61"
"Amerikaanse stierkikker","13","33","22","28","22","30","32","14"
"Chinese muntjak"," 7","17","17","22","20","33","26"," 8"
"beverrat","10","19","21"," 7","15"," 9","10","13"
"wasbeerhond",NA," 1",NA,NA,NA,NA,NA,NA
"muskusrat","498","271","378","434","466","468","496","589"
"gevlekte rivierkreeft","21","34","31","43","44","36","24","36"
"rosse stekelstaart","26","38","27","12"," 9"," 6","10"," 3"
"Californische rivierkreeft"," 1",NA,NA,NA,NA,NA,NA,NA
"rode rivierkreeft"," 6","10","12","15","27","37","71","52"
"marmerkreeft",NA,NA," 1"," 1"," 2","10"," 4"," 2"
"wasbeer"," 4"," 6"," 7"," 6","11"," 8","17","26"
"blauwbandgrondel","38","78","88","71","94","40","51","35"
"grijze eekhoorn"," 4",NA,NA," 1",NA,NA,NA," 2"
"Amerikaanse voseekhoorn"," 1",NA,NA," 1",NA,NA,NA,NA
"Siberische grondeekhoorn","17"," 9","13"," 7"," 8"," 8","12"," 9"
"heilige ibis","42","34","22","11",NA,NA,"25",NA
"lettersierschildpad"," 95"," 90"," 95","120","144","272","373"," 32"
"Aziatische hoornaar (soort)",NA,NA,"  10"," 144"," 137"," 470"," 665","3406"
"Aziatische boomwurger"," 1",NA,NA,NA,NA,NA,NA,NA
"Afghaanse duizendknoop"," 9"," 6"," 7","10"," 8","13","11"," 1"
"watersla","2","1","9","7","1","5","2","6"
"Afrikaanse klauwkikker",NA,NA,NA,NA,NA,NA,NA," 2"
"alsemambrosia"," 64"," 39"," 58"," 77","109","153","196","143"
"watercrassula"," 60"," 77","116","150","151","150","135","167"
"invasieve duizendknopen"," 577"," 694","1002"," 972"," 908","1097","1651","1370"
"Aziatische tijgermug"," 1"," 2",NA," 2"," 2",NA,NA," 1"
"Canadese gans","2314","2447","2513","2544","2404","2711","3052","2475"
"Amerikaanse nerts"," 2",NA," 3"," 1"," 4","10"," 5"," 7"
"Noord-Aziatische modderkruiper",NA,NA,NA,NA," 1",NA,NA,NA
