Species;Soort;GBIF_code;dec_rules_FL;dec_rules_PA;GAM_FL;GAM_PA;consensus_FL;consensus_PA;FL;PA
Acacia saligna (Labill.) H.L.Wendl.;wilgacacia;2978552;NA;NA;NA;NA;NA;NA;NA;NA
Acacia cyanophylla Lindl.;wilgacacia;2980328;NA;NA;NA;NA;NA;NA;NA;NA
Ailanthus altissima (Mill.) Swingle;hemelboom;3190653;2;3;1;1;1;1;onduidelijk;onduidelijk
Alternanthera philoxeroides (Mart.) Griseb.;alligatorkruid;3084923;NA;NA;NA;NA;NA;NA;NA;NA
Andropogon virginicus L.;Amerikaans bezemgras;2706080;NA;NA;NA;NA;NA;NA;NA;NA
Asclepias syriaca L.;zijdeplant;3170247;3;3;3;NA;3;3;opkomend;opkomend
Baccharis halimifolia L.;struikaster;3129663;3;3;1;1;1;1;onduidelijk;onduidelijk
Cabomba caroliniana Gray;waterwaaier;2882443;3;3;3;NA;3;3;opkomend;opkomend
Cardiospermum grandiflorum Sw.;ballonrank;3189935;NA;NA;NA;NA;NA;NA;NA;NA
Cortaderia jubata (Lemoine ex Carrière) Stapf;hoog pampagras;2704521;NA;NA;NA;NA;NA;NA;NA;NA
Ehrharta calycina Sm.;roze rimpelgras;2702865;NA;NA;NA;NA;NA;NA;NA;NA
Eichhornia crassipes (Martius) Solms;waterhyacint;2765940;1;1;1;NA;1;1;onduidelijk;onduidelijk
Elodea nuttallii (Planch.) St. John;smalle waterpest;5329212;2;2;1;1;1;1;onduidelijk;onduidelijk
Gunnera tinctoria (Molina) Mirbel;gewone gunnera;2984306;3;NA;3;NA;3;NA;opkomend;NA
Gymnocoronis spilanthoides (D.Don ex Hook. & Arn.) DC.;smalle theeplant;6063677;NA;NA;NA;NA;NA;NA;NA;NA
Heracleum mantegazzianum Sommier & Levier;reuzenberenklauw;3034825;3;3;3;1;3;1;opkomend;onduidelijk
Heracleum persicum Fischer;Perzische berenklauw;3628745;NA;NA;NA;NA;NA;NA;NA;NA
Heracleum sosnowskyi Mandenova;Sosnowsky's berenklauw;3642949;NA;NA;NA;NA;NA;NA;NA;NA
Humulus scandens (Lour.) Merr.;oosterse hop;2984537;NA;NA;NA;NA;NA;NA;NA;NA
Hydrocotyle ranunculoides L. f.;grote waternavel;7978544;1;2;2;1;2;1;potentieel opkomend;onduidelijk
Impatiens glandulifera Royle;reuzenbalsemien;2891770;3;3;1;1;1;1;onduidelijk;onduidelijk
Lagarosiphon major (Ridley) Moss;verspreidbladige waterpest;2865565;2;2;2;NA;2;2;potentieel opkomend;potentieel opkomend
Lespedeza cuneata (Dum.Cours.) G.Don;Chinese struikklaver;8114276;NA;NA;NA;NA;NA;NA;NA;NA
Lespedeza juncea var. sericea (Thunb.) Lace & Hauech;Chinese struikklaver;2955720;NA;NA;NA;NA;NA;NA;NA;NA
Ludwigia grandiflora (Michx.) Greuter & Burdet;grote waterteunisbloem;5421039;3;3;1;0;1;0;onduidelijk;niet opkomend
Ludwigia peploides (Kunth) P.H. Raven;kleine waterteunisbloem;5420991;3;3;3;NA;3;3;opkomend;opkomend
Lygodium japonicum (Thunb.) Sw.;Japanse klimvaren;2650436;NA;NA;NA;NA;NA;NA;NA;NA
Lysichiton americanus Hultén & H. St. John;moerasaronskelk;2869311;2;1;2;NA;2;1;potentieel opkomend;onduidelijk
Microstegium vimineum (Trin.) A. Camus;Japans steltgras;5289808;NA;NA;NA;NA;NA;NA;NA;NA
Myriophyllum aquaticum (Vell.) Verdc.;parelvederkruid;5361785;2;2;0;1;0;1;niet opkomend;onduidelijk
Myriophyllum heterophyllum Michaux;ongelijkbladig vederkruid;5361762;2;2;2;NA;2;2;potentieel opkomend;potentieel opkomend
Parthenium hysterophorus L.;schijnambrosia;3086784;0;NA;0;NA;0;NA;niet opkomend;NA
Cenchrus setaceus (Forssk.) Morrone;fraai lampenpoetsersgras;5828232;NA;NA;NA;NA;NA;NA;NA;NA
Persicaria perfoliata (L.) H. Gross;gestekelde duizendknoop;4033648;NA;NA;NA;NA;NA;NA;NA;NA
Polygonum perfoliatum L.;gestekelde duizendknoop;5334406;NA;NA;NA;NA;NA;NA;NA;NA
Prosopis juliflora (Sw.) DC.;mesquite;5358460;NA;NA;NA;NA;NA;NA;NA;NA
Pueraria montana (Lour.) Merr. var. lobata (Willd.);kudzu;2977647;NA;NA;NA;NA;NA;NA;NA;NA
Pueraria lobata (Willd.) Ohwi;kudzu;2977654;NA;NA;NA;NA;NA;NA;NA;NA
Salvinia molesta D.S.Mitch.;grote vlotvaren;5274863;NA;NA;NA;NA;NA;NA;NA;NA
Salvinia adnata Desv.;grote vlotvaren;5579439;NA;NA;NA;NA;NA;NA;NA;NA
Triadica sebífera (L.) Small;talgboom;3054399;NA;NA;NA;NA;NA;NA;NA;NA
Sapium sebiferum (L.) Roxb.;talgboom;7748792;NA;NA;NA;NA;NA;NA;NA;NA
Acridotheres tristis Linnaeus, 1766;treurmaina;2489005;1;1;1;NA;1;1;onduidelijk;onduidelijk
