Species;Soort;GBIF_code;dec_rules_FL;dec_rules_PA;GAM_FL;GAM_PA;consensus_FL;consensus_PA;FL;PA
Alopochen aegyptiacus Linnaeus, 1766;nijlgans;2498252;3;2;3;1;3;1;opkomend;onduidelijk
Arthurdendyus triangulatus (Dendy, 1894) Jones & Gerard (1999);Arthurdendyus triangulatus;2502792;NA;NA;NA;NA;NA;NA;NA;NA
Callosciurus erythraeus Pallas, 1779;Pallas' eekhoorn;2437394;1;0;1;NA;1;0;onduidelijk;niet opkomend
Corvus splendens Viellot, 1817;huiskraai;2482499;0;NA;0;NA;0;NA;niet opkomend;NA
Eriocheir sinensis H. Milne Edwards, 1854;Chinese wolhandkrab;2225776;3;2;1;1;1;1;onduidelijk;onduidelijk
Herpestes javanicus É. Geoffroy Saint-Hilaire, 1818;Indische mangoeste;2434271;NA;NA;NA;NA;NA;NA;NA;NA
Lepomis gibbosus Linnaeus, 1758;zonnebaars;2394486;2;1;3;1;3;1;opkomend;onduidelijk
Lithobates (Rana) catesbeianus Shaw, 1802;Amerikaanse stierkikker;2427091;2;2;2;NA;2;2;potentieel opkomend;potentieel opkomend
Muntiacus reevesi Ogilby, 1839;Chinese muntjak;2440946;3;3;3;NA;3;3;opkomend;opkomend
Myocastor coypus Molina, 1782;beverrat;4264680;2;3;2;NA;2;3;potentieel opkomend;opkomend
Nasua nasua L., 1766;rode neusbeer;2433536;NA;NA;NA;NA;NA;NA;NA;NA
Nyctereutes procyonoides Gray, 1834;wasbeerhond;2434552;1;NA;1;NA;1;NA;onduidelijk;NA
Ondatra zibethicus Linnaeus, 1766;muskusrat;5219858;1;2;0;1;0;1;niet opkomend;onduidelijk
Orconectes limosus Rafinesque, 1817;gevlekte rivierkreeft;2227000;NA;NA;NA;NA;NA;NA;NA;NA
Faxonius limosus Rafinesque, 1817;gevlekte rivierkreeft;8909595;2;2;1;1;1;1;onduidelijk;onduidelijk
Orconectes virilis Hagen, 1870;geknobbelde Amerikaanse rivierkreeft;2227064;NA;NA;NA;NA;NA;NA;NA;NA
Faxonius virilis Hagen, 1870;geknobbelde Amerikaanse rivierkreeft;8971201;NA;NA;NA;NA;NA;NA;NA;NA
Oxyura jamaicensis Gmelin, 1789;rosse stekelstaart;2498305;1;1;0;1;0;1;niet opkomend;onduidelijk
Pacifastacus leniusculus Dana, 1852;Californische rivierkreeft;2226990;0;0;0;NA;0;0;niet opkomend;niet opkomend
Perccottus glenii Dybowski, 1877;amoergrondel;2390064;NA;NA;NA;NA;NA;NA;NA;NA
Plotosus lineatus (Thunberg, 1787);gestreepte koraalmeerval;7965247;NA;NA;NA;NA;NA;NA;NA;NA
Procambarus clarkii Girard, 1852;rode rivierkreeft;2227300;3;2;3;NA;3;2;opkomend;potentieel opkomend
Procambarus fallax (Hagen, 1870) f. virginalis;marmerkreeft;8879526;NA;NA;NA;NA;NA;NA;NA;NA
Procambarus virginalis Lyko, 2017;marmerkreeft;9442269;3;1;3;NA;3;1;opkomend;onduidelijk
Procyon lotor L., 1758;wasbeer;5218786;2;3;2;NA;2;3;potentieel opkomend;opkomend
Pseudorasbora parva Temminck & Schlegel, 1846;blauwbandgrondel;2362868;1;1;1;1;1;1;onduidelijk;onduidelijk
Sciurus carolinensis Gmelin, 1788;grijze eekhoorn;5219681;1;0;1;NA;1;0;onduidelijk;niet opkomend
Sciurus niger L., 1758;Amerikaanse voseekhoorn;5219683;1;NA;1;NA;1;NA;onduidelijk;NA
Tamias sibiricus Laxmann, 1769;Siberische grondeekhoorn;2437450;1;1;1;NA;1;1;onduidelijk;onduidelijk
Threskiornis aethiopicus Latham, 1790;heilige ibis;2480764;1;1;1;1;1;1;onduidelijk;onduidelijk
Trachemys scripta Schoepff, 1792;lettersierschildpad;2443002;3;2;3;NA;3;2;opkomend;potentieel opkomend
Vespa velutina nigrithorax de Buysson, 1905;Aziatische hoornaar (ondersoort);6247411;NA;NA;NA;NA;NA;NA;NA;NA
Vespa velutina Lepeletier, 1836;Aziatische hoornaar (soort);1311477;3;3;3;NA;3;3;opkomend;opkomend
Ameiurus melas (Rafinesque, 1820);zwarte dwergmeerval;2340977;0;NA;0;NA;0;NA;niet opkomend;NA
Axis axis (Erxleben, 1777);axishert;2440934;NA;NA;NA;NA;NA;NA;NA;NA
Callosciurus finlaysonii (Horsfield, 1823);Thailandeekhoorn;2437399;NA;NA;NA;NA;NA;NA;NA;NA
Celastrus orbiculatus Thunb.;Aziatische boomwurger;3169169;0;0;0;NA;0;0;niet opkomend;niet opkomend
Channa argus (Cantor, 1842);noordelijke slangekopvis;4284921;NA;NA;NA;NA;NA;NA;NA;NA
Faxonius rusticus (Girard, 1852);roestbruine Amerikaanse rivierkreeft;8979506;NA;NA;NA;NA;NA;NA;NA;NA
Fundulus heteroclitus (Linnaeus, 1766);Fundulus heteroclitus;5712056;NA;NA;NA;NA;NA;NA;NA;NA
Gambusia affinis (Baird & Girard, 1853);Gambusia affinis;2350580;NA;NA;NA;NA;NA;NA;NA;NA
Gambusia holbrooki Girard, 1859;Gambusia holbrooki;2350570;NA;NA;NA;NA;NA;NA;NA;NA
Hakea sericea Schrad. & J.C.Wendl.;hakea;7287606;NA;NA;NA;NA;NA;NA;NA;NA
Koenigia polystachya (Wall. ex Meisn.) T.M.Schust. & Reveal;Afghaanse duizendknoop;8848208;3;2;3;NA;3;2;opkomend;potentieel opkomend
Lampropeltis getula (Linnaeus, 1766);gewone koningsslang;9799308;0;NA;0;NA;0;NA;niet opkomend;NA
Limnoperna fortunei (Dunker, 1857);Limnoperna fortunei;5855350;NA;NA;NA;NA;NA;NA;NA;NA
Morone americana (Gmelin, 1789);Morone americana;2394604;NA;NA;NA;NA;NA;NA;NA;NA
Pistia stratiotes L.;watersla;2870583;2;2;2;NA;2;2;potentieel opkomend;potentieel opkomend
Pycnonotus cafer (Linnaeus, 1766);Pycnonotus cafer;2486131;0;0;0;NA;0;0;niet opkomend;niet opkomend
Rugulopteryx okamurae (E.Y.Dawson) I.K.Hwang, W.J.Lee & H.S.Kim, 2009;stomp gaffelwier;5824863;NA;NA;NA;NA;NA;NA;NA;NA
Solenopsis geminata (Fabricius, 1804);Solenopsis geminata;5035187;NA;NA;NA;NA;NA;NA;NA;NA
Solenopsis invicta Buren, 1972;Solenopsis invicta;5035230;NA;NA;NA;NA;NA;NA;NA;NA
Solenopsis richteri Forel, 1909;Solenopsis richteri;5035017;NA;NA;NA;NA;NA;NA;NA;NA
Wasmannia auropunctata (Roger, 1863);Wasmannia auropunctata;1315391;NA;NA;NA;NA;NA;NA;NA;NA
Xenopus laevis (Daudin, 1802);Afrikaanse klauwkikker;5217334;NA;NA;NA;NA;NA;NA;NA;NA
Ambrosia artemisiifolia L.;alsemambrosia;8002952;3;3;0;0;0;0;niet opkomend;niet opkomend
Crassula helmsii (Kirk) Cockayne;watercrassula;5362054;2;2;1;0;1;0;onduidelijk;niet opkomend
Reynoutria japonica Houtt.;invasieve duizendknopen;2889173;3;2;1;1;1;1;onduidelijk;onduidelijk
Fallopia japonica (Houtt.) Ronse Decr.;invasieve duizendknopen;5334357;NA;NA;NA;NA;NA;NA;NA;NA
Reynoutria sachalinensis (F.Schmidt) Nakai;invasieve duizendknopen;2889088;3;2;1;NA;1;2;onduidelijk;potentieel opkomend
Fallopia sachalinensis (F.Schmidt) Ronse Decr.;invasieve duizendknopen;5334293;NA;NA;NA;NA;NA;NA;NA;NA
Reynoutria ×bohemica Chrtek & Chrtková;invasieve duizendknopen;4038485;2;2;1;NA;1;2;onduidelijk;potentieel opkomend
Fallopia ×bohemica (Chrtek & Chrtková) J.P.Bailey;invasieve duizendknopen;5652296;NA;NA;NA;NA;NA;NA;NA;NA
Aedes albopictus (Skuse, 1894);Aziatische tijgermug;1651430;1;1;1;NA;1;1;onduidelijk;onduidelijk
Branta canadensis (Linnaeus, 1758);Canadese gans;5232437;3;2;3;1;3;1;opkomend;onduidelijk
Mustela vison Schreber, 1777;Amerikaanse nerts;5218823;3;3;3;NA;3;3;opkomend;opkomend
Misgurnus bipartitus (Sauvage & Dabry de Thiersant, 1874);Noord-Aziatische modderkruiper;2367911;NA;NA;NA;NA;NA;NA;NA;NA
