taxonKey	year	em_status	dr_1	dr_2	dr_3	dr_4
1311477	2018	3	FALSE	TRUE	FALSE	TRUE
1651430	2018	3	FALSE	TRUE	FALSE	TRUE
2225776	2018	1	FALSE	FALSE	FALSE	FALSE
2226990	2018	1	FALSE	FALSE	FALSE	FALSE
2227300	2018	3	FALSE	TRUE	FALSE	TRUE
2340977	2018	0	TRUE	FALSE	TRUE	FALSE
2362868	2018	1	FALSE	FALSE	FALSE	FALSE
2394486	2018	2	FALSE	TRUE	FALSE	FALSE
2427091	2018	2	FALSE	TRUE	FALSE	FALSE
2434552	2018	1	FALSE	FALSE	FALSE	FALSE
2437394	2018	1	FALSE	FALSE	FALSE	FALSE
2437450	2018	2	FALSE	TRUE	FALSE	FALSE
2440946	2018	2	FALSE	TRUE	FALSE	FALSE
2443002	2018	3	FALSE	TRUE	FALSE	TRUE
2480764	2018	1	FALSE	FALSE	FALSE	FALSE
2482499	2018	0	TRUE	FALSE	TRUE	FALSE
2486131	2018	0	TRUE	FALSE	TRUE	FALSE
2489005	2018	1	FALSE	FALSE	FALSE	FALSE
2498252	2018	2	FALSE	TRUE	FALSE	FALSE
2498305	2018	1	FALSE	FALSE	FALSE	FALSE
2765940	2018	1	FALSE	FALSE	FALSE	FALSE
2865565	2018	2	FALSE	TRUE	FALSE	FALSE
2869311	2018	2	FALSE	TRUE	FALSE	FALSE
2870583	2018	2	FALSE	TRUE	FALSE	FALSE
2882443	2018	2	FALSE	TRUE	FALSE	FALSE
2889088	2018	3	FALSE	TRUE	FALSE	TRUE
2889173	2018	2	FALSE	TRUE	FALSE	FALSE
2891770	2018	3	FALSE	TRUE	FALSE	TRUE
2984306	2018	3	FALSE	TRUE	FALSE	TRUE
3034825	2018	2	FALSE	TRUE	FALSE	FALSE
3086784	2018	0	TRUE	FALSE	TRUE	FALSE
3129663	2018	3	FALSE	TRUE	FALSE	TRUE
3169169	2018	0	FALSE	FALSE	TRUE	FALSE
3170247	2018	3	FALSE	TRUE	FALSE	TRUE
3190653	2018	3	FALSE	TRUE	FALSE	TRUE
4038485	2018	2	FALSE	TRUE	FALSE	FALSE
4264680	2018	2	FALSE	TRUE	FALSE	FALSE
5218786	2018	2	FALSE	TRUE	FALSE	FALSE
5218823	2018	1	FALSE	FALSE	FALSE	FALSE
5219681	2018	2	FALSE	TRUE	FALSE	FALSE
5219683	2018	1	FALSE	FALSE	FALSE	FALSE
5219858	2018	2	FALSE	TRUE	FALSE	FALSE
5232437	2018	2	FALSE	TRUE	FALSE	FALSE
5329212	2018	2	FALSE	TRUE	FALSE	FALSE
5361762	2018	3	FALSE	TRUE	FALSE	TRUE
5361785	2018	2	FALSE	TRUE	FALSE	FALSE
5362054	2018	2	FALSE	TRUE	FALSE	FALSE
5420991	2018	2	FALSE	TRUE	FALSE	FALSE
5421039	2018	3	FALSE	TRUE	FALSE	TRUE
7978544	2018	2	FALSE	TRUE	FALSE	FALSE
8002952	2018	3	FALSE	TRUE	FALSE	TRUE
8848208	2018	3	FALSE	TRUE	FALSE	TRUE
