"","soort.x","GBIF_canonicalName","reg","status.vlaanderen","status.natura2000"
"1","Acacia mearnsii","Acacia mearnsii",1,NA,NA
"2","wilgacacia","Acacia saligna",1,NA,NA
"3","kuifmania","Acridotheres cristatellus",1,"onvoldoende data","onvoldoende data"
"4","treurmaina","Acridotheres tristis",1,"onvoldoende data","onvoldoende data"
"5","hemelboom","Ailanthus altissima",1,"opkomend","opkomend"
"6","nijlgans","Alopochen aegyptiaca",1,"opkomend","opkomend"
"7","alligatorkruid","Alternanthera philoxeroides",1,NA,NA
"8","zwarte dwergmeerval","Ameiurus melas",1,"onvoldoende data","onvoldoende data"
"9","Amerikaans bezemgras","Andropogon virginicus",1,NA,NA
"10","Nieuw-Zeelandse platworm","Arthurdendyus triangulatus",1,NA,NA
"11","zijdeplant","Asclepias syriaca",1,"onduidelijk","niet opkomend"
"12","Noord-Atlantische zeester","Asterias amurensis",1,NA,NA
"13","axishert","Axis axis",1,NA,NA
"14","struikaster","Baccharis halimifolia",1,"onduidelijk","onduidelijk"
"15","hamerhoofdplatworm","Bipalium kewense",1,"onvoldoende data","onvoldoende data*"
"16","papiermoerbei","Broussonetia papyrifera",1,"opkomend","onvoldoende data"
"17","waterwaaier","Cabomba caroliniana",1,"onduidelijk","onvoldoende data"
"18","Pallas' eekhoorn","Callosciurus erythraeus",1,"niet opkomend","onvoldoende data"
"19","Thailandeekhoorn","Callosciurus finlaysonii",1,NA,NA
"20","ballonrank","Cardiospermum grandiflorum",1,NA,NA
"21","Canadese bever","Castor canadensis",1,NA,NA
"22","Aziatische boomwurger","Celastrus orbiculatus",1,"onvoldoende data","onvoldoende data"
"23","fraai lampenpoetsersgras","Cenchrus setaceus",1,"onvoldoende data","onvoldoende data*"
"24","sikahert","Cervus nippon",1,"onvoldoende data","niet opkomend"
"25","noordelijke slangekopvis","Channa argus",1,NA,NA
"26","gewone yabby","Cherax destructor",1,NA,NA
"27","Cipangopaludina chinensis","Cipangopaludina chinensis",1,"onduidelijk","opkomend"
"28","hoog pampagras","Cortaderia jubata",1,NA,NA
"29","huiskraai","Corvus splendens",1,NA,NA
"30","watercrassula","Crassula helmsii",1,"onduidelijk","onduidelijk"
"31","Delairea odorata","Delairea odorata",1,NA,NA
"32","roze rimpelgras","Ehrharta calycina",1,NA,NA
"33","smalle waterpest","Elodea nuttallii",1,"niet opkomend","niet opkomend"
"34","Chinese wolhandkrab","Eriocheir sinensis",1,"opkomend","opkomend"
"35","calicotrivierkreeft","Faxonius immunis",1,NA,NA
"36","gevlekte Amerikaanse rivierkreeft","Faxonius limosus",1,"opkomend","opkomend"
"37","roestbruine Amerikaanse rivierkreeft","Faxonius rusticus",1,NA,NA
"38","geknobbelde Amerikaanse rivierkreeft","Faxonius virilis",1,"onvoldoende data*","onvoldoende data*"
"39","mummichog","Fundulus heteroclitus",1,NA,NA
"40","westelijk muskietenvisje","Gambusia affinis",1,NA,NA
"41","oostelijk muskietenvisje","Gambusia holbrooki",1,NA,NA
"42","gewone gunnera","Gunnera tinctoria",1,"onvoldoende data","onvoldoende data"
"43","smalle theeplant","Gymnocoronis spilanthoides",1,NA,NA
"44","hakea","Hakea sericea",1,NA,NA
"45","reuzenberenklauw","Heracleum mantegazzianum",1,"opkomend","opkomend"
"46","Perzische berenklauw","Heracleum persicum",1,NA,NA
"47","Sosnowsky's berenklauw","Heracleum sosnowskyi",1,NA,NA
"48","Indische mangoeste","Herpestes javanicus",1,NA,NA
"49","oosterse hop","Humulus scandens",1,NA,NA
"50","grote waternavel","Hydrocotyle ranunculoides",1,"onduidelijk","onduidelijk"
"51","reuzenbalsemien","Impatiens glandulifera",1,"opkomend","opkomend"
"52","Afghaanse duizendknoop","Koenigia polystachya",1,"onduidelijk","niet opkomend"
"53","verspreidbladige waterpest","Lagarosiphon major",1,"onvoldoende data","onvoldoende data"
