"soort","GBIF_canonicalName","status.vlaanderen","status.natura2000"
"Afrikaanse klauwkikker","Xenopus laevis","onvoldoende data","onvoldoende data*"
"Amerikaanse nerts","Mustela vison","niet opkomend","onvoldoende data"
"Amerikaanse rode eekhoorn","Tamiasciurus hudsonicus","onvoldoende data","onvoldoende data"
"Amerikaanse stierkikker","Lithobates catesbeianus","opkomend","opkomend"
"Amerikaanse voseekhoorn","Sciurus niger","onvoldoende data","onvoldoende data*"
"Aziatische hoornaar","Vespa velutina","opkomend","niet opkomend"
"Aziatische tijgermug","Aedes albopictus","opkomend","onvoldoende data"
"Californische rivierkreeft","Pacifastacus leniusculus","onvoldoende data","onvoldoende data"
"Canadese gans","Branta canadensis","opkomend","opkomend"
"Chinese muntjak","Muntiacus reevesi","niet opkomend","niet opkomend"
"Chinese weekschildpad","Pelodiscus sinensis","onvoldoende data","onvoldoende data"
"Chinese wolhandkrab","Eriocheir sinensis","opkomend","opkomend"
"Cipangopaludina chinensis","Cipangopaludina chinensis","onduidelijk","opkomend"
"Noord-Aziatische modderkruiper","Misgurnus mohoity","potentieel opkomend","potentieel opkomend"
"Pallas' eekhoorn","Callosciurus erythraeus","niet opkomend","onvoldoende data"
"Siberische grondeekhoorn","Tamias sibiricus","opkomend","opkomend"
"Turkse rivierkreeft","Pontastacus leptodactylus","opkomend","onvoldoende data"
"beverrat","Myocastor coypus","niet opkomend","niet opkomend"
"blauwbandgrondel","Pseudorasbora parva","onduidelijk","onduidelijk"
"damhert","Dama dama","opkomend","opkomend"
"geknobbelde Amerikaanse rivierkreeft","Faxonius virilis","onvoldoende data*","onvoldoende data*"
"gestreepte Amerikaanse rivierkreeft","Procambarus acutus","niet opkomend","niet opkomend"
"gevlekte Amerikaanse rivierkreeft","Faxonius limosus","opkomend","opkomend"
"gewone koningsslang","Lampropeltis getula","onvoldoende data","onvoldoende data"
"grijze eekhoorn","Sciurus carolinensis","onvoldoende data","onvoldoende data"
"grote Alexanderparkiet","Psittacula eupatria","onduidelijk","onvoldoende data"
"grote agaatslak","Lissachatina fulica","onvoldoende data","onvoldoende data*"
"grote gevlekte landplatworm","Obama nungara","onduidelijk","onvoldoende data"
"halsbandparkiet","Psittacula krameri","opkomend","onduidelijk"
"hamerhoofdplatworm","Bipalium kewense","onvoldoende data","onvoldoende data*"
"heilige ibis","Threskiornis aethiopicus","niet opkomend","onduidelijk"
"kuifmania","Acridotheres cristatellus","onvoldoende data","onvoldoende data"
"lettersierschildpad","Trachemys scripta","niet opkomend","niet opkomend"
"marmerkreeft","Procambarus virginalis","niet opkomend","onvoldoende data"
"monniksparkiet","Myiopsitta monachus","onduidelijk","onduidelijk"
"muskusrat","Ondatra zibethicus","niet opkomend","niet opkomend"
"nijlgans","Alopochen aegyptiaca","opkomend","opkomend"
"prachtslang","Elaphe taeniura","onduidelijk","onvoldoende data"
"rode Amerikaanse rivierkreeft","Procambarus clarkii","opkomend","opkomend"
"rode neusbeer","Nasua nasua","onvoldoende data","onvoldoende data*"
"rosse stekelstaart","Oxyura jamaicensis","potentieel opkomend","onduidelijk"
"sikahert","Cervus nippon","onvoldoende data","niet opkomend"
"treurmaina","Acridotheres tristis","onvoldoende data","onvoldoende data"
"wasbeer","Procyon lotor","opkomend","opkomend"
"wasbeerhond","Nyctereutes procyonoides","onvoldoende data","onvoldoende data"
"zonnebaars","Lepomis gibbosus","opkomend","opkomend"
"zwarte dwergmeerval","Ameiurus melas","onvoldoende data","onvoldoende data"
"Afghaanse duizendknoop","Koenigia polystachya","onduidelijk","niet opkomend"
"Aziatische boomwurger","Celastrus orbiculatus","onvoldoende data","onvoldoende data"
"Canadese guldenroede","Solidago canadensis","niet opkomend","niet opkomend"
"Hyacinthoides ×massartiana","Hyacinthoides massartiana","niet opkomend","opkomend"
"Hydrocharis laevigata","Hydrocharis laevigata","onvoldoende data","onvoldoende data*"
"Japans hoefblad","Petasites japonicus","niet opkomend","niet opkomend"
"Japans steltgras","Microstegium vimineum","onvoldoende data","onvoldoende data*"
"Japanse duizendknoop","Reynoutria japonica","onduidelijk","opkomend"
"Japanse x Sachalinse duizendknoop","Reynoutria bohemica","onduidelijk","niet opkomend"
"Kaapse waterlelie","Aponogeton distachyos","onduidelijk","onduidelijk"
"Leidse plant","Saururus cernuus","onduidelijk","onvoldoende data"
"Mantsjoerese wilde rijst","Zizania latifolia","onduidelijk","onvoldoende data"
