"","Soort","Buffer","Overlap"
"1","Chinese wolhandkrab","10",0.249908929355626
"2","heilige ibis","10",0.313837945621524
"3","nijlgans","10",0.212676722606109
"4","invasieve duizendknopen","10",0.120842339538564
"5","reuzenbalsemien","10",0.317439221596012
"6","boksdoorn","10",0.588927093244275
"7","rimpelroos","10",0.393917974636508
"8","mahonie","10",0.370635487846687
"9","reuzenberenklauw","10",0.117664997915999
"10","vijfbladige wingerd","10",0.14604720497189
"11","struikaster","10",0.292147530484718
"12","hemelboom","10",0.0567082388404521
"13","Canadese gans","10",0.275156394509961
"14","smalle waterpest","10",0.377221607081495
"15","watercrassula","10",0.379194748643416
"16","late guldenroede","10",0.184551074680831
"17","Canadese guldenroede","10",0.222981133684556
"18","grote waternavel","10",0.148965840485808
"19","sneeuwbes","10",0.175333132399196
"20","verspreidbladige waterpest","10",0.159426644154905
"21","zonnebaars","10",0.373899132097882
"22","muskusrat","10",0.155669836810609
"23","rosse stekelstaart","10",0.130972578526734
"24","parelvederkruid","10",0.355234325683818
"25","Chinese muntjak","10",0.0846935042960397
"26","Japans hoefblad","10",0.0654703837061993
"27","Amerikaanse hondsvis","10",0.704455881216595
"28","Siberische grondeekhoorn","10",0.485979106089152
"29","blauwbandgrondel","10",0.222729640306713
"30","lettersierschildpad","10",0.263281372292936
"31","smalle olijfwilg","10",0.394350644106244
"32","Amerikaanse nerts","10",0.227753376855397
"33","zwartbekgrondel","10",0.121037558809704
"34","Chinese prachtslang","10",0.00151141651757532
"35","gevlekte Amerikaanse rivierkreeft","10",0.204162441389818
"36","Amerikaanse stierkikker","10",0.484172472207944
"37","beverrat","10",0.60534353380553
"38","moerashyacint","10",0.443968541656935
"39","valse wingerd","10",0.146034884555221
"40","Afghaanse duizendknoop","10",0.314364549537918
"41","wasbeer","10",0.348428419831436
"42","grote waterteunisbloem","10",0.252989443394239
"43","gele maskerbloem","10",0.218605103523756
"44","rode Amerikaanse rivierkreeft","10",0.0475672151758444
"45","marmergrondel","10",0.150439908976728
"46","kleine waterteunisbloem","10",0.0195386086659416
"47","egeria","10",0.0756287621935272
"48","ongelijkbladig vederkruid","10",0.258290030443293
"49","zijdeplant","10",0.089317203236988
"50","gestreepte Amerikaanse rivierkreeft","10",0.411304561173543
"51","Kaapse waterlelie","10",0.0285454030540719
"52","watersla","10",0.302119990355584
"53","moerasaronskelk","10",0.168038912522018
"54","waterwaaier","10",0.0341028465421144
"55","Chinese moerasslak","10",0.762814401301919
"56","waterhyacint","10",0.3571428571429
"57","Aziatische hoornaar (soort)","10",0.0222936500818602
"58","Leidse plant","10",0.355864048269285
"59","moerasanemoon","10",0.102305380856505
"60","sikahert","10",0.686916626798021
"61","Chinese wolhandkrab","20",0.245500074232225
"62","heilige ibis","20",0.333252761388348
"63","nijlgans","20",0.202189478265077
"64","invasieve duizendknopen","20",0.121640868996524
"65","reuzenbalsemien","20",0.30422867873042
"66","boksdoorn","20",0.544747882185479
"67","rimpelroos","20",0.324334631081933
"68","mahonie","20",0.283193211803234
