"","Soort","Buffer","Gebied","Overlap"
"81","reuzenberenklauw",30,"Hoge Kempen tot Voeren",0.0554257094649079
"82","reuzenberenklauw",30,"Kust & Westhoek",0.128699547523067
"83","reuzenberenklauw",30,"Lage tot aan Hoge Kempen",0.0529028124247367
"84","reuzenberenklauw",30,"Taxandria",0.0347199697819214
"85","reuzenberenklauw",30,"Vlaamse Ardennen & Schelde-Leie",0.186593609729501
"86","reuzenberenklauw",30,"Zandig Vlaanderen",0.0879589656684083
"87","Chinese muntjak",30,"Antwerpse Kempen",0.367643108466325
"88","Chinese muntjak",30,"Demerland & Zuiderkempen",0.0246027853826098
"89","Chinese muntjak",30,"Groene Gordels",0.471275830269919
"90","Chinese muntjak",30,"Hoge Kempen tot Voeren",0.000779356877464141
"91","Chinese muntjak",30,"Kust & Westhoek",0.00292867604189124
"92","Chinese muntjak",30,"Taxandria",0.0477492224653032
"93","Chinese muntjak",30,"Vlaamse Ardennen & Schelde-Leie",0.0721401465510728
"94","Chinese muntjak",30,"Zandig Vlaanderen",0.0128808739454138
"95","watercrassula",40,"Antwerpse Kempen",0.431298015974932
"96","watercrassula",40,"Brabantse Wouden",0.012202853752411
"97","watercrassula",40,"Demerland & Zuiderkempen",0.0325477359993862
"98","watercrassula",40,"Groene Gordels",0.0268510958342364
"99","watercrassula",40,"Hoge Kempen tot Voeren",0.00179203146024296
"100","watercrassula",40,"Kust & Westhoek",0.0880786041321435
"101","watercrassula",40,"Lage tot aan Hoge Kempen",0.0123751917248514
"102","watercrassula",40,"Taxandria",0.280929024317771
"103","watercrassula",40,"Vlaamse Ardennen & Schelde-Leie",0.012360640585247
"104","watercrassula",40,"Zandig Vlaanderen",0.0997727747585366
"105","struikaster",40,"Groene Gordels",0.0216438772718107
"106","struikaster",40,"Kust & Westhoek",0.872978544247629
"107","struikaster",40,"Vlaamse Ardennen & Schelde-Leie",0.039995722699613
"108","struikaster",40,"Zandig Vlaanderen",0.0653818557809473
"109","reuzenberenklauw",40,"Antwerpse Kempen",0.121904245485349
"110","reuzenberenklauw",40,"Brabantse Wouden",0.0723273675457726
"111","reuzenberenklauw",40,"Demerland & Zuiderkempen",0.0712242906471971
"112","reuzenberenklauw",40,"Groene Gordels",0.187832136070191
"113","reuzenberenklauw",40,"Hoge Kempen tot Voeren",0.0581698277540198
