"","Soort","Buffer","Type","Overlap"
"1","watercrassula",10,"Agentschap voor Natuur en Bos",0.401915416228572
"2","watercrassula",10,"Andere Vlaamse overheid",0.0921548878009972
"3","watercrassula",10,"Bestuur",0.0789211131885511
"4","watercrassula",10,"Natuurlijke persoon",0.0230044632580154
"5","watercrassula",10,"Privaatrechtelijke rechtspersoon",0.350253317456222
"6","struikaster",10,"Agentschap voor Natuur en Bos",0.355788834116211
"7","struikaster",10,"Andere Vlaamse overheid",0.0706505984721446
"8","struikaster",10,"Bestuur",0.203573042314141
"9","struikaster",10,"Natuurlijke persoon",0.0190180283644552
"10","struikaster",10,"Privaatrechtelijke rechtspersoon",0.350969496733049
"11","reuzenberenklauw",10,"Agentschap voor Natuur en Bos",0.209307668526322
"12","reuzenberenklauw",10,"Andere",0.00362743320843244
"13","reuzenberenklauw",10,"Andere Vlaamse overheid",0.172962836670428
"14","reuzenberenklauw",10,"Bestuur",0.159972818640389
"15","reuzenberenklauw",10,"Natuurlijke persoon",0.0769193629350796
"16","reuzenberenklauw",10,"Privaatrechtelijke rechtspersoon",0.365342686506919
"17","Chinese muntjak",10,"Agentschap voor Natuur en Bos",0.59219059433129
"18","Chinese muntjak",10,"Andere Vlaamse overheid",0.0233893487815821
"19","Chinese muntjak",10,"Bestuur",0.107878043319724
"20","Chinese muntjak",10,"Natuurlijke persoon",0.184743879467531
"21","Chinese muntjak",10,"Privaatrechtelijke rechtspersoon",0.0655700957856163
"22","watercrassula",20,"Agentschap voor Natuur en Bos",0.460588204305359
"23","watercrassula",20,"Andere Vlaamse overheid",0.0656658016616028
"24","watercrassula",20,"Bestuur",0.0778089512837219
"25","watercrassula",20,"Natuurlijke persoon",0.0287873660485704
"26","watercrassula",20,"Privaatrechtelijke rechtspersoon",0.34478921684553
"27","struikaster",20,"Agentschap voor Natuur en Bos",0.409782493108604
"28","struikaster",20,"Andere Vlaamse overheid",0.0761756236659402
"29","struikaster",20,"Bestuur",0.155442121948952
"30","struikaster",20,"Natuurlijke persoon",0.0243424125014703
"31","struikaster",20,"Privaatrechtelijke rechtspersoon",0.334257348775033
"32","reuzenberenklauw",20,"Agentschap voor Natuur en Bos",0.217505667749431
"33","reuzenberenklauw",20,"Andere",0.00511332309545215
"34","reuzenberenklauw",20,"Andere Vlaamse overheid",0.152300929731131
"35","reuzenberenklauw",20,"Bestuur",0.169556052532107
"36","reuzenberenklauw",20,"Natuurlijke persoon",0.0796006487596828
"37","reuzenberenklauw",20,"Privaatrechtelijke rechtspersoon",0.372022623746108
"38","Chinese muntjak",20,"Agentschap voor Natuur en Bos",0.580826582511916
"39","Chinese muntjak",20,"Andere Vlaamse overheid",0.0261845258905205
"40","Chinese muntjak",20,"Bestuur",0.112124536408548
"41","Chinese muntjak",20,"Natuurlijke persoon",0.186430936429049
"42","Chinese muntjak",20,"Privaatrechtelijke rechtspersoon",0.067312483781288
"43","watercrassula",30,"Agentschap voor Natuur en Bos",0.483316474492068
"44","watercrassula",30,"Andere Vlaamse overheid",0.0541002847735302
"45","watercrassula",30,"Bestuur",0.0778855786769995
"46","watercrassula",30,"Natuurlijke persoon",0.0326278746564541
"47","watercrassula",30,"Privaatrechtelijke rechtspersoon",0.343193210322093
"48","struikaster",30,"Agentschap voor Natuur en Bos",0.437151299395033
"49","struikaster",30,"Andere Vlaamse overheid",0.0797922622416254
"50","struikaster",30,"Bestuur",0.127346051658685
"51","struikaster",30,"Natuurlijke persoon",0.030222859943158
"52","struikaster",30,"Privaatrechtelijke rechtspersoon",0.325487526761498
"53","reuzenberenklauw",30,"Agentschap voor Natuur en Bos",0.22500706747902
"54","reuzenberenklauw",30,"Andere",0.0056017037734573
"55","reuzenberenklauw",30,"Andere Vlaamse overheid",0.133228880251482
"56","reuzenberenklauw",30,"Bestuur",0.173507834253144
"57","reuzenberenklauw",30,"Natuurlijke persoon",0.0809332765621473
"58","reuzenberenklauw",30,"Privaatrechtelijke rechtspersoon",0.378770420894309
"59","Chinese muntjak",30,"Agentschap voor Natuur en Bos",0.585994372738601
