"","Soort","Buffer","Type","Domeinen"
"1","watercrassula",10,"Beheerplan Militair domein",3
"2","watercrassula",10,"Harmonisch Park- en Groenbeheerplan",1
"3","watercrassula",10,"Natuurbeheerplan Type 1",2
"4","watercrassula",10,"Natuurbeheerplan Type 2",13
"5","watercrassula",10,"Natuurbeheerplan Type 3",27
"6","watercrassula",10,"Natuurbeheerplan Type 4",69
"7","watercrassula",10,"Uitgebreid Bosbeheerplan",19
"8","watercrassula",10,"Vlaams Natuurreservaat",7
"9","struikaster",10,"Beheerplan Militair domein",1
"10","struikaster",10,"Natuurbeheerplan Type 1",1
"11","struikaster",10,"Natuurbeheerplan Type 2",5
"12","struikaster",10,"Natuurbeheerplan Type 3",5
"13","struikaster",10,"Natuurbeheerplan Type 4",8
"14","struikaster",10,"Uitgebreid Bosbeheerplan",1
"15","struikaster",10,"Vlaams Natuurreservaat",4
"16","reuzenberenklauw",10,"Beheerplan Militair domein",6
"17","reuzenberenklauw",10,"Erkend Natuurreservaat",4
"18","reuzenberenklauw",10,"Harmonisch Park- en Groenbeheerplan",1
"19","reuzenberenklauw",10,"Natuurbeheerplan Type 1",19
"20","reuzenberenklauw",10,"Natuurbeheerplan Type 2",38
"21","reuzenberenklauw",10,"Natuurbeheerplan Type 3",52
"22","reuzenberenklauw",10,"Natuurbeheerplan Type 4",130
"23","reuzenberenklauw",10,"Uitgebreid Bosbeheerplan",61
"24","reuzenberenklauw",10,"Vlaams Natuurreservaat",7
"25","Chinese muntjak",10,"Beheerplan Militair domein",2
"26","Chinese muntjak",10,"Natuurbeheerplan Type 1",5
"27","Chinese muntjak",10,"Natuurbeheerplan Type 2",6
"28","Chinese muntjak",10,"Natuurbeheerplan Type 3",2
"29","Chinese muntjak",10,"Natuurbeheerplan Type 4",2
"30","Chinese muntjak",10,"Uitgebreid Bosbeheerplan",7
"31","Chinese muntjak",10,"Vlaams Natuurreservaat",1
"32","watercrassula",20,"Beheerplan Militair domein",3
"33","watercrassula",20,"Harmonisch Park- en Groenbeheerplan",1
"34","watercrassula",20,"Natuurbeheerplan Type 1",3
"35","watercrassula",20,"Natuurbeheerplan Type 2",15
"36","watercrassula",20,"Natuurbeheerplan Type 3",27
"37","watercrassula",20,"Natuurbeheerplan Type 4",69
"38","watercrassula",20,"Uitgebreid Bosbeheerplan",20
"39","watercrassula",20,"Vlaams Natuurreservaat",7
"40","struikaster",20,"Beheerplan Militair domein",1
"41","struikaster",20,"Natuurbeheerplan Type 1",1
"42","struikaster",20,"Natuurbeheerplan Type 2",5
"43","struikaster",20,"Natuurbeheerplan Type 3",7
"44","struikaster",20,"Natuurbeheerplan Type 4",9
"45","struikaster",20,"Uitgebreid Bosbeheerplan",1
"46","struikaster",20,"Vlaams Natuurreservaat",4
"47","reuzenberenklauw",20,"Beheerplan Militair domein",6
"48","reuzenberenklauw",20,"Erkend Natuurreservaat",4
"49","reuzenberenklauw",20,"Harmonisch Park- en Groenbeheerplan",1
"50","reuzenberenklauw",20,"Natuurbeheerplan Type 1",22
"51","reuzenberenklauw",20,"Natuurbeheerplan Type 2",45
"52","reuzenberenklauw",20,"Natuurbeheerplan Type 3",56
"53","reuzenberenklauw",20,"Natuurbeheerplan Type 4",143
"54","reuzenberenklauw",20,"Uitgebreid Bosbeheerplan",67
"55","reuzenberenklauw",20,"Vlaams Natuurreservaat",8
"56","Chinese muntjak",20,"Beheerplan Militair domein",2
"57","Chinese muntjak",20,"Natuurbeheerplan Type 1",5
"58","Chinese muntjak",20,"Natuurbeheerplan Type 2",6
"59","Chinese muntjak",20,"Natuurbeheerplan Type 3",2
"60","Chinese muntjak",20,"Natuurbeheerplan Type 4",3
"61","Chinese muntjak",20,"Uitgebreid Bosbeheerplan",7
"62","Chinese muntjak",20,"Vlaams Natuurreservaat",1
"63","watercrassula",30,"Beheerplan Militair domein",3
"64","watercrassula",30,"Harmonisch Park- en Groenbeheerplan",1
"65","watercrassula",30,"Natuurbeheerplan Type 1",4
"66","watercrassula",30,"Natuurbeheerplan Type 2",17
"67","watercrassula",30,"Natuurbeheerplan Type 3",29
"68","watercrassula",30,"Natuurbeheerplan Type 4",70
"69","watercrassula",30,"Uitgebreid Bosbeheerplan",20
"70","watercrassula",30,"Vlaams Natuurreservaat",7
"71","struikaster",30,"Beheerplan Militair domein",1
"72","struikaster",30,"Natuurbeheerplan Type 1",2
"73","struikaster",30,"Natuurbeheerplan Type 2",5
"74","struikaster",30,"Natuurbeheerplan Type 3",7
"75","struikaster",30,"Natuurbeheerplan Type 4",9
"76","struikaster",30,"Uitgebreid Bosbeheerplan",2
"77","struikaster",30,"Vlaams Natuurreservaat",4
"78","reuzenberenklauw",30,"Beheerplan Militair domein",6
"79","reuzenberenklauw",30,"Erkend Natuurreservaat",4
"80","reuzenberenklauw",30,"Harmonisch Park- en Groenbeheerplan",1
"81","reuzenberenklauw",30,"Natuurbeheerplan Type 1",26
"82","reuzenberenklauw",30,"Natuurbeheerplan Type 2",46
"83","reuzenberenklauw",30,"Natuurbeheerplan Type 3",61
"84","reuzenberenklauw",30,"Natuurbeheerplan Type 4",146
"85","reuzenberenklauw",30,"Uitgebreid Bosbeheerplan",73
"86","reuzenberenklauw",30,"Vlaams Natuurreservaat",10
"87","Chinese muntjak",30,"Beheerplan Militair domein",3
"88","Chinese muntjak",30,"Natuurbeheerplan Type 1",7
"89","Chinese muntjak",30,"Natuurbeheerplan Type 2",6
"90","Chinese muntjak",30,"Natuurbeheerplan Type 3",2
"91","Chinese muntjak",30,"Natuurbeheerplan Type 4",5
"92","Chinese muntjak",30,"Uitgebreid Bosbeheerplan",7
"93","Chinese muntjak",30,"Vlaams Natuurreservaat",1
"94","watercrassula",40,"Aangewezen Bosreservaat",1
"95","watercrassula",40,"Beheerplan Militair domein",3
"96","watercrassula",40,"Harmonisch Park- en Groenbeheerplan",1
"97","watercrassula",40,"Natuurbeheerplan Type 1",4
"98","watercrassula",40,"Natuurbeheerplan Type 2",19
"99","watercrassula",40,"Natuurbeheerplan Type 3",29
"100","watercrassula",40,"Natuurbeheerplan Type 4",75
"101","watercrassula",40,"Uitgebreid Bosbeheerplan",21
"102","watercrassula",40,"Vlaams Natuurreservaat",7
"103","struikaster",40,"Beheerplan Militair domein",1
"104","struikaster",40,"Natuurbeheerplan Type 1",2
"105","struikaster",40,"Natuurbeheerplan Type 2",6
"106","struikaster",40,"Natuurbeheerplan Type 3",8
"107","struikaster",40,"Natuurbeheerplan Type 4",10
"108","struikaster",40,"Uitgebreid Bosbeheerplan",2
