Groep,Species,Soort,GBIF_code,n_obs
dier,"Alopochen aegyptiacus Linnaeus, 1766",nijlgans,2498252,147850
dier,"Branta canadensis (Linnaeus, 1758)",Canadese gans,5232437,143727
dier,"Ondatra zibethicus Linnaeus, 1766",muskusrat,5219858,39618
plant,Reynoutria japonica Houtt.,invasieve duizendknopen,2889173,38698
dier,"Vespa velutina Lepeletier, 1836",Aziatische hoornaar (soort),1311477,36557
plant,Prunus serotina Ehrh.,Amerikaanse vogelkers,3021850,29589
plant,Impatiens glandulifera Royle,reuzenbalsemien,2891770,18043
dier,"Lithobates (Rana) catesbeianus Shaw, 1802",Amerikaanse stierkikker,2427091,15021
plant,Rosa rugosa Thunb.,rimpelroos,3003979,11331
plant,Heracleum mantegazzianum Sommier & Levier,reuzenberenklauw,3034825,8385
plant,Mahonia aquifolium (Pursh) Nutt.,mahonie,3033865,7871
dier,"Neogobius melanostomus (Pallas, 1814)",zwartbekgrondel,2379089,7643
dier,"Lepomis gibbosus Linnaeus, 1758",zonnebaars,2394486,7200
plant,Solidago gigantea Aiton,late guldenroede,5389017,7141
dier,"Pseudorasbora parva Temminck & Schlegel, 1846",blauwbandgrondel,2362868,6149
plant,Crassula helmsii (Kirk) Cockayne,watercrassula,5362054,5105
plant,Symphoricarpos albus (L.) K.Koch,sneeuwbes,8012439,3875
plant,Ludwigia grandiflora (Michx.) Greuter & Burdet,grote waterteunisbloem,5421039,3622
dier,"Eriocheir sinensis H. Milne Edwards, 1854",Chinese wolhandkrab,2225776,2717
plant,Hydrocotyle ranunculoides L. f.,grote waternavel,7978544,2550
plant,Lycium barbarum L.,boksdoorn,2928835,2517
dier,"Trachemys scripta Schoepff, 1792",lettersierschildpad,2443002,2462
dier,"Faxonius limosus Rafinesque, 1817",gevlekte Amerikaanse rivierkreeft,8909595,1772
plant,Ailanthus altissima (Mill.) Swingle,hemelboom,3190653,1592
plant,Elodea nuttallii (Planch.) St. John,smalle waterpest,5329212,1491
plant,Myriophyllum aquaticum (Vell.) Verdc.,parelvederkruid,5361785,1322
plant,Solidago canadensis L.,Canadese guldenroede,5389029,1177
dier,"Proterorhinus semilunaris (Heckel, 1837)",marmergrondel,2379245,746
plant,Elaeagnus angustifolia L.,smalle olijfwilg,3039269,685
dier,"Threskiornis aethiopicus Latham, 1790",heilige ibis,2480764,559
