Groep,Species,Soort,GBIF_code,n_obs
plant,Parthenocissus inserta (A.Kern.) Fritsch,valse wingerd,3039203,515
dier,"Procambarus clarkii Girard, 1852",rode Amerikaanse rivierkreeft,2227300,497
plant,Pontederia cordata L.,moerashyacint,2766030,432
plant,Baccharis halimifolia L.,struikaster,3129663,408
dier,"Tamias sibiricus Laxmann, 1769",Siberische grondeekhoorn,2437450,368
dier,"Oxyura jamaicensis Gmelin, 1789",rosse stekelstaart,2498305,348
dier,"Ponticola kessleri (Günther, 1861)",Kesslergrondel,4285968,347
dier,"Muntiacus reevesi Ogilby, 1839",Chinese muntjak,2440946,318
plant,Erythranthe guttata (DC.) G.L.Nesom,gele maskerbloem,7346102,309
plant,Petasites japonicus (Siebold & Zucc.) Maxim.,Japans hoefblad,3088310,305
dier,"Myocastor coypus Molina, 1782",beverrat,4264680,302
dier,"Umbra pygmaea (DeKay, 1842)",Amerikaanse hondsvis,5203111,239
plant,Reynoutria sachalinensis (F.Schmidt) Nakai,invasieve duizendknopen,2889088,224
plant,Parthenocissus quinquefolia (L.) Planch.,vijfbladige wingerd,3039194,214
dier,"Procyon lotor L., 1758",wasbeer,5218786,181
dier,"Elaphe taeniura (Cope, 1861)",Chinese prachtslang,8889878,146
plant,Ludwigia peploides (Kunth) P.H. Raven,kleine waterteunisbloem,5420991,140
plant,Aponogeton distachyos L.f.,Kaapse waterlelie,5328593,120
plant,Myriophyllum heterophyllum Michaux,ongelijkbladig vederkruid,5361762,110
plant,Koenigia polystachya (Wall. ex Meisn.) T.M.Schust. & Reveal,Afghaanse duizendknoop,8848208,105
plant,Lysichiton americanus Hultén & H. St. John,moerasaronskelk,2869311,81
dier,"Procambarus acutus (Girard, 1852)",gestreepte Amerikaanse rivierkreeft,2227289,80
plant,Pistia stratiotes L.,watersla,2870583,71
plant,Reynoutria ×bohemica Chrtek & Chrtková,invasieve duizendknopen,4038485,67
plant,Houttuynia cordata Thunb.,moerasanemoon,5384931,58
dier,"Cervus nippon Temminck, 1838",sikahert,2440954,58
dier,"Mustela vison Schreber, 1777",Amerikaanse nerts,5218823,55
plant,Asclepias syriaca L.,zijdeplant,3170247,54
dier,"Procambarus virginalis Lyko, 2017",marmerkreeft,9442269,46
plant,Lagarosiphon major (Ridley) Moss,verspreidbladige waterpest,2865565,44
plant,Elodea densa (Planch.) Casp.,egeria,5329263,37
dier,"Misgurnus bipartitus (Sauvage & Dabry de Thiersant, 1874)",Noord-Aziatische modderkruiper,2367911,23
plant,Saururus cernuus L.,Leidse plant,5384932,23
plant,Cabomba caroliniana Gray,waterwaaier,2882443,20
plant,Eichhornia crassipes (Martius) Solms,waterhyacint,2765942,20
plant,Zizania latifolia (Griseb.) Hance ex F.Muell.,Mantsjoerese wilde rijst,10919373,20
dier,"Pontastacus leptodactylus (Eschscholtz, 1823)",Turkse rivierkreeft,8946295,18
plant,Gunnera tinctoria (Molina) Mirbel,gewone gunnera,2984306,11
dier,"Xenopus laevis (Daudin, 1802)",Afrikaanse klauwkikker,5217334,9
dier,"Sciurus carolinensis Gmelin, 1788",grijze eekhoorn,5219681,7
dier,"Cipangopaludina chinensis (J.E.Gray, 1833)",Chinese moerasslak,9738098,5
dier,"Acridotheres tristis Linnaeus, 1766",treurmaina,2489005,4
plant,Cenchrus setaceus (Forssk.) Morrone,fraai lampenpoetsersgras,5828232,2
dier,"Nyctereutes procyonoides Gray, 1834",wasbeerhond,2434552,2
plant,Microstegium vimineum (Trin.) A. Camus,Japans steltgras,5289808,1
plant,Salvinia molesta D.S.Mitch.,grote vlotvaren,5274863,1
dier,"Callosciurus erythraeus Pallas, 1779",Pallas' eekhoorn,2437394,1
dier,"Pacifastacus leniusculus Dana, 1852",Californische rivierkreeft,2226990,1
dier,"Sciurus niger L., 1758",Amerikaanse voseekhoorn,5219683,1
plant,Celastrus orbiculatus Thunb.,Aziatische boomwurger,3169169,1
dier,"Neogobius fluviatilis (Pallas, 1814)",Pontische stroomgrondel,2379105,1
