"Groep","Species","Soort","GBIF_code"
"plant","Acacia saligna (Labill.) H.L.Wendl.","wilgacacia",2978552
"plant","Alternanthera philoxeroides (Mart.) Griseb.","alligatorkruid",3084923
"plant","Andropogon virginicus L.","Amerikaans bezemgras",2706080
"plant","Cardiospermum grandiflorum Sw.","ballonrank",3189935
"plant","Cortaderia jubata (Lemoine ex Carrière) Stapf","hoog pampagras",2704521
"plant","Ehrharta calycina Sm.","roze rimpelgras",2702865
"plant","Gymnocoronis spilanthoides (D.Don ex Hook. & Arn.) DC.","smalle theeplant",6063677
"plant","Heracleum persicum Fischer","Perzische berenklauw",3628745
"plant","Heracleum sosnowskyi Mandenova","Sosnowsky's berenklauw",3642949
"plant","Humulus scandens (Lour.) Merr.","oosterse hop",2984537
"plant","Lespedeza cuneata (Dum.Cours.) G.Don","Chinese struikklaver",8114276
"plant","Lygodium japonicum (Thunb.) Sw.","Japanse klimvaren",2650436
"plant","Parthenium hysterophorus L.","schijnambrosia",3086784
"plant","Persicaria perfoliata (L.) H. Gross","gestekelde duizendknoop",4033648
"plant","Prosopis juliflora (Sw.) DC.","mesquite",5358460
"plant","Pueraria montana (Lour.) Merr. var. lobata (Willd.)","kudzu",2977647
"plant","Salvinia molesta D.S.Mitch.","grote vlotvaren",5274863
"plant","Triadica sebifera (L.) Small","talgboom",3054399
"dier","Arthurdendyus triangulatus (Dendy, 1894) Jones & Gerard (1999)","Nieuw-Zeelandse platworm",2502792
"dier","Corvus splendens Viellot, 1817","huiskraai",2482499
"dier","Herpestes javanicus É. Geoffroy Saint-Hilaire, 1818","Indische mangoeste",2434271
"dier","Nasua nasua L., 1766","rode neusbeer",2433536
"dier","Faxonius virilis Hagen, 1870","geknobbelde Amerikaanse rivierkreeft",8971201
"dier","Perccottus glenii Dybowski, 1877","amoergrondel",2390064
"dier","Plotosus lineatus (Thunberg, 1787)","gestreepte koraalmeerval",7965247
"dier","Ameiurus melas (Rafinesque, 1820)","zwarte dwergmeerval",2340977
"dier","Axis axis (Erxleben, 1777)","axishert",2440934
"dier","Callosciurus finlaysonii (Horsfield, 1823)","Thailandeekhoorn",2437399
"plant","Celastrus orbiculatus Thunb.","Aziatische boomwurger",3169169
"dier","Channa argus (Cantor, 1842)","noordelijke slangekopvis",4284921
"dier","Faxonius rusticus (Girard, 1852)","roestbruine Amerikaanse rivierkreeft",8979506
"dier","Fundulus heteroclitus (Linnaeus, 1766)","mummichog",5712056
"dier","Gambusia affinis (Baird & Girard, 1853)","westelijk muskietenvisje",2350580
"dier","Gambusia holbrooki Girard, 1859","oostelijk muskietenvisje",2350570
"plant","Hakea sericea Schrad. & J.C.Wendl.","hakea",7287606
"dier","Lampropeltis getula (Linnaeus, 1766)","gewone koningsslang",9799308
"dier","Limnoperna fortunei (Dunker, 1857)","gouden mossel",5855350
"dier","Morone americana (Gmelin, 1789)","Amerikaanse baars",2394604
"dier","Pycnonotus cafer (Linnaeus, 1766)","roodbuikbuulbuul",2486131
"plant","Rugulopteryx okamurae (E.Y.Dawson) I.K.Hwang, W.J.Lee & H.S.Kim, 2009","stomp gaffelwier",5824863
"dier","Solenopsis geminata (Fabricius, 1804)","tropische vuurmier",5035187
"dier","Solenopsis invicta Buren, 1972","rode vuurmier",5035230
"dier","Solenopsis richteri Forel, 1909","zwarte vuurmier",5035017
"dier","Wasmannia auropunctata (Roger, 1863)","dwergvuurmier",1315391
"dier","Faxonius juvenilis (Hagen, 1870)","Kentuckyrivierkreeft",8721209
"dier","Faxonius immunis (Hagen, 1870)","Calicotrivierkreeft",8930656
"dier","Cherax destructor Clark, 1936","gewone yabby",4417558
