Soort,NICH
'invasieve duizendknopen',TERR
Afghaanse duizendknoop,TERR
Afrikaanse klauwkikker,TERR
alligatorkruid,TERR
alsemambrosia,TERR
Amerikaans bezemgras,TERR
Amerikaanse nerts,TERR
Amerikaanse stierkikker,TERR
Amerikaanse voseekhoorn,TERR
amoergrondel,AQUA
Arthurdendyus triangulatus,TERR
axishert,TERR
Aziatische boomwurger,TERR
Aziatische hoornaar,TERR
Aziatische tijgermug,TERR
ballonrank,TERR
beverrat ,AQUA
blauwbandgrondel,AQUA
Californische rivierkreeft,AQUA
Canadese gans,TERR
Chinese muntjak,TERR
Chinese struikklaver,TERR
Chinese wolhandkrab,AQUA
fraai lampenpoetsersgras,TERR
Fundulus heteroclitus,AQUA
Gambusia affinis,AQUA
Gambusia holbrooki,AQUA
geknobbelde Amerikaanse rivierkreeft,AQUA
gestekelde duizendknoop,TERR
gestreepte koraalmeerval,AQUA
gevlekte rivierkreeft,AQUA
gewone gunnera,TERR
gewone koningsslang,TERR
grijze eekhoorn,TERR
grote vlotvaren,TERR
grote waternavel,TERR
grote waterteunisbloem,TERR
hakea,TERR
heilige ibis,TERR
hemelboom,TERR
hoog pampagras,TERR
huiskraai,TERR
Indische mangoeste,TERR
Japans steltgras,TERR
Japanse klimvaren,TERR
kleine waterteunisbloem,TERR
kudzu,TERR
lettersierschildpad ,TERR
Limnoperna fortunei,AQUA
marmerkreeft,AQUA
mesquite,TERR
moerasaronskelk,TERR
Morone americana,AQUA
muskusrat,AQUA
nijlgans,TERR
noordelijke slangekopvis,AQUA
ongelijkbladig vederkruid,TERR
oosterse hop,TERR
Pallas' eekhoorn,TERR
parelvederkruid,TERR
Perzische berenklauw,TERR
Pycnonotus cafer,TERR
reuzenbalsemien,AQUA
reuzenberenklauw,AQUA
rode neusbeer,TERR
rode rivierkreeft,AQUA
roestbruine Amerikaanse rivierkreeft,AQUA
rosse stekelstaart,TERR
roze rimpelgras,TERR
schijnambrosia,TERR
Siberische grondeekhoorn,TERR
smalle theeplant,TERR
smalle waterpest,AQUA
Solenopsis geminata,TERR
Solenopsis invicta,TERR
Solenopsis richteri,TERR
Sosnowsky's berenklauw,TERR
stomp gaffelwier,AQUA
struikaster,TERR
talgboom,TERR
Thailandeekhoorn,TERR
treurmaina,TERR
verspreidbladige waterpest,AQUA
wasbeer,TERR
wasbeerhond,TERR
Wasmannia auropunctata,TERR
watercrassula,TERR
waterhyacint,TERR
watersla,TERR
waterwaaier ,AQUA
wilgacacia,TERR
zijdeplant,TERR
zonnebaars,TERR
zwarte dwergmeerval,AQUA
