soort;abbr
nijlgans;Aa
Aziatische tijgermug;Aalb
hemelboom;Aalt
alsemambrosia;Aar
zijdeplant;As
treurmaina;At
Canadese gans;Bc
struikaster;Bh
waterwaaier;Cc
Pallas' eekhoorn;Ce
watercrassula;Ch
waterhyacint;Ec
smalle waterpest;En
Chinese wolhandkrab;Es
gewone gunnera;Gt
reuzenberenklauw;Hm
grote waternavel;Hr
reuzenbalsemien;Ig
Afghaanse duizendknoop;Kp
moerasaronskelk;La
Amerikaanse stierkikker;Lc
zonnebaars;Lgi
grote waterteunisbloem;Lgr
verspreidbladige waterpest;Lm
kleine waterteunisbloem;Lp
parelvederkruid;Ma
beverrat;Mc
ongelijkbladig vederkruid;Mh
Chinese muntjak;Mr
Amerikaanse nerts;Mv
wasbeerhond;Np
rosse stekelstaart;Oj
gevlekte rivierkreeft;Ol
muskusrat;Oz
rode rivierkreeft;Pc
marmerkreeft;Pf
Californische rivierkreeft;Ple
wasbeer;Plo
blauwbandgrondel;Pp
watersla;Ps
invasieve duizendknopen;Rj
grijze eekhoorn;Sc
Amerikaanse voseekhoorn;Sn
heilige ibis;Ta
lettersierschildpad;Tsc
Siberische grondeekhoorn;Tsi
Aziatische hoornaar;Vv
