gbifapi_acceptedScientificName;gbifapi_acceptedKey;Batch;Bram
Trachemys scripta (Thunberg In Schoepff, 1792);2443002;NA;new_1
Baccharis halimifolia L.;3129663;1;ok
Cabomba caroliniana A. Gray;2882443;1;ok
Callosciurus erythraeus (Pallas, 1779);2437394;1;ok
Corvus splendens Vieillot, 1817;2482499;1;ok
Eichhornia crassipes (Mart.) Solms;2765940;1;ok
Eriocheir sinensis H. Milne Edwards, 1853;2225776;1;ok
Faxonius limosus�(Rafinesque, 1817);8909595;1;ok
Heracleum persicum Desf.;3628745;1;ok
Heracleum sosnowskyi Manden.;3642949;1;ok
Herpestes javanicus;2434271;1;ok
Hydrocotyle ranunculoides L. fil.;7978544;1;ok
Lagarosiphon major (Ridl.) Moss;2865565;1;ok
Lithobates catesbeianus (Shaw, 1802);2427091;1;ok
Ludwigia grandiflora (Michaux) Greuter & Burdet;5421039;1;ok
Ludwigia peploides (Kunth) P. H. Raven;5420991;1;ok
Lysichiton americanus Hultén & H.St.John;2869311;1;ok
Muntiacus reevesi (Ogilby, 1839);2440946;1;ok
Myocastor coypus (Molina, 1782);4264680;1;ok
Myriophyllum aquaticum (Vellozo) Verdcourt;5361785;1;ok
Nasua nasua (Linnaeus, 1766);2433536;1;ok
Orconectes limosus (Rafinesque, 1817);2227000;1;ok
Orconectes virilis (Hagen, 1870);2227064;1;ok
Oxyura jamaicensis (Gmelin, 1789);2498305;1;ok
Pacifastacus leniusculus (Dana, 1852);2226990;1;ok
Parthenium hysterophorus L.;3086784;1;ok
Perccottus glenii Dybowski, 1877;2390064;1;ok
Persicaria perfoliata (L.) H.Gross;4033648;1;ok
Procambarus clarkii (Girard, 1852);2227300;1;ok
Procambarus fallax (Hagen, 1870);2227309;1;ok
Procyon lotor (Linnaeus, 1758);5218786;1;ok
Pseudorasbora parva (Temminck & Schlegel, 1846);2362868;1;ok
Pueraria montana (Lour.) Merr.;2977636;1;ok
Pueraria montana var. lobata (Willd.) Sanjappa & Pradeep;2977647;1;ok
Sciurus carolinensis Gmelin, 1788;5219681;1;ok
Sciurus niger Linnaeus, 1758;5219683;1;ok
Tamias sibiricus (Laxmann, 1769);2437450;1;ok
Threskiornis aethiopicus (Latham, 1790);2480764;1;ok
Vespa velutina Lepeletier, 1836;1311477;1;ok
Trachemys Agassiz, 1857;2442941;1;td
Alopochen aegyptiaca (Linnaeus, 1766);2498252;2;ok
Alternanthera philoxeroides (Mart.) Griseb.;3084923;2;ok
Asclepias syriaca L.;3170247;2;ok
Elodea nuttallii (Planch.) H.St.John;5329212;2;ok
Gunnera tinctoria (Molina) Mirbel;2984306;2;ok
Heracleum mantegazzianum Sommier & Levier;3034825;2;ok
Impatiens glandulifera Royle;2891770;2;ok
Microstegium vimineum (Trin.) A.Camus;5289808;2;ok
Myriophyllum heterophyllum Michx.;5361762;2;ok
Nyctereutes procyonoides (Gray, 1834);2434552;2;ok
Ondatra zibethicus (Linnaeus, 1766);5219858;2;ok
Pennisetum setaceum (Forssk.) Chiov.;2706134;2;ok
Acacia cyanophylla Lindl.;2980328;3;ok
Acacia saligna (Labill.) H.L.Wendl.;2978552;3;ok
Acridotheres tristis Linnaeus, 1766;2489005;3;ok
Ailanthus altissima (Mill.) Swingle;3190653;3;ok
Andropogon virginicus L.;2706080;3;ok
Arthurdendyus triangulatus (Dendy, 1895);2502792;3;ok
Cardiospermum grandiflorum Sw.;3189935;3;ok
Cortaderia jubata (Lemoine ex Carrière) Stapf;2704521;3;ok
Ehrharta calycina Sm.;2702865;3;ok
Gymnocoronis spilanthoides DC.;6063677;3;ok
Humulus scandens (Lour.) Merr.;2984537;3;ok
Lepomis gibbosus (Linnaeus, 1758);2394486;3;ok
