Groep;Species;Soort;Lijst;GBIF_code
plant;Acacia saligna (Labill.) H.L.Wendl.;wilgacacia;3;2978552
plant;Acacia cyanophylla Lindl.;wilgacacia;3;2980328
plant;Ailanthus altissima (Mill.) Swingle;hemelboom;3;3190653
plant;Alternanthera philoxeroides (Mart.) Griseb.;alligatorkruid;2;3084923
plant;Andropogon virginicus L.;Amerikaans bezemgras;3;2706080
plant;Asclepias syriaca L.;zijdeplant;2;3170247
plant;Baccharis halimifolia L.;struikaster;1;3129663
plant;Cabomba caroliniana Gray;waterwaaier ;1;2882443
plant;Cardiospermum grandiflorum Sw.;ballonrank;3;3189935
plant;Cortaderia jubata (Lemoine ex Carrière) Stapf;hoog pampagras;3;2704521
plant;Ehrharta calycina Sm.;roze rimpelgras;3;2702865
plant;Eichhornia crassipes (Martius) Solms;waterhyacint;1;2765940
plant;Elodea nuttallii (Planch.) St. John;smalle waterpest;2;5329212
plant;Gunnera tinctoria (Molina) Mirbel;gewone gunnera;2;2984306
plant;Gymnocoronis spilanthoides (D.Don ex Hook. & Arn.) DC.;smalle theeplant;3;6063677
plant;Heracleum mantegazzianum Sommier & Levier;reuzenberenklauw;2;3034825
plant;Heracleum persicum Fischer;Perzische berenklauw;1;3628745
plant;Heracleum sosnowskyi Mandenova;Sosnowsky's berenklauw;1;3642949
plant;Humulus scandens (Lour.) Merr.;oosterse hop;3;2984537
plant;Hydrocotyle ranunculoides L. f.;grote waternavel;1;7978544
plant;Impatiens glandulifera Royle;reuzenbalsemien;2;2891770
plant;Lagarosiphon major (Ridley) Moss;verspreidbladige waterpest;1;2865565
plant;Lespedeza cuneata (Dum.Cours.) G.Don;Chinese struikklaver;3;8114276
plant;Lespedeza juncea var. sericea (Thunb.) Lace & Hauech;Chinese struikklaver;3;2955720
plant;Ludwigia grandiflora (Michx.) Greuter & Burdet;grote waterteunisbloem;1;5421039
plant;Ludwigia peploides (Kunth) P.H. Raven;kleine waterteunisbloem;1;5420991
plant;Lygodium japonicum (Thunb.) Sw.;Japanse klimvaren;3;2650436
plant;Lysichiton americanus Hultén & H. St. John;moerasaronskelk;1;2869311
plant;Microstegium vimineum (Trin.) A. Camus;Japans steltgras;2;5289808
plant;Myriophyllum aquaticum (Vell.) Verdc.;parelvederkruid;1;5361785
plant;Myriophyllum heterophyllum Michaux;ongelijkbladig vederkruid;2;5361762
plant;Parthenium hysterophorus L.;schijnambrosia;1;3086784
plant;Pennisetum setaceum (Forssk.) Chiov.;fraai lampenpoetsersgras;2;2706134
plant;Persicaria perfoliata (L.) H. Gross;gestekelde duizendknoop;1;4033648
plant;Polygonum perfoliatum L.;gestekelde duizendknoop;1;5334406
plant;Prosopis juliflora (Sw.) DC.;mesquite;3;5358460
plant;Pueraria montana (Lour.) Merr. var. lobata (Willd.);kudzu;1;2977647
plant;Pueraria lobata (Willd.) Ohwi;kudzu;1;2977636
plant;Salvinia molesta D.S.Mitch.;grote vlotvaren;3;5274863
plant;Salvinia adnata Desv.;grote vlotvaren;3;5579439
plant;Salvinia auriculata Aubl.;grote vlotvaren;3;5274861
plant;Triadica sebífera (L.) Small;talgboom;3;3054399
plant;Sapium sebiferum (L.) Roxb.;talgboom;3;7748792
dier;Acridotheres tristis Linnaeus, 1766;treurmaina;3;2489005
dier;Alopochen aegyptiacus Linnaeus, 1766;nijlgans;2;2498252
dier;Arthurdendyus triangulatus (Dendy, 1894) Jones & Gerard (1999);.;3;2502792
dier;Callosciurus erythraeus Pallas, 1779;Pallas' eekhoorn;1;2437394
dier;Corvus splendens Viellot, 1817;huiskraai;1;2482499
dier;Eriocheir sinensis H. Milne Edwards, 1854;Chinese wolhandkrab;1;2225776
dier;Herpestes javanicus É. Geoffroy Saint-Hilaire, 1818;Indische mangoeste;1;2434271
dier;Lepomis gibbosus Linnaeus, 1758;zonnebaars;3;2394486
dier;Lithobates (Rana) catesbeianus Shaw, 1802;Amerikaanse stierkikker;1;2427091
dier;Muntiacus reevesi Ogilby, 1839;Chinese muntjak;1;2440946
dier;Myocastor coypus Molina, 1782;beverrat ;1;4264680
dier;Nasua nasua L., 1766;rode neusbeer;1;2433536
dier;Nyctereutes procyonoides Gray, 1834;wasbeerhond;2;2434552
