"","2015","2016","2017","2018","2019","2020","2021"
"hemelboom"," 30"," 38"," 52"," 72","189","146"," 73"
"zijdeplant"," 1"," 2"," 2"," 4"," 3"," 8","12"
"struikaster","16","25","13","18","22","31","25"
"waterwaaier",NA," 2"," 2"," 3"," 1"," 3",NA
"waterhyacint",NA," 3"," 8",NA,NA,NA,NA
"smalle waterpest","57","82","81","86","44","46","23"
"gewone gunnera",NA,NA,NA," 1",NA," 2",NA
"reuzenberenklauw","307","349","353","317","298","451","444"
"grote waternavel","69","33","32","47","31","27","13"
"reuzenbalsemien"," 401"," 477"," 455"," 595"," 835"," 962","1235"
"verspreidbladige waterpest","5","3","3","4","3","5","2"
"grote waterteunisbloem","37","36","45","50","53","76","46"
"kleine waterteunisbloem","5","5","5","3","4","6","2"
"moerasaronskelk",NA," 2"," 4"," 3"," 2"," 2"," 3"
"parelvederkruid","64","60","49","56","52","79","29"
"ongelijkbladig vederkruid"," 3"," 8","11","14","11","13"," 5"
"treurmaina",NA,NA," 1",NA,NA,NA," 1"
"nijlgans","2630","2803","3042","2911","2790","3616","3740"
"Pallas' eekhoorn",NA," 1",NA,NA,NA,NA,NA
"Chinese wolhandkrab"," 56","123"," 92"," 84"," 89","133","124"
"zonnebaars","23","36","44","62","46","50","47"
"Amerikaanse stierkikker","13","34","22","30","21","28"," 3"
"Chinese muntjak"," 9","17","17","21","20","36","26"
"beverrat"," 9"," 6"," 4"," 2","10"," 9"," 5"
"wasbeerhond",NA," 1",NA,NA,NA,NA,NA
"muskusrat","496","211","300","344","353","373"," 20"
"gevlekte rivierkreeft","21","34","29","45","43","35","22"
"rosse stekelstaart","29","35","26","11"," 8"," 5"," 9"
"Californische rivierkreeft"," 1",NA,NA,NA,NA,NA,NA
"rode rivierkreeft"," 5","10","12","15","25","35","68"
"marmerkreeft",NA,NA," 1"," 1"," 2"," 9"," 3"
"wasbeer"," 4"," 6"," 7"," 6","11"," 7","11"
"blauwbandgrondel","38","66","77","62","72","34","35"
"grijze eekhoorn"," 4",NA,NA," 1",NA,NA,NA
"Amerikaanse voseekhoorn"," 1",NA,NA," 1",NA,NA,NA
"Siberische grondeekhoorn","17","10","14"," 7"," 7"," 8","11"
"heilige ibis","42","33","23","12",NA,NA,"24"
"lettersierschildpad"," 91"," 88"," 94","119","143","270","358"
"Afghaanse duizendknoop"," 5"," 5"," 7","10"," 9","13"," 6"
"watersla"," 1"," 1","10"," 8"," 1"," 4",NA
"alsemambrosia"," 51"," 39"," 53"," 71","113","168","139"
"watercrassula"," 57"," 73","113","150","139","148"," 86"
"'invasieve duizendknopen'"," 536"," 658"," 986","1044","1119","1183","1143"
"Aziatische tijgermug"," 1"," 2",NA," 2"," 2",NA,NA
"Canadese gans","2304","2398","2500","2375","2118","2708","2766"
"Amerikaanse nerts"," 2",NA," 3"," 1"," 4","10"," 5"
