species,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,status
Afrikaanse klauwkikker,NA,NA,NA,NA,NA,NA,NA,2,3,3,6,sporadic
Amerikaanse nerts,6,NA,3,2,5,12,8,14,4,NA,NA,sporadic
Amerikaanse rode eekhoorn,1,NA,3,2,2,4,NA,1,3,1,NA,sporadic
Amerikaanse stierkikker,12,32,21,30,38,57,86,77,88,78,38,present
Amerikaanse strandschelp,NA,NA,NA,NA,2,7,12,4,6,3,7,present
Amerikaanse voseekhoorn,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sporadic
Aziatische hoornaar,NA,1,10,149,133,485,700,3683,5733,6789,11130,present
Aziatische tijgermug,1,2,NA,2,2,2,NA,2,3,3,6,sporadic
Californische rivierkreeft,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,sporadic
Canadese gans,2684,2749,2842,2848,2857,3405,3764,3568,3728,3633,3397,present
Chinese muntjak,10,18,17,22,21,39,33,17,33,18,6,present
Chinese weekschildpad,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,sporadic
Chinese wolhandkrab,70,125,102,85,95,156,175,178,205,324,276,present
Cipangopaludina chinensis,1,4,4,3,3,3,3,4,3,9,9,present
Pallas' eekhoorn,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,sporadic
Siberische grondeekhoorn,19,12,15,8,8,9,13,12,14,14,16,present
Turkse rivierkreeft,NA,NA,2,2,1,1,1,6,NA,5,2,sporadic
beverrat,10,19,28,13,16,13,13,7,16,12,4,present
blauwbandgrondel,55,87,91,74,119,120,177,176,152,164,69,present
damhert,40,47,51,59,83,96,132,141,155,141,136,present
geknobbelde Amerikaanse rivierkreeft,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,sporadic
gestreepte Amerikaanse rivierkreeft,1,NA,3,1,NA,4,11,10,18,34,20,present
gevlekte Amerikaanse rivierkreeft,33,31,35,43,47,78,75,81,90,172,82,present
gewone koningsslang,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,sporadic
grijze eekhoorn,4,NA,NA,1,NA,NA,NA,1,NA,3,NA,sporadic
grote Alexanderparkiet,18,10,24,23,17,27,31,21,22,32,24,present
grote agaatslak,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,sporadic
grote gevlekte landplatworm,NA,NA,NA,NA,4,2,5,3,11,42,20,present
halsbandparkiet,486,495,589,615,689,950,1034,1091,1150,1293,1169,present
hamerhoofdplatworm,NA,NA,NA,NA,NA,NA,NA,2,3,6,1,sporadic
heilige ibis,45,34,27,10,NA,NA,25,NA,NA,15,NA,sporadic
kuifmania,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,sporadic
lettersierschildpad,103,103,112,134,167,298,390,91,98,90,102,present
marmerkreeft,NA,NA,1,1,2,11,4,3,9,14,3,present
monniksparkiet,2,1,1,1,5,4,5,10,16,7,1,present
muskusrat,43,239,340,395,488,499,562,782,739,858,781,present
nijlgans,3021,3187,3399,3455,3482,4322,4764,4604,4793,4691,4515,present
prachtslang,3,5,3,3,3,7,3,2,5,4,3,present
rode Amerikaanse rivierkreeft,6,11,12,14,28,42,78,73,105,199,153,present
rosse stekelstaart,31,38,26,12,8,8,12,9,10,14,2,present
sikahert,NA,NA,NA,11,4,8,7,6,2,1,7,present
treurmaina,NA,NA,1,NA,NA,NA,2,2,NA,NA,NA,sporadic
wasbeer,4,6,7,9,13,7,17,36,47,63,87,present
wasbeerhond,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,sporadic
zonnebaars,65,53,72,71,83,145,168,187,192,218,153,present
zwarte dwergmeerval,2,NA,NA,NA,NA,NA,1,NA,1,NA,2,sporadic
Afghaanse duizendknoop,5,5,7,9,9,13,10,3,10,7,5,present
Aziatische boomwurger,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,sporadic
Canadese guldenroede,67,95,117,82,114,129,186,149,107,130,55,present
Hyacinthoides ×massartiana,10,13,13,19,27,29,33,86,46,55,20,present
Hydrocharis laevigata,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,sporadic
Japans hoefblad,10,6,9,9,12,22,45,34,24,15,23,present
Japans steltgras,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,sporadic
Japanse duizendknoop,556,691,1010,1024,1019,1145,1773,1761,1874,1915,1971,present
Japanse x Sachalinse duizendknoop,6,8,4,7,10,14,8,6,4,5,6,present
Kaapse waterlelie,3,1,3,7,5,10,8,7,22,16,9,present
Leidse plant,2,1,4,3,1,1,1,4,6,3,2,present
Mantsjoerese wilde rijst,1,NA,1,1,1,NA,2,1,8,5,3,sporadic
Sachalinse duizendknoop,10,18,19,17,21,38,30,34,27,38,14,present
Spaanse hyacint,29,45,27,18,22,100,309,84,20,18,18,present
Vallisneria australis,NA,1,NA,1,NA,NA,1,NA,2,11,4,sporadic
boksdoorn,24,31,36,36,55,61,85,88,107,67,70,present
fraai lampenpoetsersgras,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,sporadic
gele maskerbloem,13,17,24,7,19,31,31,44,29,41,14,present
gewone gunnera,NA,NA,NA,1,NA,7,2,1,NA,NA,2,sporadic
grote vlotvaren,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,sporadic
grote waternavel,75,134,125,121,106,122,124,135,129,165,204,present
hemelboom,32,38,56,76,151,146,158,264,182,240,263,present
hottentotvijg,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,sporadic
kleine waterteunisbloem,6,5,5,4,4,6,3,3,5,3,3,present
late guldenroede,284,271,294,308,434,516,547,1163,1315,1230,1432,present
moerasanemoon,NA,NA,2,3,2,11,18,11,6,29,24,present
moerasaronskelk,NA,2,7,4,5,6,18,15,4,8,6,present
moerashyacint,18,18,23,32,28,23,39,58,60,40,38,present
ongelijkbladig vederkruid,4,10,12,16,12,13,13,5,9,4,2,present
papiermoerbei,NA,NA,NA,1,1,2,4,2,2,2,3,present
parelvederkruid,75,80,73,76,70,96,94,98,86,105,120,present
reuzenbalsemien,462,581,591,627,795,943,1565,1346,1440,1641,1593,present
reuzenberenklauw,341,435,436,376,414,563,726,761,702,896,817,present
rimpelroos,95,122,204,191,286,512,784,625,416,649,330,present
smalle waterpest,99,119,106,115,78,89,89,74,64,62,68,present
struikaster,21,33,17,24,28,39,47,41,35,52,36,present
verspreidbladige waterpest,4,3,3,4,4,5,3,8,2,1,5,present
watercrassula,86,102,149,175,217,232,219,310,239,264,340,present
waterhyacint,NA,3,6,1,NA,NA,1,NA,NA,NA,NA,sporadic
watersla,1,1,13,8,1,5,2,6,1,3,3,present
waterteunisbloem,44,68,84,113,137,184,174,199,213,208,205,present
waterwaaier,NA,4,3,3,1,4,NA,NA,2,NA,2,sporadic
zijdeplant,2,2,2,5,3,7,15,2,1,17,6,present
