CELLCODE	EOFORIGIN	NOFORIGIN	geometry	natura2000	spa	habitat
1kmE3770N3196	3770000	3196000	list(c(3770000, 3770000, 3771000, 3771000, 3770000, 3196000, 3197000, 3197000, 3196000, 3196000))	FALSE	FALSE	FALSE
1kmE3770N3197	3770000	3197000	list(c(3770000, 3770000, 3771000, 3771000, 3770000, 3197000, 3198000, 3198000, 3197000, 3197000))	FALSE	FALSE	FALSE
1kmE3770N3198	3770000	3198000	list(c(3770000, 3770000, 3771000, 3771000, 3770000, 3198000, 3199000, 3199000, 3198000, 3198000))	FALSE	FALSE	FALSE
1kmE3770N3199	3770000	3199000	list(c(3770000, 3770000, 3771000, 3771000, 3770000, 3199000, 3200000, 3200000, 3199000, 3199000))	FALSE	FALSE	FALSE
1kmE3771N3173	3771000	3173000	list(c(3771000, 3771000, 3772000, 3772000, 3771000, 3173000, 3174000, 3174000, 3173000, 3173000))	FALSE	FALSE	FALSE
1kmE3771N3174	3771000	3174000	list(c(3771000, 3771000, 3772000, 3772000, 3771000, 3174000, 3175000, 3175000, 3174000, 3174000))	FALSE	FALSE	FALSE
1kmE3771N3175	3771000	3175000	list(c(3771000, 3771000, 3772000, 3772000, 3771000, 3175000, 3176000, 3176000, 3175000, 3175000))	FALSE	FALSE	FALSE
1kmE3771N3176	3771000	3176000	list(c(3771000, 3771000, 3772000, 3772000, 3771000, 3176000, 3177000, 3177000, 3176000, 3176000))	FALSE	FALSE	FALSE
1kmE3771N3177	3771000	3177000	list(c(3771000, 3771000, 3772000, 3772000, 3771000, 3177000, 3178000, 3178000, 3177000, 3177000))	FALSE	FALSE	FALSE
1kmE3771N3178	3771000	3178000	list(c(3771000, 3771000, 3772000, 3772000, 3771000, 3178000, 3179000, 3179000, 3178000, 3178000))	FALSE	FALSE	FALSE
1kmE3771N3179	3771000	3179000	list(c(3771000, 3771000, 3772000, 3772000, 3771000, 3179000, 3180000, 3180000, 3179000, 3179000))	FALSE	FALSE	FALSE
1kmE3771N3180	3771000	3180000	list(c(3771000, 3771000, 3772000, 3772000, 3771000, 3180000, 3181000, 3181000, 3180000, 3180000))	FALSE	FALSE	FALSE
1kmE3771N3181	3771000	3181000	list(c(3771000, 3771000, 3772000, 3772000, 3771000, 3181000, 3182000, 3182000, 3181000, 3181000))	FALSE	FALSE	FALSE
1kmE3771N3182	3771000	3182000	list(c(3771000, 3771000, 3772000, 3772000, 3771000, 3182000, 3183000, 3183000, 3182000, 3182000))	FALSE	FALSE	FALSE
1kmE3771N3183	3771000	3183000	list(c(3771000, 3771000, 3772000, 3772000, 3771000, 3183000, 3184000, 3184000, 3183000, 3183000))	FALSE	FALSE	FALSE
1kmE3771N3184	3771000	3184000	list(c(3771000, 3771000, 3772000, 3772000, 3771000, 3184000, 3185000, 3185000, 3184000, 3184000))	FALSE	FALSE	FALSE
1kmE3771N3185	3771000	3185000	list(c(3771000, 3771000, 3772000, 3772000, 3771000, 3185000, 3186000, 3186000, 3185000, 3185000))	FALSE	FALSE	FALSE
1kmE3771N3186	3771000	3186000	list(c(3771000, 3771000, 3772000, 3772000, 3771000, 3186000, 3187000, 3187000, 3186000, 3186000))	FALSE	FALSE	FALSE
1kmE3771N3187	3771000	3187000	list(c(3771000, 3771000, 3772000, 3772000, 3771000, 3187000, 3188000, 3188000, 3187000, 3187000))	FALSE	FALSE	FALSE
1kmE3771N3188	3771000	3188000	list(c(3771000, 3771000, 3772000, 3772000, 3771000, 3188000, 3189000, 3189000, 3188000, 3188000))	FALSE	FALSE	FALSE
1kmE3771N3189	3771000	3189000	list(c(3771000, 3771000, 3772000, 3772000, 3771000, 3189000, 3190000, 3190000, 3189000, 3189000))	FALSE	FALSE	FALSE
1kmE3771N3190	3771000	3190000	list(c(3771000, 3771000, 3772000, 3772000, 3771000, 3190000, 3191000, 3191000, 3190000, 3190000))	FALSE	FALSE	FALSE
1kmE3771N3191	3771000	3191000	list(c(3771000, 3771000, 3772000, 3772000, 3771000, 3191000, 3192000, 3192000, 3191000, 3191000))	FALSE	FALSE	FALSE
1kmE3771N3192	3771000	3192000	list(c(3771000, 3771000, 3772000, 3772000, 3771000, 3192000, 3193000, 3193000, 3192000, 3192000))	FALSE	FALSE	FALSE
1kmE3771N3193	3771000	3193000	list(c(3771000, 3771000, 3772000, 3772000, 3771000, 3193000, 3194000, 3194000, 3193000, 3193000))	FALSE	FALSE	FALSE
1kmE3771N3194	3771000	3194000	list(c(3771000, 3771000, 3772000, 3772000, 3771000, 3194000, 3195000, 3195000, 3194000, 3194000))	FALSE	FALSE	FALSE
1kmE3771N3195	3771000	3195000	list(c(3771000, 3771000, 3772000, 3772000, 3771000, 3195000, 3196000, 3196000, 3195000, 3195000))	FALSE	FALSE	FALSE
1kmE3771N3196	3771000	3196000	list(c(3771000, 3771000, 3772000, 3772000, 3771000, 3196000, 3197000, 3197000, 3196000, 3196000))	FALSE	FALSE	FALSE
1kmE3771N3197	3771000	3197000	list(c(3771000, 3771000, 3772000, 3772000, 3771000, 3197000, 3198000, 3198000, 3197000, 3197000))	FALSE	FALSE	FALSE
1kmE3771N3198	3771000	3198000	list(c(3771000, 3771000, 3772000, 3772000, 3771000, 3198000, 3199000, 3199000, 3198000, 3198000))	FALSE	FALSE	FALSE
1kmE3771N3199	3771000	3199000	list(c(3771000, 3771000, 3772000, 3772000, 3771000, 3199000, 3200000, 3200000, 3199000, 3199000))	FALSE	FALSE	FALSE
1kmE3771N3200	3771000	3200000	list(c(3771000, 3771000, 3772000, 3772000, 3771000, 3200000, 3201000, 3201000, 3200000, 3200000))	FALSE	FALSE	FALSE
1kmE3771N3201	3771000	3201000	list(c(3771000, 3771000, 3772000, 3772000, 3771000, 3201000, 3202000, 3202000, 3201000, 3201000))	FALSE	FALSE	FALSE
1kmE3772N3168	3772000	3168000	list(c(3772000, 3772000, 3773000, 3773000, 3772000, 3168000, 3169000, 3169000, 3168000, 3168000))	FALSE	FALSE	FALSE
1kmE3772N3169	3772000	3169000	list(c(3772000, 3772000, 3773000, 3773000, 3772000, 3169000, 3170000, 3170000, 3169000, 3169000))	FALSE	FALSE	FALSE
1kmE3772N3170	3772000	3170000	list(c(3772000, 3772000, 3773000, 3773000, 3772000, 3170000, 3171000, 3171000, 3170000, 3170000))	FALSE	FALSE	FALSE
1kmE3772N3171	3772000	3171000	list(c(3772000, 3772000, 3773000, 3773000, 3772000, 3171000, 3172000, 3172000, 3171000, 3171000))	FALSE	FALSE	FALSE
1kmE3772N3172	3772000	3172000	list(c(3772000, 3772000, 3773000, 3773000, 3772000, 3172000, 3173000, 3173000, 3172000, 3172000))	FALSE	FALSE	FALSE
1kmE3772N3173	3772000	3173000	list(c(3772000, 3772000, 3773000, 3773000, 3772000, 3173000, 3174000, 3174000, 3173000, 3173000))	FALSE	FALSE	FALSE
1kmE3772N3174	3772000	3174000	list(c(3772000, 3772000, 3773000, 3773000, 3772000, 3174000, 3175000, 3175000, 3174000, 3174000))	FALSE	FALSE	FALSE
1kmE3772N3175	3772000	3175000	list(c(3772000, 3772000, 3773000, 3773000, 3772000, 3175000, 3176000, 3176000, 3175000, 3175000))	FALSE	FALSE	FALSE
1kmE3772N3176	3772000	3176000	list(c(3772000, 3772000, 3773000, 3773000, 3772000, 3176000, 3177000, 3177000, 3176000, 3176000))	FALSE	FALSE	FALSE
1kmE3772N3177	3772000	3177000	list(c(3772000, 3772000, 3773000, 3773000, 3772000, 3177000, 3178000, 3178000, 3177000, 3177000))	FALSE	FALSE	FALSE
1kmE3772N3178	3772000	3178000	list(c(3772000, 3772000, 3773000, 3773000, 3772000, 3178000, 3179000, 3179000, 3178000, 3178000))	FALSE	FALSE	FALSE
1kmE3772N3179	3772000	3179000	list(c(3772000, 3772000, 3773000, 3773000, 3772000, 3179000, 3180000, 3180000, 3179000, 3179000))	FALSE	FALSE	FALSE
1kmE3772N3180	3772000	3180000	list(c(3772000, 3772000, 3773000, 3773000, 3772000, 3180000, 3181000, 3181000, 3180000, 3180000))	FALSE	FALSE	FALSE
1kmE3772N3181	3772000	3181000	list(c(3772000, 3772000, 3773000, 3773000, 3772000, 3181000, 3182000, 3182000, 3181000, 3181000))	FALSE	FALSE	FALSE
1kmE3772N3182	3772000	3182000	list(c(3772000, 3772000, 3773000, 3773000, 3772000, 3182000, 3183000, 3183000, 3182000, 3182000))	FALSE	FALSE	FALSE
1kmE3772N3183	3772000	3183000	list(c(3772000, 3772000, 3773000, 3773000, 3772000, 3183000, 3184000, 3184000, 3183000, 3183000))	FALSE	FALSE	FALSE
1kmE3772N3184	3772000	3184000	list(c(3772000, 3772000, 3773000, 3773000, 3772000, 3184000, 3185000, 3185000, 3184000, 3184000))	FALSE	FALSE	FALSE
1kmE3772N3185	3772000	3185000	list(c(3772000, 3772000, 3773000, 3773000, 3772000, 3185000, 3186000, 3186000, 3185000, 3185000))	FALSE	FALSE	FALSE
1kmE3772N3186	3772000	3186000	list(c(3772000, 3772000, 3773000, 3773000, 3772000, 3186000, 3187000, 3187000, 3186000, 3186000))	FALSE	FALSE	FALSE
1kmE3772N3187	3772000	3187000	list(c(3772000, 3772000, 3773000, 3773000, 3772000, 3187000, 3188000, 3188000, 3187000, 3187000))	FALSE	FALSE	FALSE
1kmE3772N3188	3772000	3188000	list(c(3772000, 3772000, 3773000, 3773000, 3772000, 3188000, 3189000, 3189000, 3188000, 3188000))	FALSE	FALSE	FALSE
1kmE3772N3189	3772000	3189000	list(c(3772000, 3772000, 3773000, 3773000, 3772000, 3189000, 3190000, 3190000, 3189000, 3189000))	FALSE	FALSE	FALSE
1kmE3772N3190	3772000	3190000	list(c(3772000, 3772000, 3773000, 3773000, 3772000, 3190000, 3191000, 3191000, 3190000, 3190000))	FALSE	FALSE	FALSE
1kmE3772N3191	3772000	3191000	list(c(3772000, 3772000, 3773000, 3773000, 3772000, 3191000, 3192000, 3192000, 3191000, 3191000))	FALSE	FALSE	FALSE
