groep,soort,GBIF_canonicalName,GBIF_scientificName,GBIF_code,species_wettelijke_naam,species_wettelijke_naam_bron,reg,rip,dun,vad,hoc,marien,brakwater,zoetwater,terrestrisch,natuur,volksgezondheid,veiligheid,infrastructuur,socioeconomisch,indamming_min,indamming_gem,indamming_stafw,indamming_max,uitroeiing_min,uitroeiing_gem,uitroeiing_stafw,uitroeiing_max,int_groep,n_tot,unique_cells
dier,Amerikaanse baars,Morone americana,"Morone americana (Gmelin, 1789)",2394604,"Morone americana (Gmelin, 1789)",4,4,NA,NA,NA,NA,1,1,1,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,IRR,NA,NA
dier,Amynthas agrestis,Amynthas agrestis,"Amynthas agrestis (Goto & Hatai, 1899)",9225458,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dier,Amynthas tokioensis,Amynthas tokioensis,"Amynthas tokioensis (Beddard, 1892)",9448251,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dier,Aziatische modderkruiper,Misgurnus anguillicaudatus,"Misgurnus anguillicaudatus (Cantor, 1842)",2367919,"Misgurnus anguillicaudatus (Cantor, 1842)",5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dier,Aziatische naaldmier,Brachyponera chinensis,"Brachyponera chinensis (Emery, 1895)",10314173,"Brachyponera chinensis (Emery, 1895)",5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dier,Aziatische reuzenhoornaar,Vespa mandarinia,"Vespa mandarinia Smith, 1852",5871429,"Vespa mandarinia Smith, 1852",5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dier,Canadese bever,Castor canadensis,"Castor canadensis Kuhl, 1820",2439838,"Castor canadensis Kuhl, 1820",5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dier,Indische mangoeste,Herpestes javanicus,"Herpestes javanicus (É.Geoffroy Saint-Hilaire, 1818)",2434271,"Herpestes javanicus É. Geoffroy Saint-Hilaire, 1818",1,1,NA,NA,NA,NA,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,REL-AFW,NA,NA
dier,Kentuckyrivierkreeft,Faxonius juvenilis,"Faxonius juvenilis (Hagen, 1870)",8721209,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dier,Metaphire hilgendorfi,Metaphire hilgendorfi,"Metaphire hilgendorfi (Michaelsen, 1892)",8458912,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dier,Nieuw-Guinese landplatworm,Platydemus manokwari,"Platydemus manokwari Beauchamp, 1962",5892137,"Platydemus manokwari de Beauchamp, 1963",5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dier,Nieuw-Zeelandse platworm,Arthurdendyus triangulatus,"Arthurdendyus triangulatus (Dendy, 1895)",2502792,"Arthurdendyus triangulatus (Dendy, 1894) Jones & Gerard (1999)",3,3,NA,NA,NA,NA,0,0,0,1,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,REL-AFW,NA,NA
dier,Noord-Aziatische modderkruiper,Misgurnus bipartitus,"Misgurnus bipartitus (Sauvage & Dabry de Thiersant, 1874)",2367913,"Misgurnus bipartitus (Sauvage & Dabry de Thiersant, 1874)",5,5,NA,NA,NA,NA,0,0,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,REL-AAN-SPO,NA,NA
dier,Procambarus zonangulus,Procambarus zonangulus,"Procambarus zonangulus Hobbs & Hobbs Iii, 1990",2227231,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dier,Thailandeekhoorn,Callosciurus finlaysonii,"Callosciurus finlaysonii (Horsfield, 1823)",2437399,"Callosciurus finlaysonii (Horsfield, 1823)",4,4,NA,NA,NA,NA,0,0,0,1,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,REL-AFW,NA,NA
dier,amoergrondel,Perccottus glenii,"Perccottus glenii Dybowski, 1877",2390064,"Perccottus glenii Dybowski, 1877",1,1,NA,NA,NA,NA,0,1,1,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,REL-AFW,NA,NA
dier,axishert,Axis axis,"Axis axis (Erxleben, 1777)",2440934,"Axis axis (Erxleben, 1777)",4,4,NA,NA,NA,NA,0,0,0,1,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,REL-AFW,NA,NA
dier,calicotrivierkreeft,Faxonius immunis,"Faxonius immunis (Hagen, 1870)",8930656,"Faxonius immunis (Hagen, 1870)",5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dier,dwergvuurmier,Wasmannia auropunctata,"Wasmannia auropunctata (Roger, 1863)",1315391,"Wasmannia auropunctata (Roger, 1863)",4,4,NA,NA,NA,NA,0,0,0,1,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,REL-AFW,NA,NA
