specieskey;unique_cells;soort
1311477;11930;Aziatische hoornaar
1651430;16;Aziatische tijgermug
2225776;994;Chinese wolhandkrab
2226990;1;Californische rivierkreeft
2227289;62;gestreepte Amerikaanse rivierkreeft
2227300;452;rode Amerikaanse rivierkreeft
2340977;6;zwarte dwergmeerval
2362868;804;blauwbandgrondel
2394486;849;zonnebaars
2427091;177;Amerikaanse stierkikker
2433536;1;rode neusbeer
2434552;7;wasbeerhond
2437282;16;Amerikaanse rode eekhoorn
2437394;1;Pallas' eekhoorn
2437450;57;Siberische grondeekhoorn
2440946;157;Chinese muntjak
2440954;31;sikahert
2443002;1023;lettersierschildpad
2479226;2539;halsbandparkiet
2479407;43;monniksparkiet
2480764;142;heilige ibis
2489005;5;treurmaina
2489010;5;kuifmania
2498252;10325;nijlgans
2498305;128;rosse stekelstaart
2502938;7;hamerhoofdplatworm
2765942;10;waterhyacint
2766030;229;moerashyacint
2865524;12;Vallisneria australis
2865565;31;verspreidbladige waterpest
2869311;61;moerasaronskelk
2870583;46;watersla
2882443;17;waterwaaier
2889088;176;Sachalinse duizendknoop
2889173;5986;Japanse duizendknoop
2891770;4291;reuzenbalsemien
2928835;240;boksdoorn
2984306;12;gewone gunnera
3003979;2212;rimpelroos
3034825;3058;reuzenberenklauw
3084842;1;hottentotvijg
3088310;109;Japans hoefblad
3129663;177;struikaster
3169169;2;Aziatische boomwurger
3170247;45;zijdeplant
3190653;934;hemelboom
4038485;75;Japanse x Sachalinse duizendknoop
4264680;99;beverrat
5217334;10;Afrikaanse klauwkikker
5218786;390;wasbeer
5218823;52;Amerikaanse nerts
5219681;9;grijze eekhoorn
5219683;1;Amerikaanse voseekhoorn
5219858;1772;muskusrat
5220136;605;damhert
5220435;2;Chinese weekschildpad
5229055;116;grote Alexanderparkiet
5232437;8486;Canadese gans
5274863;1;grote vlotvaren
5289808;1;Japans steltgras
5304257;627;Spaanse hyacint
5304294;333;Hyacinthoides ×massartiana
5328593;39;Kaapse waterlelie
5329212;630;smalle waterpest
5361762;69;ongelijkbladig vederkruid
5361785;570;parelvederkruid
5361944;6;papiermoerbei
5362054;1118;watercrassula
5384931;94;moerasanemoon
5384932;17;Leidse plant
5389017;4278;late guldenroede
5389029;950;Canadese guldenroede
5420991;19;kleine waterteunisbloem
5421039;628;waterteunisbloem
5828232;3;fraai lampenpoetsersgras
7346102;209;gele maskerbloem
7978544;668;grote waternavel
8701771;76;grote gevlekte landplatworm
8790531;4;grote agaatslak
8848208;46;Afghaanse duizendknoop
8889878;16;prachtslang
8909595;496;gevlekte Amerikaanse rivierkreeft
8946295;22;Turkse rivierkreeft
8971201;4;geknobbelde Amerikaanse rivierkreeft
9442269;25;marmerkreeft
9738098;26;Cipangopaludina chinensis
9799308;1;gewone koningsslang
10919373;14;Mantsjoerese wilde rijst
11055820;1;Hydrocharis laevigata
