WKT,naam,beschrijving
"POINT (5.596824 51.210234)",GAO 4a,
"POINT (5.598726 51.210395)",GAO 4b,
"POINT (5.600369 51.210567)",GAO 4c,
"POINT (5.60081 51.20474)",GAO 5a,E2024STF838
"POINT (5.599015 51.204078)",GAO 5b,
"POINT (5.597942 51.203561)",GAO 5c,
"POINT (5.595109 51.202546)",GAO 5d,
"POINT (5.579704 51.194209)",GAO 6a,
"POINT (5.582086 51.192071)",GAO 6b,
"POINT (5.583928 51.20852)",GAO 7a,
"POINT (5.584013 51.209275)",GAO 7b,E2024STF840
"POINT (5.583814 51.209729)",GAO 7c,
"POINT (5.58542 51.209366)",GAO 7d,
"POINT (5.564144 51.196075)",GAO 8a,
"POINT (5.565464 51.196384)",GAO 8b,
"POINT (5.566151 51.197392)",GAO 8c,
"POINT (5.572742 51.20168)",GAO 8d,E2024STF841
"POINT (5.593018 51.187445)",GAO 9a,
"POINT (5.588883 51.183829)",GAO 9b,
"POINT (5.587151 51.182238)",GAO 9c,
"POINT (5.602901 51.174006)",GAO 10a,
"POINT (5.601672 51.171504)",GAO 10b,
"POINT (5.610766 51.171922)",GAO 10d ,
"POINT (5.61594 51.172424)",GAO 10e,
"POINT (5.630791 51.178139)",GAO 11a,
"POINT (5.630666 51.178824)",GAO 11b,
"POINT (5.630881 51.179214)",GAO 11c,
"POINT (5.63834 51.181621)",GAO 11d,E2024STF844
"POINT (5.640513 51.179351)",GAO 11e,
"POINT (5.635224 51.179516)",GAO 11f,
"POINT (5.644588 51.181841)",GAO 12a,
"POINT (5.645429 51.182156)",GAO 12b,
"POINT (5.647045 51.182314)",GAO 12c,
"POINT (5.648326 51.182169)",GAO 12d,
"POINT (5.649468 51.182088)",GAO 12f,
"POINT (5.651782 51.180879)",GAO 13b,E2024STF846
"POINT (5.654035 51.181222)",GAO 13c,E2024STF846
"POINT (5.653526 51.180863)",GAO 13d,E2024STF846
"POINT (5.655175 51.180353)",GAO 13e,E2024STF846
"POINT (5.655054 51.181175)",GAO 13f,E2024STF846
"POINT (5.656291 51.180068)",GAO 13g,E2024STF846
"POINT (5.623266 51.201468)",GAO 14a,
"POINT (5.62581 51.20165)",GAO 14b,
"POINT (5.629216 51.203046)",GAO 14c,
"POINT (5.636255 51.202784)",GAO 15a,E2024STF790
"POINT (5.637033 51.202606)",GAO 15b,E2024STF790
"POINT (5.638942 51.202095)",GAO 15c,E2024STF790
"POINT (5.640756 51.20145)",GAO 15d,E2024STF790
"POINT (5.62961 51.199628)",GAO 17a,E2024STF791 (volume niet genoteerd), daarom extra filter E2024STF792
"POINT (5.632722 51.193377)",GAO 18a,E2024STF813
"POINT (5.631127 51.19321)",GAO 18b,E2024STF813
"POINT (5.630204 51.193869)",GAO 18c,
"POINT (5.624346 51.188799)",GAO 18e,E2024STF813
"POINT (5.658276 51.184809)",GAO 19a,E2024STF847
"POINT (5.657557 51.185092)",GAO 19b,E2024STF847
"POINT (5.657754 51.184605)",GAO 19c,E2024STF847
"POINT (5.658419 51.184413)",GAO 19d,E2024STF847
"POINT (5.670327 51.18616)",GAO 20a,Foto vergeten
"POINT (5.671736 51.18558)",GAO 20b,E2024STF848
"POINT (5.676485 51.183991)",GAO 20c,E2024STF848
"POINT (5.675936 51.183635)",GAO 20d,E2024STF848
"POINT (5.676041 51.179822)",GAO 21a,
"POINT (5.676371 51.179884)",GAO 21b,
"POINT (5.675929 51.178789)",GAO 21c,
"POINT (5.675806 51.177943)",GAO 21d,
"POINT (5.676004 51.177982)",GAO 21f,
"POINT (5.676069 51.18004)",GAO 21g,
"POINT (5.673958 51.170111)",GAO 22a,
"POINT (5.674623 51.169983)",GAO 22b,
"POINT (5.675384 51.170198)",GAO 22c,
"POINT (5.677337 51.169794)",GAO 22d,E2024STF796
"POINT (5.692689 51.16576)",GAO 22e,
"POINT (5.693483 51.165706)",GAO 22f,E2024STF796
"POINT (5.705091 51.15949)",GAO 23a,E2024STF794
