WKT,naam,beschrijving,Stroom,ID,Sample,Lat,Lon
"POINT (5.608861 51.176681)",13A,E2025STF862,KB2,13,A,51.176681,5.608861
"POINT (5.630645 51.178777)",13C,E2025STF862,KB2,13,C,51.178777,5.630645
"POINT (5.63834 51.181616)",13D,E2025STF862,KB2,13,D,51.181616,5.638340
"POINT (5.645054 51.182659)",13E,E2025STF862,KB2,13,E,51.182659,5.645054
"POINT (5.658059 51.184722)",14A,E2025STF861,KB2,14,A,51.184722,5.658059
"POINT (5.664669 51.186216)",14B,E2025STF861,KB2,14,B,51.186216,5.664669
"POINT (5.676433 51.182917)",14C,E2025STF861,KB2,14,C,51.182917,5.676433
"POINT (5.675899 51.177574)",14D,E2025STF861,KB2,14,D,51.177574,5.675899
"POINT (5.675481 51.170149)",14E,E2025STF861,KB2,14,E,51.170149,5.675481
"POINT (5.69344 51.165803)",15A,E2025STF869,KB2,15,A,51.165803,5.693440
"POINT (5.698978 51.159844)",15B,E2025STF869,KB2,15,B,51.159844,5.698978
"POINT (5.705884 51.158398)",15C,E2025STF869,KB2,15,C,51.158398,5.705884
"POINT (5.712461 51.15727)",15D,E2025STF869,KB2,15,D,51.157270,5.712461
"POINT (5.724056 51.158531)",15E,E2025STF869,KB2,15,E,51.158531,5.724056
"POINT (5.736587 51.160999)",16A,E2025STF864,KB2,16,A,51.160999,5.736587
"POINT (5.741051 51.162797)",16B,E2025STF864,KB2,16,B,51.162797,5.741051
"POINT (5.746051 51.161133)",16C,E2025STF864,KB2,16,C,51.161133,5.746051
"POINT (5.750852 51.157849)",16D,E2025STF864,KB2,16,D,51.157849,5.750852
"POINT (5.751625 51.154407)",16E,E2025STF864,KB2,16,E,51.154407,5.751625
"POINT (5.752057 51.152227)",17A,E2025STF865,KB2,17,A,51.152227,5.752057
"POINT (5.751275 51.149359)",17B,E2025STF865,KB2,17,B,51.149359,5.751275
"POINT (5.750172 51.145085)",17C,E2025STF865,KB2,17,C,51.145085,5.750172
"POINT (5.750977 51.142177)",17D,E2025STF865,KB2,17,D,51.142177,5.750977
"POINT (5.758123 51.1409)",17E,E2025STF865,KB2,17,E,51.140900,5.758123
"POINT (5.766205 51.137634)",18A,E2025STF879,KB2,18,A,51.137634,5.766205
"POINT (5.770985 51.133497)",18B,E2025STF879,KB2,18,B,51.133497,5.770985
"POINT (5.781563 51.129457)",18C,E2025STF879,KB2,18,C,51.129457,5.781563
"POINT (5.790246 51.128385)",18D,E2025STF879,KB2,18,D,51.128385,5.790246
"POINT (5.798342 51.128709)",18E,E2025STF879,KB2,18,E,51.128709,5.798342
"POINT (5.676726 51.179343)",19A,E2025STF863,KB3,19,A,51.179343,5.676726
"POINT (5.686354 51.17527)",19B,E2025STF863,KB3,19,B,51.175270,5.686354
"POINT (5.701148 51.170859)",19C,E2025STF863,KB3,19,C,51.171106,5.702132
"POINT (5.706737 51.163479)",19D,E2025STF863,KB3,19,D,51.163479,5.706737
"POINT (5.709798 51.159754)",19E,E2025STF863,KB3,19,E,51.159754,5.709798
"POINT (5.678228 51.155237)",20A,E2025STF870,KB3,20,A,51.155237,5.678228
"POINT (5.699301 51.159399)",20C,E2025STF870,KB3,20,C,51.159399,5.699301
"POINT (5.69213 51.155991)",20B,E2025STF870,KB3,20,B,51.155991,5.692130
"POINT (5.700862 51.155788)",20D,E2025STF870,KB3,20,D,51.155788,5.700862
"POINT (5.70848 51.155535)",20E,E2025STF870,KB3,20,E,51.155535,5.708480
"POINT (5.720132 51.16011)",21A,E2025STF866,KB3,21,A,51.160110,5.720132
"POINT (5.728131 51.161092)",21B,E2025STF866,KB3,21,B,51.161092,5.728131
"POINT (5.733626 51.161316)",21C,E2025STF866,KB3,21,C,51.161316,5.733626
"POINT (5.740203 51.164619)",21D,E2025STF866,KB3,21,D,51.164619,5.740203
"POINT (5.745081 51.165902)",21E,E2025STF866,KB3,21,E,51.165902,5.745081
"POINT (5.751263 51.161091)",22A,E2025STF880,KB3,22,A,51.161091,5.751263
"POINT (5.758368 51.168133)",22B,E2025STF880,KB3,22,B,51.168133,5.758368
"POINT (5.770003 51.169873)",22D,E2025STF880,KB3,22,D,51.169873,5.770003
"POINT (5.779846 51.17179)",22E,E2025STF880,KB3,22,E,51.171790,5.779846
"POINT (5.830964 51.152649)",38A,E2025STF878,PLAS,38,A,51.150711,5.835341
"POINT (5.825041 51.146629)",38B,E2025STF878,PLAS,38,B,51.150364,5.842486
"POINT (5.82197 51.14296)",38C,E2025STF878,PLAS,38,C,51.147442,5.838460
"POINT (5.820607 51.13768)",38D,E2025STF878,PLAS,38,D,51.142795,5.845927
"POINT (5.833795 51.15854)",38E,E2025STF878,PLAS,38,E,51.146427,5.850103
