soort,species,abbr,nPATDAT_incl_ob,nBehOve,nBosdec,nEigend,nHuur,nProLan,nErfpac,inPATDAT_incl_ob,inAntKem,inBraWou,inDemZKe,inGroGor,inKusWes,inLtHKem,inTaxand,inVArSch,inHKeVoe,inZanVla,ofPATDAT_incl_ob,ofAntKem,ofBraWou,ofDemZKe,ofGroGor,ofKusWes,ofLtHKem,ofTaxand,ofVArSch,ofHKeVoe,ofZanVla,selPATDAT_incl_ob,selAntKem,selBraWou,selDemZKe,selGroGor,selKusWes,selLtHKem,selTaxand,selVArSch,selHKeVoe,selZanVla
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,29,11,8,8,1,1,0,0.313572, 0.126224,0.012945, 0.144090,0.008473,0.009115,0.000502,0.003314,0.008909,0,0,0.002543, 0.009891,0.001271, 0.012592,0.001616,0.000927,0.000021,0.000199,0.001545,0,0,4.732014,18.404010,2.365588,23.429252,3.007321,1.725196,0.039261,0.369529,2.873883,0,0
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,1208,140,573,444,17,20,14,0.102907,0.020776,0.004765,0.011487,0.011516,0.012708,0.005023,0.014040,0.007391,0.005036,0.010049,0.130511,0.254578,0.073175,0.156977,0.343522,0.202139,0.033028,0.131553,0.200361,0.042525,0.175060,1.552944,3.029198,0.870702,1.867853,4.087538,2.405230,0.393002,1.565341,2.384076,0.506002,2.083018
rimpelroos,Rosa rugosa Thunb.,Rr,279,41,132,97,1,4,4,0.122924,0.007048,0.002638,0.003920,0.006417, 0.082437,0.002658,0.007694,0.003641,0.002099,0.004373,0.011660,0.006459,0.003030,0.004007,0.014317, 0.098077,0.001307,0.005392,0.007382,0.001326,0.005698,1.855013,1.027640,0.482049,0.637477,2.277663,15.603030,0.207951,0.857753,1.174471,0.210896,0.906485
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,1236,116,712,363,17,17,11,0.224167,0.026767,0.015838,0.036792,0.010517,0.018649,0.028123,0.026333,0.006705,0.033251,0.020756,0.113725,0.131206,0.097304,0.201120,0.125496,0.118664,0.073974,0.098701,0.072716,0.112328,0.144641,3.382833,3.902810,2.894364,5.982438,3.732963,3.529747,2.200393,2.935922,2.162985,3.341277,4.302430
reuzenberenklauw,Heracleum mantegazzianum Sommier & Levier,Hm,387,42,180,147,3,7,8,0.090729,0.012951,0.007493,0.005640,0.015265,0.009915,0.006139,0.004019,0.016683,0.004725,0.007864,0.010832,0.014939,0.010833,0.007255,0.042865,0.014847,0.003800,0.003545,0.042574,0.003756,0.012896,1.369165,1.888370,1.369394,0.917092,5.418351,1.876679,0.480354,0.448128,5.381577,0.474814,1.630101
Canadese gans,"Branta canadensis (Linnaeus, 1758)",Bc,966,125,425,373,17,15,11,0.138922,0.033685,0.005854,0.012661,0.012511,0.020603,0.005800,0.021335,0.009514,0.003508,0.013318,0.120863,0.283155,0.061677,0.118690,0.256027,0.224813,0.026160,0.137135,0.176946,0.020323,0.159155,2.096434,4.911482,1.069820,2.058744,4.440929,3.899513,0.453769,2.378682,3.069228,0.352517,2.760631
verspreidbladige waterpest,Lagarosiphon major (Ridley) Moss,Lm,7,1,1,4,0,1,0,0.152200,0,0,0.006155,0.003917, 0.088591,0,0, 0.053537,0,0,0.000106,0,0,0.000046,0.000064, 0.000774,0,0, 0.000798,0,0,2.296809,0,0,1.000855,1.390497,16.767787,0,0,17.270198,0,0
zonnebaars,"Lepomis gibbosus Linnaeus, 1758",Lgi,105,12,44,42,4,2,1,0.223464,0.039057,0.002523,0.031309,0.019688,0.001063,0.016881,0.074393,0.006217,0.022910,0.009423,0.003359,0.005673,0.000459,0.005071,0.006961,0.000200,0.001316,0.008262,0.001998,0.002293,0.001946,3.372228,5.694708,0.461132,5.090846,6.988432,0.201128,1.320750,8.294137,2.005419,2.302122,1.953276
rosse stekelstaart,"Oxyura jamaicensis Gmelin, 1789",Oj,25,11,5,7,1,1,0,0.334980, 0.161747,0.005517,0.019509,0.003700, 0.062510,0.00759,0.046137,0.028270,0,0,0.001535, 0.007159,0.000306,0.000963,0.000399, 0.003592,0.00018,0.001562,0.002768,0,0,5.055087,23.583354,1.008298,3.172148,1.313491,11.831386,0.59384,5.143876,9.119386,0,0
sneeuwbes,Symphoricarpos albus (L.) K.Koch,Sa,358,44,175,121,3,7,8,0.149160,0.022556,0.016040,0.010695,0.024078,0.030925,0.006617,0.011510,0.010192,0.006683,0.009864,0.009937,0.014519,0.012941,0.007677,0.037730,0.025840,0.002285,0.005665,0.014514,0.002965,0.009027,2.250926,3.288783,2.931319,1.738994,8.546583,5.853200,0.517680,1.283287,3.287674,0.671536,2.044716
