soort,species,abbr,gebied,overlap,type
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,SBP  Beekprik,0.001455,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,SBP  Beekprik,0.000274,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,SBP  Beekprik,0.518646,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,SBP  Kleine Modderkruiper,0.001194,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,SBP  Kleine Modderkruiper,0.000225,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,SBP  Kleine Modderkruiper,0.425426,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,SBP  Rivierdonderpad,0.002598,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,SBP  Rivierdonderpad,0.000489,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,SBP  Rivierdonderpad,0.925906,sel
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,SBP  Beekprik,0.001910,in
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,SBP  Beekprik,0.054987,of
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,SBP  Beekprik,0.680959,sel
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,SBP  Kleine Modderkruiper,0.003102,in
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,SBP  Kleine Modderkruiper,0.089289,of
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,SBP  Kleine Modderkruiper,1.105758,sel
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,SBP  Rivierdonderpad,0.002630,in
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,SBP  Rivierdonderpad,0.075694,of
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,SBP  Rivierdonderpad,0.937399,sel
rimpelroos,Rosa rugosa Thunb.,Rr,SBP  Beekprik,0.002143,in
rimpelroos,Rosa rugosa Thunb.,Rr,SBP  Beekprik,0.004138,of
