soort,species,abbr,gebied,intersect_area,type
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,Demervallei,822063.0947991994,HBTRL
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,"Valleien van de Laambeek, Zonderikbeek, Slangebeek en Roosterbeek met vijvergebieden en heiden",604956.1487149319,HBTRL
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,"Vennen, heiden en moerassen rond Turnhout",251127.47172915554,HBTRL
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,De Demervallei,999307.3188120677,VGLRL
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,Schorren en polders van de Beneden-Schelde,885113.3469220089,VGLRL
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,Het Vijvercomplex van Midden-Limburg,634330.1821765995,VGLRL
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,Demerland & Zuiderkempen,1055393.4260495221,anb-regio
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,Antwerpse Kempen,893130.9462239157,anb-regio
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,Kust & Westhoek,66762.31712079816,anb-regio
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,Vijvercomplex,558390.2393453243,anb-domein
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,Linkerscheldeoever - Doelpolder Noord,535536.7926463427,anb-domein
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,Webbekoms en Diesters Broek,282265.0477979804,anb-domein
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,Demerland & Zuiderkempen,1042745.3154926755,anb-regio
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,Antwerpse Kempen,893130.9462239157,anb-regio
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,Kust & Westhoek,66762.31712079816,anb-regio
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,Vijvercomplex,558390.2393453243,anb-domein
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,Linkerscheldeoever - Doelpolder Noord,535536.7926463427,anb-domein
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,Webbekoms en Diesters Broek,282265.0477979804,anb-domein
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,Vijvercomplex Midden-Limburg,565295.5134141485,NBHP
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,Webbekomsbroek-Borchbeemden,271903.22451252025,NBHP
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,Schulensbroek,252371.52563812642,NBHP
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,Schelde- en Durme-estuarium van de Nederlandse grens tot Gent,27127829.43170205,HBTRL
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,Demervallei,14984241.743311437,HBTRL
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,"Bovenloop van de Grote Nete met Zammelsbroek, Langdonken en Goor",9537978.231342547,HBTRL
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,Poldercomplex,35250480.60130176,VGLRL
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,De Demervallei,19387848.93590551,VGLRL
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,Schorren en polders van de Beneden-Schelde,17289205.480569407,VGLRL
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,Antwerpse Kempen,23322499.220031872,anb-regio
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,Taxandria,15358325.692462599,anb-regio
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,Kust & Westhoek,14225163.624239577,anb-regio
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,De Polders van Kruibeke,3518935.9652543035,anb-domein
