Soort,HBTRL1,HBTRL2,HBTRL3,VGLRL1,VGLRL2,VGLRL3,PATDATregio1,PATDATregio2,PATDATregio3,PATDATdomein1,PATDATdomein2,PATDATdomein3,NBHP1,NBHP2,NBHP3
heilige ibis,Demervallei,"Valleien van de Laambeek, Zonderikbeek, Slangebeek en Roosterbeek met vijvergebieden en heiden",Bossen van de Vlaamse Ardennen en andere Zuidvlaamse bossen,De Demervallei,Schorren en polders van de Beneden-Schelde,Het Vijvercomplex van Midden-Limburg,Demerland & Zuiderkempen,Antwerpse Kempen,Vlaamse Ardennen & Schelde-Leie,Vijvercomplex,Linkerscheldeoever - Doelpolder Noord,Webbekoms en Diesters Broek,Vijvercomplex Midden-Limburg,Webbekomsbroek-Borchbeemden,Schulensbroek
nijlgans,Schelde- en Durme-estuarium van de Nederlandse grens tot Gent,Demervallei,"Bovenloop van de Grote Nete met Zammelsbroek, Langdonken en Goor",Poldercomplex,De Demervallei,Schorren en polders van de Beneden-Schelde,Antwerpse Kempen,Taxandria,Kust & Westhoek,De Polders van Kruibeke,Vijvercomplex,Dijlevallei,Onbevaarbare waterlopen 1e categorie,Polders van Kruibeke,Schulensbroek
rimpelroos,Duingebieden inclusief IJzermonding en Zwin,Schelde- en Durme-estuarium van de Nederlandse grens tot Gent,"Valleigebied van de Kleine Nete met brongebieden, moerassen en heiden",Westkust,Het Zwin,De Ronde Put,Kust & Westhoek,Taxandria,Antwerpse Kempen,De Westhoek,Zwinduinen en -polders,Het Zwin,Duinbossen van De Haan,Duinen & bossen van De Panne,Zwinduinen en Polders
Amerikaanse vogelkers,Demervallei,Duingebieden inclusief IJzermonding en Zwin,"Vallei- en brongebieden van de Zwarte Beek, Bolisserbeek en Dommel met heide en vengebieden","Hamonterheide, Hageven, Buitenheide, Stamprooierbroek en Mariahof",Militair domein en de vallei van de Zwarte Beek,De Demervallei,Hoge Kempen tot Voeren,Demerland & Zuiderkempen,Lage tot aan Hoge Kempen,MD Kamp Beverlo,Meerdaalwoud,Teut-Ten Haagdoorn,Meerdaalwoud-Heverleebos,BHP06/41-512-5/262 - stad Genk,Duinen & bossen van De Panne
reuzenberenklauw,Bossen van de Vlaamse Ardennen en andere Zuidvlaamse bossen,"Vallei- en brongebieden van de Zwarte Beek, Bolisserbeek en Dommel met heide en vengebieden",Bossen van het zuidoosten van de Zandleemstreek,De Demervallei,Durme en de middenloop van de Schelde,Poldercomplex,Vlaamse Ardennen & Schelde-Leie,Groene Gordels,Antwerpse Kempen,Dorent,De Gavers,Tangebeekbos,Onbevaarbare waterlopen 1e categorie,Scheldemeersen,Dorent
Canadese gans,Schelde- en Durme-estuarium van de Nederlandse grens tot Gent,Demervallei,Polders,Poldercomplex,Schorren en polders van de Beneden-Schelde,Durme en de middenloop van de Schelde,Antwerpse Kempen,Taxandria,Kust & Westhoek,De Polders van Kruibeke,Het Zwin,Kalmthoutse Heide - Eig. Gem. Kalmthout,Onbevaarbare waterlopen 1e categorie,Polders van Kruibeke,Kalmthoutse Heide
verspreidbladige waterpest,Duingebieden inclusief IJzermonding en Zwin,Bossen van het zuidoosten van de Zandleemstreek,-,De Demervallei,-,-,Kust & Westhoek,Vlaamse Ardennen & Schelde-Leie,Demerland & Zuiderkempen,De Noordduinen,Makegemse bossen,Kwartier Adj VI F. Allaeys,Noordduinen,Makegemse Bossen,Bourgoyen-Ossemeersen
zonnebaars,"Bovenloop van de Grote Nete met Zammelsbroek, Langdonken en Goor",Schelde- en Durme-estuarium van de Nederlandse grens tot Gent,"Vennen, heiden en moerassen rond Turnhout",De Demervallei,Durme en de middenloop van de Schelde,De Ronde Put,Taxandria,Demerland & Zuiderkempen,Groene Gordels,Goorken,De Polders van Kruibeke,Hazewinkel,Bos- en aanvullend landschapsbeheerplan Bokrijk,Onbevaarbare waterlopen 1e categorie,De Maten
muskusrat,Bossen van de Vlaamse Ardennen en andere Zuidvlaamse bossen,"Valleien van de Dijle, Laan en IJse met aangrenzende bos- en moerasgebieden",Polders,IJzervallei,Poldercomplex,Krekengebied,Kust & Westhoek,Vlaamse Ardennen & Schelde-Leie,Brabantse Wouden,Dijlevallei,Merkembroek-Woumenbroek,IJzerbroeken stroomopwaarts Elzendamme,IJzer- en Handzamevallei,Onbevaarbare waterlopen 1e categorie,"Dijle-, Laan- en Ijsevallei"
rosse stekelstaart,Kalmthoutse Heide,Schelde- en Durme-estuarium van de Nederlandse grens tot Gent,Bos- en heidegebieden ten oosten van Antwerpen,IJzervallei,Schorren en polders van de Beneden-Schelde,De Kuifeend en de Blokkersdijk,Antwerpse Kempen,Kust & Westhoek,Taxandria,Linkerscheldeoever - Groot Rietveld,Linkerscheldeoever - Verrebroekse Plassen,De Gavers,De Blankaart,Stappersven,Kuifeend - Grote Kreek
