soort,species,abbr,gebied,overlap,type
Amerikaanse stierkikker,"Lithobates (Rana) catesbeianus Shaw, 1802",Lc,SBP  Beekprik,0.023957,in_sbp
Amerikaanse stierkikker,"Lithobates (Rana) catesbeianus Shaw, 1802",Lc,SBP  Beekprik (Actueel leefgebied),0.013906,in_sbp_al
Amerikaanse stierkikker,"Lithobates (Rana) catesbeianus Shaw, 1802",Lc,SBP  Beekprik (Uitbreiding leefgebied),0.010050,in_sbp_ul
Amerikaanse stierkikker,"Lithobates (Rana) catesbeianus Shaw, 1802",Lc,SBP  Beekprik,0.005180,of_sbp
Amerikaanse stierkikker,"Lithobates (Rana) catesbeianus Shaw, 1802",Lc,SBP  Beekprik (Actueel leefgebied),0.003007,of_sbp_al
Amerikaanse stierkikker,"Lithobates (Rana) catesbeianus Shaw, 1802",Lc,SBP  Beekprik (Uitbreiding leefgebied),0.002173,of_sbp_ul
Amerikaanse stierkikker,"Lithobates (Rana) catesbeianus Shaw, 1802",Lc,SBP  Kleine Modderkruiper,0.040678,in_sbp
Amerikaanse stierkikker,"Lithobates (Rana) catesbeianus Shaw, 1802",Lc,SBP  Kleine Modderkruiper (Actueel leefgebied),0.027200,in_sbp_al
Amerikaanse stierkikker,"Lithobates (Rana) catesbeianus Shaw, 1802",Lc,SBP  Kleine Modderkruiper (Uitbreiding leefgebied),0.013478,in_sbp_ul
Amerikaanse stierkikker,"Lithobates (Rana) catesbeianus Shaw, 1802",Lc,SBP  Kleine Modderkruiper,0.008796,of_sbp
Amerikaanse stierkikker,"Lithobates (Rana) catesbeianus Shaw, 1802",Lc,SBP  Kleine Modderkruiper (Actueel leefgebied),0.005882,of_sbp_al
Amerikaanse stierkikker,"Lithobates (Rana) catesbeianus Shaw, 1802",Lc,SBP  Kleine Modderkruiper (Uitbreiding leefgebied),0.002914,of_sbp_ul
Amerikaanse stierkikker,"Lithobates (Rana) catesbeianus Shaw, 1802",Lc,SBP  Rivierdonderpad,0.025809,in_sbp
Amerikaanse stierkikker,"Lithobates (Rana) catesbeianus Shaw, 1802",Lc,SBP  Rivierdonderpad (Actueel leefgebied),0.006430,in_sbp_al
Amerikaanse stierkikker,"Lithobates (Rana) catesbeianus Shaw, 1802",Lc,SBP  Rivierdonderpad (Uitbreiding leefgebied),0.019379,in_sbp_ul
Amerikaanse stierkikker,"Lithobates (Rana) catesbeianus Shaw, 1802",Lc,SBP  Rivierdonderpad,0.005581,of_sbp
Amerikaanse stierkikker,"Lithobates (Rana) catesbeianus Shaw, 1802",Lc,SBP  Rivierdonderpad (Actueel leefgebied),0.001390,of_sbp_al
Amerikaanse stierkikker,"Lithobates (Rana) catesbeianus Shaw, 1802",Lc,SBP  Rivierdonderpad (Uitbreiding leefgebied),0.004190,of_sbp_ul
Kesslergrondel,"Ponticola kessleri (Günther, 1861)",Pk,SBP  Beekprik,0,in_sbp
