soort,species,abbr,gebied,overlap,type
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,NBHP,0.413901,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,NBHP,0.002530,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,NBHP,4.707440,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,NBHP,49,n_nbhp
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BosbeU,2,n_per_type
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,DomNa,2,n_per_type
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,HarmPG,1,n_per_type
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,Type2,1,n_per_type
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,Type3,10,n_per_type
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,Type4,32,n_per_type
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,VNatre,1,n_per_type
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,Bestuur,0.032446,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,Bestuur,0.001367,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,NatPer,0.000993,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,NatPer,0.000037,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,PrivRec,0.184191,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,PrivRec,0.004824,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,VOANB,0.174573,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,VOANB,0.002462,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,VOander,0.021697,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,VOander,0.007754,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,Andere,0,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,Andere,0,of
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,NBHP,0.160013,in
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,NBHP,0.152945,of
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,NBHP,1.819880,sel
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,NBHP,1273,n_nbhp
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BosbeU,80,n_per_type
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BosreA,2,n_per_type
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BosreE,2,n_per_type
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,DomNa,8,n_per_type
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,HarmPG,5,n_per_type
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,Natres,5,n_per_type
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,Type1,152,n_per_type
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,Type2,334,n_per_type
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,Type3,212,n_per_type
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,Type4,450,n_per_type
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,VNatre,23,n_per_type
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,Andere,0.000965,in
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,Andere,0.148094,of
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,Bestuur,0.016209,in
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,Bestuur,0.106825,of
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,NatPer,0.007911,in
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,NatPer,0.045893,of
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,PrivRec,0.072264,in
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,PrivRec,0.295962,of
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,VOANB,0.056484,in
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,VOANB,0.124546,of
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,VOander,0.005877,in
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,VOander,0.328451,of
rimpelroos,Rosa rugosa Thunb.,Rr,NBHP,0.165721,in
rimpelroos,Rosa rugosa Thunb.,Rr,NBHP,0.011847,of
