soort,species,abbr,gebied,overlap,type
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,N2KHAB,0.124290,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,N2KHAB,0.001346,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,N2KHAB,2.504469,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,1130,0.001522,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,1130,0.000190,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,1130,0.352889,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,1330,0.000545,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,1330,0.001661,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,1330,3.090075,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,2310,0.000306,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,2310,0.000092,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,2310,0.171687,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,2330,0.000114,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,2330,0.000075,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,2330,0.139713,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,3130, 0.062875,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,3130, 0.034540,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,3130,64.268154,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,3140, 0.017744,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,3140, 0.017262,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,3140,32.118814,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,3150, 0.014503,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,3150, 0.020695,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,3150,38.507099,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,3160, 0.003499,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,3160, 0.011833,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,3160,22.016811,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,4010,0.003545,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,4010,0.001422,of
