soort,species,abbr,inSBP  Beekprik,inSBP  Kleine Modderkruiper,inSBP  Rivierdonderpad,ofSBP  Beekprik,ofSBP  Kleine Modderkruiper,ofSBP  Rivierdonderpad,selSBP  Beekprik,selSBP  Kleine Modderkruiper,selSBP  Rivierdonderpad
Pallas' eekhoorn,"Callosciurus erythraeus Pallas, 1779",Ce,0,0,0,0,0,0,0,0,0
moerasaronskelk,Lysichiton americanus Hultén & H. St. John,La,0.013869,0.002711,0.004994,0.000586,0.000115,0.000211,4.936472,0.964887,1.777443
waterwaaier,Cabomba caroliniana Gray,Cca,0,0.024019,0.024019,0,0.000196,0.000196,0,8.549432,8.549432
Chinese moerasslak,"Cipangopaludina chinensis (J.E.Gray, 1833)",Cch,0.020162, 0.047823,0.020162,0.000066, 0.000157,0.000066,7.176581,17.022224,7.176581
Kesslergrondel,"Ponticola kessleri (Günther, 1861)",Pk,0, 0.038443, 0.038443,0, 0.000314, 0.000314,0,13.683256,13.683256
wasbeerhond,"Nyctereutes procyonoides Gray, 1834",Np,0,0,0,0,0,0,0,0,0
Aziatische hoornaar (soort),"Vespa velutina Lepeletier, 1836",Vv,0.000475,0.000462,0.000830,0.011618,0.011289,0.020285,0.169173,0.164382,0.295372
Leidse plant,Saururus cernuus L.,Sce,0, 0.036246,0,0, 0.000227,0,0,12.901509,0
treurmaina,"Acridotheres tristis Linnaeus, 1766",At,0,0,0.016303,0,0,0.000053,0,0,5.802754
moerasanemoon,Houttuynia cordata Thunb.,Hc,0.002863,0.007631,0.002159,0.000117,0.000311,0.000088,1.018989,2.716236,0.768621
Turkse rivierkreeft,"Pontastacus leptodactylus (Eschscholtz, 1823)",Plep,0,0,0.010113,0,0,0.000105,0,0,3.599606
sikahert,"Cervus nippon Temminck, 1838",Cn,0.002517,0.005389,0.005587,0.000081,0.000174,0.000180,0.895792,1.918052,1.988629
gewone gunnera,Gunnera tinctoria (Molina) Mirbel,Gt,0,0.004905,0,0,0.000045,0,0,1.745998,0
marmerkreeft,"Procambarus virginalis Lyko, 2017",Pv,0,0,0,0,0,0,0,0,0
Noord-Aziatische modderkruiper,"Misgurnus bipartitus (Sauvage & Dabry de Thiersant, 1874)",Mb,0,0,0,0,0,0,0,0,0
Japans steltgras,Microstegium vimineum (Trin.) A. Camus,Mvim,0,0,0,0,0,0,0,0,0
Pontische stroomgrondel,"Neogobius fluviatilis (Pallas, 1814)",Nf,0, 0.093055, 0.093055,0, 0.000076, 0.000076,0,33.121830,33.121830
Afrikaanse klauwkikker,"Xenopus laevis (Daudin, 1802)",Xl,0,0,0,0,0,0,0,0,0
fraai lampenpoetsersgras,Cenchrus setaceus (Forssk.) Morrone,Cs,0,0,0,0,0,0,0,0,0
grote vlotvaren,Salvinia molesta D.S.Mitch.,Sm,0,0,0,0,0,0,0,0,0
geknobbelde Amerikaanse rivierkreeft,"Faxonius virilis Hagen, 1870",Fv,0,0,0,0,0,0,0,0,0
