soort,species,abbr,gebied,overlap,type
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,SBP  Heivlinder,0.017149,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,SBP  Heivlinder,0.000013,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,SBP  Heivlinder,0.023649,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,SBP Heivlinder (De Maten), 0.008574,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,SBP Heivlinder (De Maten), 0.013366,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,SBP Heivlinder (De Maten),24.870235,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,SBP Heivlinder (Groot Schietveld),0.008574,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,SBP Heivlinder (Groot Schietveld),0.003717,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,SBP Heivlinder (Groot Schietveld),6.915382,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,SBP Heivlinder (Ophovenerbos),0,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,SBP Heivlinder (Ophovenerbos),0,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,SBP Heivlinder (Ophovenerbos),0,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,SBP Heivlinder (Molenbos - Drieboomkesberg),0,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,SBP Heivlinder (Molenbos - Drieboomkesberg),0,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,SBP Heivlinder (Molenbos - Drieboomkesberg),0,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,SBP Heivlinder (Mechelse heide),0,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,SBP Heivlinder (Mechelse heide),0,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,SBP Heivlinder (Mechelse heide),0,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,SBP Heivlinder (Beverbeekse Heide),0,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,SBP Heivlinder (Beverbeekse Heide),0,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,SBP Heivlinder (Beverbeekse Heide),0,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,SBP Heivlinder (Schemmersberg - Terril Winterslag),0,in
