soort,species,inN2KHAB,in1130,in1330,in2310,in2330,in3130,in3140,in3150,in3160,in4010,in4030,in6230,in6410,in6430,in6510,in7140,in9120,in9130,in9160,in9190,in91E0,in1140,in1310,in1320,in2110,in2120,in2130,in2150,in2160,in2170,in2180,in2190,in3260,in3270,in5130,in6120,in6210,in7110,in7150,in7210,in7230,in9110,in9150,in91F0,ofN2KHAB,of1130,of1330,of2310,of2330,of3130,of3140,of3150,of3160,of4010,of4030,of6230,of6410,of6430,of6510,of7140,of9120,of9130,of9160,of9190,of91E0,of1140,of1310,of1320,of2110,of2120,of2130,of2150,of2160,of2170,of2180,of2190,of3260,of3270,of5130,of6120,of6210,of7110,of7150,of7210,of7230,of9110,of9150,of91F0,selN2KHAB,sel1130,sel1330,sel2310,sel2330,sel3130,sel3140,sel3150,sel3160,sel4010,sel4030,sel6230,sel6410,sel6430,sel6510,sel7140,sel9120,sel9130,sel9160,sel9190,sel91E0,sel1140,sel1310,sel1320,sel2110,sel2120,sel2130,sel2150,sel2160,sel2170,sel2180,sel2190,sel3260,sel3270,sel5130,sel6120,sel6210,sel7110,sel7150,sel7210,sel7230,sel9110,sel9150,sel91F0
parelvederkruid,Myriophyllum aquaticum (Vell.) Verdc.,0.066272,0,0,0,0, 0.015008,0,0.001849,0.001091,0.002064,0,0,0,0,0,0.000950,0,0,0,0,0.042682,0,0,0,0,0,0,0,0,0,0,0, 0.002628,0,0,0,0,0,0,0,0,0,0,0,0.005911,0,0,0,0, 0.016419,0,0.005254,0.007345,0.001649,0,0,0,0,0,0.004869,0,0,0,0,0.005675,0,0,0,0,0,0,0,0,0,0,0, 0.013037,0,0,0,0,0,0,0,0,0,0,0,5.522875,0,0,0,0,15.340730,0,4.908628,6.862894,1.540332,0,0,0,0,0,4.549466,0,0,0,0,5.302693,0,0,0,0,0,0,0,0,0,0,0,12.180996,0,0,0,0,0,0,0,0,0,0,0
late guldenroede,Solidago gigantea Aiton,0.061228,0,0,0.001271,0.001052,0,0,0,0,0.001133,0.004162,0.001338,0.000334,0.000878,0.005842,0.000566,0.013176,0.001577,0.003018,0.003631,0.018881,0,0,0,0,0.000123,0.001238,0,0.000730,0.000191,0.001231,0.000482,0,0,0,0,0,0,0.000111,0.000013, 0.000169,0.000079,0,0,0.013742,0,0,0.006596,0.011915,0,0,0,0,0.007821,0.011750,0.022658,0.063669,0.080932,0.040259,0.025093,0.009065,0.005738,0.010453,0.010819,0.021699,0,0,0,0,0.004383,0.023002,0,0.013456,0.052595,0.048632,0.063680,0,0,0,0,0,0,0.047185,0.070580, 0.208555,0.002706,0,0,1.485571,0,0,0.713090,1.288041,0,0,0,0,0.845461,1.270235,2.449428,6.882833,8.748992,4.352145,2.712672,0.979973,0.620287,1.129990,1.169563,2.345722,0,0,0,0,0.473852,2.486545,0,1.454660,5.685624,5.257293,6.883974,0,0,0,0,0,0,5.100866,7.629921,22.545378,0.292529,0,0
smalle waterpest,Elodea nuttallii (Planch.) St. John, 0.160933,0,0,0,0, 0.039009, 0.045447, 0.019411,0.000017,0.000850,0,0,0,0,0, 0.003567,0,0,0,0,0.042394,0,0,0,0,0,0,0,0,0,0,0, 0.009946, 0.000291,0,0,0,0,0,0,0,0,0,0, 0.016425,0,0,0,0, 0.048833, 0.100753, 0.063117,0.000134,0.000777,0,0,0,0,0, 0.020918,0,0,0,0,0.006450,0,0,0,0,0,0,0,0,0,0,0, 0.056456, 0.021019,0,0,0,0,0,0,0,0,0,0,13.411628,0,0,0,0,39.873105,82.266401,51.535605,0.109792,0.634541,0,0,0,0,0,17.079637,0,0,0,0,5.266908,0,0,0,0,0,0,0,0,0,0,0,46.096704,17.162622,0,0,0,0,0,0,0,0,0,0
mahonie,Mahonia aquifolium (Pursh) Nutt.,0.099859,0,0,0.000807,0.002269,0,0,0,0,0.000132,0.001253,0.000406,0,0.000244,0.001838,0.000052,0.012644,0.001057,0.001528,0.002030,0.005395,0,0,0,0.000001, 0.008540, 0.015313,0, 0.037090, 0.002707, 0.005430, 0.001114,0,0,0,0,0,0,0.000004,0,0.000005,0,0,0,0.013178,0,0,0.002461,0.015111,0,0,0,0,0.000535,0.002080,0.004043,0,0.013201,0.007449,0.001349,0.005115,0.002260,0.003111,0.003557,0.003645,0,0,0,0.000209, 0.178627, 0.167287,0, 0.401725, 0.438818, 0.126108, 0.086538,0,0,0,0,0,0,0.000995,0,0.003614,0,0,0,2.422853,0,0,0.452556,2.778297,0,0,0,0,0.098329,0.382490,0.743386,0,2.427141,1.369616,0.247956,0.940400,0.415589,0.572031,0.653987,0.670218,0,0,0,0.038446,32.842869,30.757813,0,73.862227,80.682184,23.186570,15.911096,0,0,0,0,0,0,0.182907,0,0.664408,0,0,0
grote waternavel,Hydrocotyle ranunculoides L. f.,0.029754,0,0,0,0,0.001041,0.000196, 0.004873,0,0.000464,0,0,0,0,0,0.000097,0,0,0,0,0.020024,0,0,0,0,0,0,0,0,0,0,0.000061, 0.002774, 0.000209,0,0,0,0,0.000016,0,0,0,0,0,0.004928,0,0,0,0,0.002115,0.000704, 0.025713,0,0.000688,0,0,0,0,0,0.000922,0,0,0,0,0.004944,0,0,0,0,0,0,0,0,0,0,0.001738, 0.025545, 0.024478,0,0,0,0,0.001465,0,0,0,0,0,2.479626,0,0,0,0,1.064254,0.354207,12.938360,0,0.346183,0,0,0,0,0,0.464122,0,0,0,0,2.487697,0,0,0,0,0,0,0,0,0,0,0.874637,12.853870,12.316807,0,0,0,0,0.737278,0,0,0,0,0
Chinese muntjak,"Muntiacus reevesi Ogilby, 1839",0.161650,0,0,0.001573,0,0,0,0,0,0.001125,0.003024,0.001113,0,0,0.001147,0,0.118887,0.006344,0,0.020541,0.007185,0,0,0,0,0,0.000712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001844,0,0,0.000415,0,0,0,0,0,0.000395,0.000434,0.000959,0,0,0.000402,0,0.004158,0.001173,0,0.003111,0.000420,0,0,0,0,0,0.000672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.922077,0,0,0.882588,0,0,0,0,0,0.839634,0.922713,2.038389,0,0,0.854245,0,8.842241,2.494606,0,6.615998,0.892657,0,0,0,0,0,1.429895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japans hoefblad,Petasites japonicus (Siebold & Zucc.) Maxim.,0.076158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052297,0.005087,0,0.005476,0.013297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000904,0.000465,0,0.000410,0.000384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.847793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.889642,2.000112,0,1.763928,1.651995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hemelboom,Ailanthus altissima (Mill.) Swingle,0.040255,0,0,0.000173,0.000193,0,0,0,0,0,0.000825,0.000411,0,0.000013,0.005209,0,0.012341,0.001214,0.002139,0.000823,0.002006,0,0,0,0,0.000181,0.004663,0, 0.006241,0.000053, 0.003617,0.000152,0,0,0,0,0,0,0,0,0,0,0,0,0.002264,0,0,0.000224,0.000547,0,0,0,0,0,0.000584,0.001745,0,0.000307,0.008995,0,0.002128,0.001107,0.001856,0.000614,0.000578,0,0,0,0,0.001617,0.021711,0, 0.028811,0.003642, 0.035797,0.005023,0,0,0,0,0,0,0,0,0,0,0,0,0.976691,0,0,0.096804,0.236188,0,0,0,0,0,0.251863,0.752749,0,0.132486,3.880694,0,0.917846,0.477536,0.800905,0.264943,0.249249,0,0,0,0,0.697771,9.366629,0,12.429443,1.571388,15.443442,2.167011,0,0,0,0,0,0,0,0,0,0,0,0
Amerikaanse nerts,"Mustela vison Schreber, 1777",0.097373,0,0,0,0,0.001213, 0.030736,0.002745,0,0,0,0.003016,0, 0.002002,0.004422,0,0.027375,0,0,0.002457,0.023406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000179,0,0,0,0,0.000099, 0.004454,0.000583,0,0,0,0.000442,0, 0.001597,0.000264,0,0.000163,0,0,0.000063,0.000233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.237706,0,0,0,0,1.239630,55.637241,7.288129,0,0,0,5.521070,0,19.941493,3.294577,0,2.036055,0,0,0.791238,2.907961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amerikaanse hondsvis,"Umbra pygmaea (DeKay, 1842)", 0.171231,0,0,0,0, 0.048326,0, 0.019902, 0.004917, 0.030973,0,0,0,0,0, 0.017822,0,0,0,0,0.040877,0,0,0,0,0,0,0,0,0,0,0, 0.002489,0,0,0,0,   0.005571, 0.000353,0,0,0,0,0, 0.002175,0,0,0,0, 0.007529,0, 0.008054, 0.004716, 0.003524,0,0,0,0,0, 0.013007,0,0,0,0,0.000774,0,0,0,0,0,0,0,0,0,0,0, 0.001758,0,0,0,0,   0.850398, 0.002466,0,0,0,0,0,14.269865,0,0,0,0,49.396275,0,52.841604,30.942370,23.119805,0,0,0,0,0,85.341078,0,0,0,0,5.078467,0,0,0,0,0,0,0,0,0,0,0,11.535100,0,0,0,0,5579.485607,16.182469,0,0,0,0,0
Chinese wolhandkrab,"Eriocheir sinensis H. Milne Edwards, 1854",0.131629, 0.075485,0.001003,0,0,0.004229,0.004548,0.002471,0,0.000214,0,0,0,0,0,0.000594,0,0,0,0,0.029087,0.012103,0, 0.000080, 0.000233,0,0,0,0,0,0,0,0.001485,0.000097,0,0,0,0,0,0,0,0,0,0,0.011778, 0.028402,0.009229,0,0,0.007014,0.013356,0.010643,0,0.000260,0,0,0,0,0,0.004616,0,0,0,0,0.005863,0.012456,0, 0.079429, 0.018285,0,0,0,0,0,0,0,0.011166,0.009289,0,0,0,0,0,0,0,0,0,0,7.259169,17.505028,5.687813,0,0,4.323182,8.231705,6.559416,0,0.159996,0,0,0,0,0,2.845007,0,0,0,0,3.613679,7.677097,0,48.953776,11.269530,0,0,0,0,0,0,0,6.881688,5.724840,0,0,0,0,0,0,0,0,0,0
invasieve duizendknopen,"Reynoutria japonica Houtt.,Reynoutria sachalinensis (F.Schmidt) Nakai,Reynoutria ×bohemica Chrtek & Chrtková",0.059603,0,0,0.001100,0.000880,0,0,0,0,0.000486,0.001589,0.000570,0.000135,0.000659,0.006503,0.000164,0.016043,0.003289,0.003404,0.003615,0.020027,0,0,0,0,0.000055,0.000404,0,0.000130,0.000019,0.000444,0.000036,0,0,0,0.000005,0,0,0.000003,0,0.000040,0,0,0,0.029690,0,0,0.012670,0.022124,0,0,0,0,0.007453,0.009958,0.021431,0.057157,0.134810,0.099456,0.016125,0.024497,0.026555,0.026171,0.023907,0.051083,0,0,0,0,0.004381,0.016663,0,0.005311,0.011912,0.038932,0.010578,0,0,0,0.086037,0,0,0.002676,0,0.110267,0,0,0,1.446128,0,0,0.617119,1.077585,0,0,0,0,0.363015,0.485044,1.043826,2.783943,6.566208,4.844231,0.785427,1.193203,1.293435,1.274729,1.164467,2.488113,0,0,0,0,0.213405,0.811628,0,0.258686,0.580198,1.896287,0.515222,0,0,0,4.190612,0,0,0.130326,0,5.370777,0,0,0
Siberische grondeekhoorn,"Tamias sibiricus Laxmann, 1769", 0.655854,0,0,0,0,0,0,0,0,0,0.001033,0,0,0,0.004722,0, 0.406549,0.003239, 0.102202,0.000014,0.006228,0,0,0,0,0.002057,0.003452,0, 0.007403,0,  0.118269,0.000683,0,0,0,0,0,0,0,0,0,0,0,0, 0.003097,0,0,0,0,0,0,0,0,0,0.000061,0,0,0,0.000685,0, 0.005885,0.000248, 0.007449,0.000001,0.000151,0,0,0,0,0.001540,0.001350,0, 0.002869,0,  0.098288,0.001900,0,0,0,0,0,0,0,0,0,0,0,0,15.912808,0,0,0,0,0,0,0,0,0,0.315366,0,0,0,3.518088,0,30.237235,1.273626,38.270827,0.004507,0.773761,0,0,0,0,7.912235,6.933808,0,14.742802,0,504.992325,9.761078,0,0,0,0,0,0,0,0,0,0,0,0
boksdoorn,Lycium barbarum L.,0.272924,0,0,0.000013,0,0,0,0,0,0,0,0,0,0,0.001668,0,0.000855,0,0.000073,0,0.000293,0,0,0,  0.003349,  0.096017,  0.078913,0,  0.065062, 0.001863, 0.017897, 0.006921,0,0,0,0,0,0,0,0,0,0,0,0,0.005216,0,0,0.000006,0,0,0,0,0,0,0,0,0,0,0.000979,0,0.000050,0,0.000022,0,0.000029,0,0,0,  0.127808,  0.290870,  0.124846,0,  0.102055, 0.043728, 0.060193, 0.077852,0,0,0,0,0,0,0,0,0,0,0,0,6.621888,0,0,0.007212,0,0,0,0,0,0,0,0,0,0,1.242317,0,0.063573,0,0.027396,0,0.036363,0,0,0,162.261615,369.281141,158.501261,0,129.566371,55.515369,76.419519,98.838590,0,0,0,0,0,0,0,0,0,0,0,0
muskusrat,"Ondatra zibethicus Linnaeus, 1766",0.033604,0,0,0.000286,0.000109,0.001295,0.000415,0.001662,0.000031,0.000137,0.000147,0.000038,0.000140, 0.001010,0.009610,0.000452,0.002052,0.000938,0.000613,0.000198,0.013948,0,0,0,0,0.000030,0.000168,0,0,0,0,0.000024,0.000280,0,0,0,0,0,0.000015,0,0.000007,0,0,0,0.009258,0,0,0.001924,0.001600,0.015874,0.009014,0.052903,0.002321,0.001222,0.000537,0.000836,0.034609, 0.120569,0.085823,0.025966,0.001830,0.004420,0.002752,0.000763,0.020773,0,0,0,0,0.001369,0.004040,0,0,0,0,0.004106,0.015564,0,0,0,0,0,0.008517,0,0.010844,0,0,0,0.772244,0,0,0.160488,0.133482,1.324093,0.751920,4.412925,0.193580,0.101901,0.044814,0.069720,2.886945,10.057262,7.158909,2.165982,0.152633,0.368652,0.229557,0.063638,1.732806,0,0,0,0,0.114157,0.336970,0,0,0,0,0.342485,1.298304,0,0,0,0,0,0.710476,0,0.904520,0,0,0
lettersierschildpad,"Trachemys scripta Schoepff, 1792",0.065278,0,0,0,0, 0.016360, 0.006909, 0.008706, 0.003585,0.002331,0,0,0,0,0,0.001093,0,0,0,0,0.025663,0,0,0,0,0,0,0,0,0,0,0.000288,0.000254,0.000008,0,0,0,0,0, 0.000081,0,0,0,0,0.013100,0,0,0,0, 0.040268, 0.030119, 0.055660, 0.054332,0.004189,0,0,0,0,0,0.012606,0,0,0,0,0.007678,0,0,0,0,0,0,0,0,0,0,0.009903,0.002831,0.001167,0,0,0,0,0, 0.114619,0,0,0,0,5.440058,0,0,0,0,16.722065,12.507205,23.113565,22.562108,1.739690,0,0,0,0,0,5.234876,0,0,0,0,3.188346,0,0,0,0,0,0,0,0,0,0,4.112267,1.175419,0.484678,0,0,0,0,0,47.597403,0,0,0,0
smalle olijfwilg,Elaeagnus angustifolia L.,0.123076,0,0,0.001507,0.000004,0,0,0,0,0,0,0,0,0.000159,0.003751,0,0.003040,0,0,0,0,0,0,0, 0.001242,  0.047319, 0.034439,0, 0.018711, 0.002210, 0.008495, 0.002199,0,0,0,0,0,0,0,0,0,0,0,0,0.001904,0,0,0.000539,0.000003,0,0,0,0,0,0,0,0,0.001007,0.001782,0,0.000144,0,0,0,0,0,0,0, 0.038379,  0.116061, 0.044114,0, 0.023763, 0.042009, 0.023131, 0.020029,0,0,0,0,0,0,0,0,0,0,0,0,2.986162,0,0,0.845317,0.004793,0,0,0,0,0,0,0,0,1.578998,2.794060,0,0.226068,0,0,0,0,0,0,0,60.181001,181.989950,69.173511,0,37.262265,65.872117,36.270552,31.407326,0,0,0,0,0,0,0,0,0,0,0,0
