soort,species,inN2KHAB,in1130,in1330,in2310,in2330,in3130,in3140,in3150,in3160,in4010,in4030,in6230,in6410,in6430,in6510,in7140,in9120,in9130,in9160,in9190,in91E0,in1140,in1310,in1320,in2110,in2120,in2130,in2150,in2160,in2170,in2180,in2190,in3260,in3270,in5130,in6120,in6210,in7110,in7150,in7210,in7230,in9110,in9150,in91F0,ofN2KHAB,of1130,of1330,of2310,of2330,of3130,of3140,of3150,of3160,of4010,of4030,of6230,of6410,of6430,of6510,of7140,of9120,of9130,of9160,of9190,of91E0,of1140,of1310,of1320,of2110,of2120,of2130,of2150,of2160,of2170,of2180,of2190,of3260,of3270,of5130,of6120,of6210,of7110,of7150,of7210,of7230,of9110,of9150,of91F0,selN2KHAB,sel1130,sel1330,sel2310,sel2330,sel3130,sel3140,sel3150,sel3160,sel4010,sel4030,sel6230,sel6410,sel6430,sel6510,sel7140,sel9120,sel9130,sel9160,sel9190,sel91E0,sel1140,sel1310,sel1320,sel2110,sel2120,sel2130,sel2150,sel2160,sel2170,sel2180,sel2190,sel3260,sel3270,sel5130,sel6120,sel6210,sel7110,sel7150,sel7210,sel7230,sel9110,sel9150,sel91F0
heilige ibis,"Threskiornis aethiopicus Latham, 1790",0.124290,0.001522,0.000545,0.000306,0.000114, 0.062875, 0.017744, 0.014503, 0.003499,0.003545,0.000620,0.001710, 0.000728,0.000434,0.002095,0.000573,0.004899,0.001407,0.000035,0.000626,0.006510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001346,0.000190,0.001661,0.000092,0.000075, 0.034540, 0.017262, 0.020695, 0.011833,0.001422,0.000102,0.001682, 0.008048,0.002325,0.000839,0.001476,0.000196,0.000297,0.000007,0.000108,0.000435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.504469,0.352889,3.090075,0.171687,0.139713,64.268154,32.118814,38.507099,22.016811,2.645892,0.189164,3.129725,14.974220,4.325668,1.560831,2.745580,0.364357,0.553349,0.012967,0.201543,0.808846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",0.077454,0.012854,0.001116,0.001904,0.001130,0.007044,0.004939,0.002481,0.000986,0.002598,0.002661,0.001021,0.000207,0.000612,0.004927,0.000607,0.010424,0.001306,0.002385,0.002135,0.012230,0.000840,0.000301,0.000012,0.000028,0.000211,0.000610,0,0.000189,0.000000,0.000286,0.000223,0.000957,0.000073,0,0.000003,0.000001, 0.000011,0.000054,0.000009,0.000004,0.000069,0.000002,0,0.131164,0.250505,0.531870,0.089774,0.116304,0.605094,0.751427,0.553617,0.521437,0.162995,0.068254,0.157125,0.357386,0.512472,0.308479,0.244312,0.065157,0.043148,0.075062,0.057791,0.127696,0.044773,0.551078,0.641183,0.114565,0.068245,0.102972,0,0.031616,0.000757,0.102476,0.267135,0.372696,0.361729,0,0.267238,0.038655, 0.898573,0.209409,0.467315,0.049094,0.021475,0.152110,0,1.560705,2.980729,6.328670,1.068217,1.383889,7.199956,8.941161,6.587433,6.204528,1.939466,0.812142,1.869619,4.252500,6.097852,3.670557,2.907050,0.775303,0.513409,0.893160,0.687655,1.519440,0.532748,6.557228,7.629369,1.363200,0.812043,1.225255,0,0.376195,0.009004,1.219356,3.178616,4.434669,4.304174,0,3.179835,0.459948,10.692028,2.491741,5.560538,0.584163,0.255532,1.809942,0
rimpelroos,Rosa rugosa Thunb.,0.121065,0,0,0.000495,0.001093,0,0,0,0,0.000175,0.000872,0.000380,0,0.000488,0.004920,0.000024,0.006291,0.000759,0.000914,0.000594,0.003804,0,0,0, 0.001457,  0.026076, 0.026442,0, 0.034150, 0.001903, 0.007182, 0.003045,0,0,0,0,0,0,0,0,0,0,0,0,0.018464,0,0,0.001745,0.008413,0,0,0,0,0.000820,0.001672,0.004369,0,0.030543,0.023040,0.000723,0.002941,0.001877,0.002152,0.001202,0.002971,0,0,0, 0.443721,  0.630380, 0.333843,0, 0.427477, 0.356544, 0.192765, 0.273384,0,0,0,0,0,0,0,0,0,0,0,0,2.937367,0,0,0.277574,1.338377,0,0,0,0,0.130435,0.266042,0.695053,0,4.859024,3.665446,0.114979,0.467905,0.298570,0.342370,0.191216,0.472599,0,0,0,70.591531,100.287156,53.111029,0,68.007341,56.722562,30.666918,43.492623,0,0,0,0,0,0,0,0,0,0,0,0
Amerikaanse vogelkers,Prunus serotina Ehrh.,0.146898,0,0,0.005229,0.003104,0,0,0,0,0.002537,0.009320,0.002207,0.000341,0.000155,0.004097,0.000596,0.057485,0.003314,0.008630,0.013765,0.019950,0,0,0,0.000001,0.000744,0.004001, 0.000001, 0.008031, 0.000597,0.001533,0.000582,0,0, 0.000298,0,0, 0.000029,0.000064,0.000009,0.000047,0.000230,0,0,0.119821,0,0,0.098627,0.127769,0,0,0,0,0.063656,0.095616,0.135834,0.236178,0.051940,0.102614,0.095942,0.143735,0.043812,0.108637,0.149052,0.083324,0,0,0,0.001787,0.096138,0.270165, 1.000000, 0.537639, 0.598285,0.220076,0.279553,0,0, 0.714443,0,0, 0.988353,0.099242,0.185931,0.210116,0.028671,0,0,3.564159,0,0,2.933712,3.800560,0,0,0,0,1.893501,2.844148,4.040474,7.025252,1.544984,3.052309,2.853846,4.275488,1.303217,3.231467,4.433651,2.478515,0,0,0,0.053141,2.859681,8.036237,29.745625,15.992400,17.796359,6.546305,8.315473,0,0,21.251546,0,0,29.399180,2.952008,5.530648,6.250033,0.852850,0,0
reuzenberenklauw,Heracleum mantegazzianum Sommier & Levier,0.070138,0,0,0.000212,0.000310,0,0,0,0,0.000185,0.000474,0.000340, 0.000539,0.000362,0.007251,0.000174,0.013120,0.004155,0.004608,0.001920,0.032570,0,0,0,0,0.000167,0.001332,0,0.000844,0.000021,0.000939,0.000286,0,0,0,0,0,0,0.000004,0,0,0.000323,0,0,0.013463,0,0,0.000942,0.003008,0,0,0,0,0.001092,0.001144,0.004929, 0.087739,0.028530,0.042735,0.006598,0.007720,0.012926,0.013651,0.004891,0.032012,0,0,0,0,0.005077,0.021160,0,0.013303,0.005007,0.031719,0.032356,0,0,0,0,0,0,0.001285,0,0,0.009481,0,0,1.701732,0,0,0.119072,0.380164,0,0,0,0,0.138090,0.144587,0.623021,11.090552,3.606348,5.401825,0.834058,0.975811,1.633848,1.725486,0.618271,4.046453,0,0,0,0,0.641778,2.674742,0,1.681554,0.632914,4.009351,4.089918,0,0,0,0,0,0,0.162408,0,0,1.198440,0,0
Canadese gans,"Branta canadensis (Linnaeus, 1758)",0.081093,0,0,0.002588,0.001750, 0.010771, 0.007002,0.003737, 0.001734,0.004912,0.003330,0.001328,0.000235,0.000852,0.005111,0.001189,0.010056,0.001133,0.001901,0.002853,0.016171,0,0,0,0.000038,0.000417,0.001029,0,0.000386,0.000009,0.000279,0.000410,0.001555,0.000142,0.000030,0.000000,0.000001,0,0.000089,0.000017,0.000024,0.000008,0,0.000006,0.107439,0,0,0.083700,0.123518, 0.634732, 0.730696,0.572061, 0.628916,0.211386,0.058581,0.140154,0.279157,0.489122,0.219521,0.328387,0.043121,0.025695,0.041035,0.052983,0.115827,0,0,0,0.105061,0.092358,0.119123,0,0.044287,0.015182,0.068718,0.337819,0.415348,0.483780,0.123307,0.008502,0.022426,0,0.236199,0.575274,0.182433,0.001672,0,0.454201,1.863596,0,0,1.451822,2.142486,11.009802,12.674349,9.922731,10.908908,3.666606,1.016121,2.431051,4.842138,8.484111,3.807725,5.696062,0.747954,0.445698,0.711781,0.919025,2.009079,0,0,0,1.822350,1.602010,2.066262,0,0.768191,0.263342,1.191949,5.859671,7.204454,8.391447,2.138836,0.147480,0.388999,0,4.097002,9.978470,3.164408,0.028999,0,7.878384
verspreidbladige waterpest,Lagarosiphon major (Ridley) Moss,0.052337,0,0,0,0,0, 0.032776,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013827,0,0,0,0,0,0,0,0,0,0, 0.005733,0,0,0,0,0,0,0,0,0,0,0,0,0.000201,0,0,0,0,0, 0.002740,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000079,0,0,0,0,0,0,0,0,0,0, 0.003782,0,0,0,0,0,0,0,0,0,0,0,0,4.361566,0,0,0,0,0,59.330362,0,0,0,0,0,0,0,0,0,0,0,0,0,1.717800,0,0,0,0,0,0,0,0,0,0,81.879508,0,0,0,0,0,0,0,0,0,0,0,0
zonnebaars,"Lepomis gibbosus Linnaeus, 1758",0.112112,0.007985,0,0,0, 0.030614, 0.013385, 0.006610, 0.004780,0.005303,0,0,0,0,0, 0.004957,0,0,0,0,0.035860,0,0,0,0,0,0,0,0,0,0,0, 0.002337,0,0,0,0,0, 0.000266,0,0.000017,0,0,0,0.006159,0.001845,0,0,0, 0.031170, 0.024134, 0.017481, 0.029965,0.003943,0,0,0,0,0, 0.023645,0,0,0,0,0.004438,0,0,0,0,0,0,0,0,0,0,0, 0.010788,0,0,0,0,0, 0.012143,0,0.002207,0,0,0,6.182805,1.851686,0,0,0,31.291715,24.227995,17.549325,30.082010,3.958253,0,0,0,0,0,23.737341,0,0,0,0,4.455105,0,0,0,0,0,0,0,0,0,0,0,10.829543,0,0,0,0,0,12.190556,0,2.215239,0,0,0
rosse stekelstaart,"Oxyura jamaicensis Gmelin, 1789", 0.234608,0,0,0,0, 0.026588,  0.129483, 0.015089,  0.053686,0.004087,0,0,0,0,0, 0.002136,0,0,0,0,0.003514,0,0,0,0,0,0,0,0,0,0,0,0.000025,0,0,0,0,0,0,0,0,0,0,0, 0.005935,0,0,0,0, 0.008250,  0.071153, 0.012162,  0.102556,0.000926,0,0,0,0,0, 0.003105,0,0,0,0,0.000133,0,0,0,0,0,0,0,0,0,0,0,0.000035,0,0,0,0,0,0,0,0,0,0,0,19.551549,0,0,0,0,27.176726,234.384227,40.062569,337.829973,3.050806,0,0,0,0,0,10.227725,0,0,0,0,0.436582,0,0,0,0,0,0,0,0,0,0,0,0.115059,0,0,0,0,0,0,0,0,0,0,0
sneeuwbes,Symphoricarpos albus (L.) K.Koch,0.100733,0,0,0.000425,0.000856,0,0,0,0,0.000332,0.001070,0.000507, 0.000590,0.000117,0.002731,0.000051,0.024577,0.009360,0.010791,0.004774,0.020029,0,0,0,0.000011,0.001921, 0.006367,0, 0.007659,0.000104, 0.007912,0.000390,0,0,0,0,0.000012,0,0.000007,0,0,0.000140,0,0,0.010790,0,0,0.001053,0.004627,0,0,0,0,0.001095,0.001441,0.004098, 0.053616,0.005143,0.008982,0.001075,0.008070,0.016248,0.017839,0.006788,0.010985,0,0,0,0.002375,0.032617, 0.056454,0, 0.067332,0.013671, 0.149147,0.024595,0,0,0,0,0.016604,0,0.001465,0,0,0.002289,0,0,2.444067,0,0,0.238504,1.048126,0,0,0,0,0.248131,0.326415,0.928300,12.144844,1.165001,2.034649,0.243592,1.827892,3.680509,4.040933,1.537612,2.488349,0,0,0,0.538060,7.388277,12.787862,0,15.251788,3.096639,33.784231,5.571159,0,0,0,0,3.761005,0,0.331901,0,0,0.518527,0,0
