Soort,inN2KHAB,in1130,in1330,in2310,in2330,in3130,in3140,in3150,in3160,in4010,in4030,in6230,in6410,in6430,in6510,in7140,in7150,in9120,in9130,in9160,in9190,in91E0,in1140,in1310,in1320,in2110,in2120,in2130,in2160,in2170,in2180,in2190,in3110,in3260,in3270,in5130,in6120,in6210,in7110,in7210,in7220,in7230,in9110,in9150,ofN2KHAB,of1130,of1330,of2310,of2330,of3130,of3140,of3150,of3160,of4010,of4030,of6230,of6410,of6430,of6510,of7140,of7150,of9120,of9130,of9160,of9190,of91E0,of1140,of1310,of1320,of2110,of2120,of2130,of2160,of2170,of2180,of2190,of3110,of3260,of3270,of5130,of6120,of6210,of7110,of7210,of7220,of7230,of9110,of9150
heilige ibis,0.175726,0.001547,0.000554,0.000311,0.000161,0.068982,0.025432,0.021176,0.003978,0.005281,0.00139,0.002354,0.000768,0.000968,0.015912,0.001146,0.002052,0.004981,0.005689,0.000035,0.000816,0.012191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001348,0.000189,0.001133,0.000067,0.000057,0.028080,0.020307,0.017990,0.010531,0.001510,0.00017,0.000902,0.002251,0.000469,0.002433,0.001102,0.006077,0.000161,0.000916,0.000005,0.000087,0.000590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nijlgans,0.111579,0.013077,0.001647,0.002278,0.002171,0.009009,0.005691,0.004201,0.001165,0.003623,0.003876,0.002472,0.000710,0.002554,0.011203,0.001903,0.000562,0.013378,0.002572,0.003947,0.002860,0.016281,0.000845,0.000509,0.000127,0.000029,0.000323,0.000794,0.000255,0.000000,0.000325,0.000253,0.000062,0.000894,0.000788,0.000017,0.000192,0.000037,0.000011,0.000030,0.000796,0.000040,0.000067,0.000003,0.130767,0.243840,0.514374,0.074483,0.116616,0.560270,0.694218,0.545258,0.471162,0.158242,0.072434,0.144770,0.317871,0.188994,0.261727,0.279472,0.254283,0.066081,0.063259,0.084554,0.046594,0.120322,0.043286,0.590025,0.622861,0.113434,0.053937,0.069038,0.028068,0.000177,0.082977,0.219305,0.726535,0.329492,0.714436,0.057741,0.712896,0.208189,0.898573,0.636177,0.449831,0.214378,0.016740,0.016735
rimpelroos,0.253308,0.015544,0.001826,0.000848,0.003040,0.000604,0.001470,0.000826,0.000014,0.000233,0.001851,0.001179,0,0.001504,0.010951,0.000097,0,0.008292,0.001472,0.001737,0.000695,0.004578,0.007269,0.000673,0.000044,0.001642,0.047670,0.058996,0.051705,0.009640,0.012223,0.004071,0,0.000959,0.000297,0,0.000615,0.000123,0,0,0.000620,0,0,0,0.019918,0.019447,0.038258,0.001860,0.010954,0.002522,0.012031,0.007189,0.000372,0.000684,0.002321,0.004630,0,0.007468,0.017166,0.000960,0,0.002748,0.002428,0.002497,0.000759,0.002270,0.024974,0.052347,0.014602,0.426870,0.533841,0.344045,0.382173,0.341039,0.209126,0.236551,0,0.023718,0.018071,0,0.153268,0.046813,0,0,0.023506,0,0,0
Amerikaanse vogelkers,0.232270,0.002049,0.000024,0.007181,0.005714,0.005305,0.001552,0.001742,0.000460,0.003886,0.013993,0.005675,0.001168,0.001426,0.007992,0.001905,0.000401,0.072324,0.005306,0.013683,0.019788,0.030794,0.000007,0.000002,0,0.000001,0.002875,0.009049,0.010972,0.002440,0.002474,0.000979,0.000022,0.000424,0.000001,0.000347,0.000007,0.000009,0.000034,0.000011,0.000052,0.000086,0.000111,0,0.097927,0.013742,0.002660,0.084462,0.110404,0.118682,0.068103,0.081334,0.066876,0.061072,0.094069,0.119554,0.188110,0.037969,0.067167,0.100651,0.065328,0.128513,0.046946,0.105464,0.115956,0.081869,0.000129,0.000738,0,0.001769,0.172646,0.282965,0.434854,0.462842,0.226921,0.305063,0.092204,0.056193,0.000272,0.414629,0.010017,0.018211,0.988353,0.083026,0.010663,0.168297,0.010002,0
reuzenberenklauw,0.124196,0.010512,0.000191,0.000250,0.000479,0.000700,0.000663,0.001044,0.000004,0.000242,0.001146,0.002047,0.000931,0.004331,0.014730,0.000480,0.000008,0.017038,0.005867,0.008015,0.003095,0.04360,0,0.000009,0,0,0.000615,0.002008,0.001365,0.00030,0.000876,0.000529,0.000021,0.001359,0.000380,0,0.000244,0.000030,0,0,0.000732,0,0.000355,0,0.013000,0.017507,0.005331,0.000731,0.002297,0.003886,0.007219,0.012106,0.000157,0.000945,0.001912,0.010708,0.037220,0.028624,0.030738,0.006301,0.000341,0.007517,0.012888,0.015337,0.004503,0.02878,0,0.000960,0,0,0.009170,0.015591,0.013428,0.01411,0.019955,0.040935,0.022072,0.044744,0.030797,0,0.080827,0.015416,0,0,0.036910,0,0.007964,0
Canadese gans,0.151414,0.022742,0.003139,0.003345,0.003089,0.012996,0.008533,0.006397,0.002123,0.006494,0.004822,0.002986,0.000725,0.003326,0.012402,0.003346,0.001058,0.012938,0.002863,0.003156,0.003640,0.021182,0.001644,0.001005,0.000269,0.000036,0.000472,0.001322,0.000381,0.000012,0.000335,0.000477,0.000098,0.001474,0.001032,0.000057,0.000290,0.000012,0,0.000049,0.001056,0.000084,0.000008,0,0.120368,0.287646,0.664953,0.074191,0.112520,0.548226,0.706073,0.563134,0.582280,0.192403,0.061122,0.118605,0.220196,0.166922,0.196544,0.333305,0.324506,0.043347,0.047758,0.045865,0.040214,0.106185,0.057105,0.789744,0.894338,0.094265,0.053453,0.077954,0.028461,0.004360,0.058013,0.280395,0.780441,0.368602,0.634856,0.129275,0.731005,0.046558,0,0.709400,0.404723,0.309427,0.001384,0
verspreidbladige waterpest,0.141604,0,0,0,0,0,0.033019,0,0,0,0,0,0,0.004790,0.000257,0,0,0.008228,0,0,0,0.013929,0,0,0,0,0.009775,0.027237,0.032006,0.001042,0.005544,0.005776,0,0,0,0,0,0,0,0,0,0,0,0,0.000094,0,0,0,0,0,0.002287,0,0,0,0,0,0,0.000201,0.000003,0,0,0.000023,0,0,0,0.000058,0,0,0,0,0.000926,0.001344,0.002002,0.000312,0.000803,0.002840,0,0,0,0,0,0,0,0,0,0,0,0
zonnebaars,0.250437,0.008304,0,0.005993,0.003543,0.044552,0.013915,0.014044,0.007987,0.006806,0.004897,0.003622,0.004470,0.000879,0.007851,0.022719,0.002349,0.018687,0,0.007031,0.016868,0.052540,0,0,0,0,0,0,0,0,0,0,0,0.002761,0,0,0.000385,0,0,0.000093,0,0.000140,0,0,0.002798,0.001476,0,0.001868,0.001814,0.026415,0.016184,0.017378,0.030794,0.002834,0.000872,0.002022,0.019073,0.000620,0.001749,0.031812,0.010133,0.000880,0,0.001436,0.002620,0.003702,0,0,0,0,0,0,0,0,0,0,0,0.009706,0,0,0.013657,0,0,0.018764,0,0.007228,0,0
rosse stekelstaart,0.327506,0.00818,0.002320,0.000369,0.000167,0.041383,0.124383,0.040186,0.054274,0.010191,0.000027,0,0,0,0.020876,0.007278,0.000274,0.007259,0,0,0.003830,0.003537,0,0.002785,0,0,0,0.000162,0,0,0,0,0,0.000025,0,0,0,0,0,0,0,0,0,0,0.001434,0.00057,0.002706,0.000045,0.000033,0.009613,0.056675,0.019482,0.081981,0.001663,0.000002,0,0,0,0.001822,0.003993,0.000464,0.000134,0,0,0.000233,0.000098,0,0.012056,0,0,0,0.000053,0,0,0,0,0,0.000034,0,0,0,0,0,0,0,0,0,0
sneeuwbes,0.180732,0.004766,0.000219,0.001166,0.000905,0.001010,0.000561,0.001006,0.000026,0.000399,0.001621,0.001234,0.001047,0.002328,0.008298,0.000402,0.000043,0.035406,0.020524,0.016659,0.005311,0.027363,0.000093,0.000093,0.000101,0,0.005221,0.013334,0.011316,0.002019,0.010284,0.000536,0,0.000273,0,0,0,0.000033,0,0,0.006702,0,0.000434,0,0.010613,0.004453,0.003433,0.001910,0.002435,0.003146,0.003428,0.006543,0.000519,0.000872,0.001518,0.003621,0.023489,0.008629,0.009713,0.002956,0.000971,0.008762,0.025290,0.017883,0.004334,0.010132,0.000238,0.005383,0.024922,0,0.043663,0.058068,0.062464,0.053329,0.131390,0.023270,0,0.005041,0,0,0,0.009489,0,0,0.189667,0,0.005464,0
