"soort";"buffer";"percentage";"aantal";"rang_percentage";"rang_aantal"
"reuzenbalsemien";100;0,0282554509923254;563;4;6
"reuzenbalsemien";125;0,0381262201559133;599;4;6
"reuzenbalsemien";150;0,048235507978924;636;5;6
"reuzenbalsemien";200;0,0686918331494699;712;5;6
"reuzenbalsemien";300;0,109595881849049;823;6;6
"reuzenbalsemien";400;0,149340138150951;931;6;6
"reuzenbalsemien";500;0,188844840204338;1038;7;6
"verspreidbladige waterpest";50;2,73779953333217e-05;4;52;41
"verspreidbladige waterpest";75;5,82825131752622e-05;6;52;40
"verspreidbladige waterpest";100;0,000106087742130515;6;52;40
"verspreidbladige waterpest";125;0,000165185269312017;7;52;42
"verspreidbladige waterpest";150;0,000228083882859511;7;52;41
"verspreidbladige waterpest";200;0,000363592074927261;7;54;48
"verspreidbladige waterpest";300;0,000674508348346283;7;54;47
"verspreidbladige waterpest";400;0,00105638651921873;8;54;48
"verspreidbladige waterpest";500;0,00164702936717544;8;53;52
"grote waterteunisbloem";50;0,00159194772976469;61;15;19
"grote waterteunisbloem";75;0,00300652625750834;73;15;17
"grote waterteunisbloem";100;0,00461010939790494;80;15;18
"grote waterteunisbloem";125;0,00631885775742915;87;15;19
"grote waterteunisbloem";150;0,00809543700366536;90;15;19
"grote waterteunisbloem";200;0,0116995010133269;108;15;20
"grote waterteunisbloem";300;0,0190352073257205;130;17;20
"grote waterteunisbloem";400;0,0264688810791233;165;18;20
"grote waterteunisbloem";500;0,0339481059565606;192;19;21
"kleine waterteunisbloem";50;0,000272280736044995;4;34;41
"kleine waterteunisbloem";75;0,000363717001382768;4;38;42
"kleine waterteunisbloem";100;0,000431857977964653;4;41;41
"kleine waterteunisbloem";125;0,000485621898976383;4;44;44
"kleine waterteunisbloem";150;0,000529924658094658;4;46;44
"kleine waterteunisbloem";200;0,000604390297769898;6;48;49
"kleine waterteunisbloem";300;0,000841305326144046;7;51;47
"kleine waterteunisbloem";400;0,00112350066226235;9;53;47
"kleine waterteunisbloem";500;0,00152183416495614;11;55;50
"moerasaronskelk";50;0,000101635166235689;8;42;39
"moerasaronskelk";75;0,000212548030670386;8;42;39
"moerasaronskelk";100;0,000356643636362781;9;42;39
"moerasaronskelk";125;0,000525138587039797;10;42;40
"moerasaronskelk";150;0,000719826038296597;10;43;40
"moerasaronskelk";200;0,00118187035145987;12;43;44
"moerasaronskelk";300;0,00220558773841333;16;43;42
"moerasaronskelk";400;0,00338037597441138;24;43;40
"moerasaronskelk";500;0,00467552904760341;30;44;41
"Japans steltgras";50;0;0;65;45
"Japans steltgras";75;0;0;67;46
"Japans steltgras";100;0;0;67;45
"Japans steltgras";125;0;0;69;47
"Japans steltgras";150;0;0;69;47
