soort,species,abbr,nNBHP,nBosbeU,nDomNa,nHarmPG,nType2,nType3,nType4,nBosreA,nBosreE,nNatres,nType1,nVNatre,inNBHP,inBestuur,inNatPer,inPrivRec,inVOANB,inVOander,inAndere,ofNBHP,ofBestuur,ofNatPer,ofPrivRec,ofVOANB,ofVOander,ofAndere,selNBHP
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,47,2,2,1,1,10,31,0,0,0,0,0,0.409887,0.039867,0.001010,0.187284,0.159665,0.022062,0,0.002464,0.001652,0.000037,0.004824,0.002214,0.007754,0,4.661787
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,1255,77,8,5,327,211,448,2,2,5,147,23,0.161493,0.016282,0.007973,0.073091,0.057073,0.005942,0.000988,0.148313,0.103099,0.044442,0.287625,0.120915,0.319050,0.145717,1.836713
rimpelroos,Rosa rugosa Thunb.,Rr,292,22,2,1,100,45,102,0,0,1,14,5,0.171881,0.024346,0.005371,0.043409,0.085437,0.012811,0.000507,0.010591,0.010343,0.002009,0.011461,0.012144,0.046154,0.005011,1.954858
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,1176,79,7,3,338,190,363,1,2,5,174,14,0.315000,0.056567,0.030629,0.098751,0.122785,0.002850,0.002029,0.104072,0.128857,0.061419,0.139798,0.093581,0.055062,0.107618,3.582609
reuzenberenklauw,Heracleum mantegazzianum Sommier & Levier,Hm,468,29,4,1,129,73,199,0,0,2,24,7,0.135171,0.020847,0.010592,0.054803,0.037559,0.010274,0.001096,0.011088,0.011790,0.005273,0.019262,0.007107,0.049275,0.014435,1.537344
Canadese gans,"Branta canadensis (Linnaeus, 1758)",Bc,1052,66,7,3,274,187,395,1,1,2,95,21,0.213969,0.021989,0.009271,0.094501,0.078806,0.007918,0.001190,0.133293,0.094445,0.035055,0.252247,0.113250,0.288418,0.118992,2.433548
verspreidbladige waterpest,Lagarosiphon major (Ridley) Moss,Lm,8,0,0,0,1,2,5,0,0,0,0,0,0.224846,0.039232,0,0.047218,0.138396,0,0,0.000117,0.000141,0,0.000106,0.000166,0,0,2.557254
zonnebaars,"Lepomis gibbosus Linnaeus, 1758",Lgi,128,3,3,2,35,18,59,0,0,0,4,4,0.368710,0.052582,0.020974,0.175932,0.10743,0.011595,0.000196,0.003228,0.003174,0.001115,0.006601,0.00217,0.005936,0.000275,4.193468
rosse stekelstaart,"Oxyura jamaicensis Gmelin, 1789",Oj,31,0,1,1,6,5,17,0,0,0,0,1,0.578631,0.050278,0,0.300696,0.222900,0.002399,0.002358,0.001985,0.001189,0,0.004420,0.001764,0.000481,0.001299,6.580975
sneeuwbes,Symphoricarpos albus (L.) K.Koch,Sa,421,26,4,4,132,54,162,2,0,2,27,8,0.183575,0.044297,0.016401,0.049210,0.064171,0.006347,0.003149,0.008447,0.014054,0.004581,0.009703,0.006812,0.017075,0.023264,2.087862
