Soort,nDomeinen,nBehOve,nBosdec,nEigend,nHuur,nProLan,nErfpac,inPATDAT,inAntKem,inDemZKe,inGroGor,inKusWes,inLtHKem,inTaxand,inVArSch,inBraWou,inHKeVoe,inZanVla,inNA,ofPATDAT,ofAntKem,ofDemZKe,ofGroGor,ofKusWes,ofLtHKem,ofTaxand,ofVArSch,ofBraWou,ofHKeVoe,ofZanVla,ofNA,selPATDAT,selAntKem,selDemZKe,selGroGor,selKusWes,selLtHKem,selTaxand,selVArSch,selBraWou,selHKeVoe,selZanVla,selNA
zwartbekgrondel,25,6,10,7,1,0,1,0.053894,0.006817,0,0.009606,0.005106,0.010697,0.011384,0.007663,0,0.000685,0.001935,0,0.000349,0.000427,0,0.001464,0.000415,0.000359,0.000545,0.001062,0,0.000030,0.000172,0,0.813295,0.993984,0,3.409690,0.966467,0.836960,1.269165,2.472063,0,0.068800,0.401174,0
Amerikaanse stierkikker,33,7,11,15,0,0,0,0.129060,0.007540,0.023133,0.015093,0,0,0.064378,0,0.018916,0,0,0,0.001183,0.000668,0.002285,0.003255,0,0,0.004360,0,0.002100,0,0,0,1.947600,1.099393,3.761414,5.357200,0,0,7.177509,0,3.456836,0,0,0
beverrat,18,3,4,10,1,0,0,0.082367,0.002741,0.024286,0,0,0.011466,0,0.003640,0.015199,0.022626,0.002409,0,0.000334,0.000107,0.001061,0,0,0.000241,0,0.000316,0.000746,0.000611,0.000134,0,1.242970,0.399626,3.948959,0,0,0.897069,0,1.174335,2.777588,2.273592,0.499306,0
moerashyacint,41,5,14,17,3,1,1,0.111884,0.003878,0.012415,0.009475,0.012309,0.010933,0.037579,0.014764,0.001268,0.008804,0.000459,0,0.000590,0.000198,0.000706,0.001176,0.000815,0.000299,0.001465,0.001665,0.000081,0.000309,0.000033,0,1.688406,0.565493,2.018644,3.363129,2.329706,0.855383,4.189705,4.762659,0.231646,0.884714,0.095211,0
vijfbladige wingerd,31,4,13,12,0,2,0,0.158873,0.010883,0.012733,0.006588,0.016082,0.024895,0.015659,0.001126,0.044365,0.026542,0,0,0.000589,0.000390,0.000508,0.000574,0.000747,0.000478,0.000429,0.000089,0.001990,0.000655,0,0,2.397498,1.586766,2.070343,2.338474,3.043924,1.947758,1.745854,0.363208,8.107490,2.667150,0,0
valse wingerd,63,8,33,21,1,0,0,0.102232,0.014579,0.013753,0.003799,0.019892,0.003770,0.006984,0.009831,0.006795,0.016963,0.005865,0,0.000867,0.001195,0.001257,0.000758,0.002116,0.000166,0.000438,0.001783,0.000698,0.000958,0.000683,0,1.542745,2.125715,2.236322,1.348603,3.764938,0.294950,0.778624,3.171477,1.241689,1.704541,1.215803,0
Afghaanse duizendknoop,18,2,8,7,0,1,0,0.198430, 0.083265,0.009845, 0.050371,0.001634,0,0.044711,0.007318,0.001286,0,0,0,0.000283, 0.001147,0.000151, 0.001689,0.000029,0,0.000471,0.000223,0.000022,0,0,0,2.994454,12.140383,1.600857,17.879036,0.309289,0,4.984845,2.360772,0.235067,0,0,0
grote waterteunisbloem,86,14,24,40,2,4,2,0.147441,0.015833,0.054888,0.022446,0.019513,0.002068,0.019390,0.006421,0.003416,0,0.003465,0,0.004610,0.004783,0.018492,0.016508,0.007652,0.000335,0.004479,0.004292,0.001293,0,0.001488,0,2.224981,2.308570,8.924872,7.967131,3.693248,0.161774,2.161846,2.071432,0.624246,0,0.718282,0
wasbeer,30,2,13,14,1,0,0,0.173979, 0.082019,0.030540,0,0.000229,0.004732,0.015738,0,0.033575,0.000280,0.006866,0,0.000730, 0.003324,0.001380,0,0.000012,0.000103,0.000488,0,0.001705,0.000008,0.000396,0,2.625462,11.958776,4.965857,0,0.043414,0.370195,1.754627,0,6.135692,0.028139,1.423164,0
gele maskerbloem,42,7,16,16,1,1,1,0.167401,0.034832,0.013603,0.005978,0.007739,0.004804,0.061177,0.025116,0.002545,0.006419,0.005187,0,0.000907,0.001823,0.000794,0.000762,0.000526,0.000135,0.002448,0.002908,0.000167,0.000232,0.000386,0,2.526194,5.078673,2.211847,2.121995,1.464779,0.375869,6.820634,8.102168,0.465096,0.645037,1.075193,0
