Soort,ofVL
heilige ibis,5.29e-4
nijlgans,0.080749
rimpelroos,0.005418
Amerikaanse vogelkers,0.029049
reuzenberenklauw,0.007212
Canadese gans,0.054773
verspreidbladige waterpest,4.6e-5
zonnebaars,7.7e-4
rosse stekelstaart,3.02e-4
sneeuwbes,0.004046
parelvederkruid,9.94e-4
late guldenroede,0.007647
smalle waterpest,0.00117
mahonie,0.005286
grote waternavel,0.001805
Chinese muntjak,4.4e-4
Japans hoefblad,2.27e-4
hemelboom,0.001981
Amerikaanse hondsvis,1.14e-4
Chinese wolhandkrab,0.001555
invasieve duizendknopen,0.018739
Siberische grondeekhoorn,1.87e-4
boksdoorn,7.45e-4
muskusrat,0.010956
lettersierschildpad,0.002381
smalle olijfwilg,5.83e-4
watercrassula,0.001935
Amerikaanse nerts,7.5e-5
Canadese guldenroede,0.001613
reuzenbalsemien,0.014952
Chinese prachtslang,8.1e-5
gevlekte Amerikaanse rivierkreeft,5.21e-4
blauwbandgrondel,5.69e-4
struikaster,3.76e-4
zwartbekgrondel,4.29e-4
Amerikaanse stierkikker,6.08e-4
beverrat,2.69e-4
moerashyacint,3.5e-4
vijfbladige wingerd,2.45e-4
valse wingerd,5.62e-4
Afghaanse duizendknoop,9.4e-5
grote waterteunisbloem,0.002072
wasbeer,2.78e-4
gele maskerbloem,3.59e-4
rode Amerikaanse rivierkreeft,6.15e-4
marmergrondel,8.2e-5
kleine waterteunisbloem,7e-5
egeria,4.6e-5
ongelijkbladig vederkruid,1.34e-4
Aziatische boomwurger,2e-6
zijdeplant,6.7e-5
waterhyacint,2.5e-5
watersla,8.4e-5
Californische rivierkreeft,2e-6
gestreepte Amerikaanse rivierkreeft,9.1e-5
Kaapse waterlelie,1.09e-4
grijze eekhoorn,1.4e-5
Mantsjoerese wilde rijst,1.9e-5
Pallas' eekhoorn,2e-6
moerasaronskelk,1.17e-4
waterwaaier,2.3e-5
Chinese moerasslak,9e-6
Kesslergrondel,1.8e-5
wasbeerhond,5e-6
Aziatische hoornaar (soort),0.045563
Leidse plant,1.7e-5
treurmaina,7e-6
moerasanemoon,8.9e-5
Turkse rivierkreeft,2.5e-5
marmerkreeft,3.6e-5
sikahert,8.8e-5
Amerikaanse voseekhoorn,2e-6
gewone gunnera,2.3e-5
Noord-Aziatische modderkruiper,1.4e-5
Japans steltgras,2e-6
Pontische stroomgrondel,2e-6
Afrikaanse klauwkikker,6e-6
fraai lampenpoetsersgras,2e-6
grote vlotvaren,2e-6
