soort,species,abbr,gebied,overlap,type
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,PATDAT_incl_ob,0.313572,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,PATDAT_incl_ob,0.002543,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,PATDAT_incl_ob,4.732014,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,PATDAT_incl_ob,29,n_domeinen
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BehOve,11,anb_rechten
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,Bosdec,8,anb_rechten
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,Eigend,8,anb_rechten
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,Huur,1,anb_rechten
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,ProLan,1,anb_rechten
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,AntKem, 0.126224,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,AntKem, 0.009891,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,AntKem,18.404010,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BraWou,0.012945,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BraWou,0.001271,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BraWou,2.365588,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,DemZKe, 0.144090,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,DemZKe, 0.012592,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,DemZKe,23.429252,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,GroGor,0.008473,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,GroGor,0.001616,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,GroGor,3.007321,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,KusWes,0.009115,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,KusWes,0.000927,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,KusWes,1.725196,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,LtHKem,0.000502,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,LtHKem,0.000021,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,LtHKem,0.039261,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,Taxand,0.003314,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,Taxand,0.000199,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,Taxand,0.369529,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,VArSch,0.008909,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,VArSch,0.001545,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,VArSch,2.873883,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,HKeVoe,0,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,HKeVoe,0,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,HKeVoe,0,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,ZanVla,0,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,ZanVla,0,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,ZanVla,0,sel
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,PATDAT_incl_ob,0.102907,in
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,PATDAT_incl_ob,0.130511,of
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,PATDAT_incl_ob,1.552944,sel
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,PATDAT_incl_ob,1208,n_domeinen
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BehOve,140,anb_rechten
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,Bosdec,573,anb_rechten
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,Eigend,444,anb_rechten
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,Erfpac,14,anb_rechten
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,Huur,17,anb_rechten
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,ProLan,20,anb_rechten
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,AntKem,0.020776,in
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,AntKem,0.254578,of
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,AntKem,3.029198,sel
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BraWou,0.004765,in
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BraWou,0.073175,of
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,BraWou,0.870702,sel
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,DemZKe,0.011487,in
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,DemZKe,0.156977,of
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,DemZKe,1.867853,sel
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,GroGor,0.011516,in
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,GroGor,0.343522,of
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,GroGor,4.087538,sel
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,HKeVoe,0.005036,in
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,HKeVoe,0.042525,of
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,HKeVoe,0.506002,sel
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,KusWes,0.012708,in
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,KusWes,0.202139,of
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,KusWes,2.405230,sel
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,LtHKem,0.005023,in
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,LtHKem,0.033028,of
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,LtHKem,0.393002,sel
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,Taxand,0.014040,in
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,Taxand,0.131553,of
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,Taxand,1.565341,sel
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,VArSch,0.007391,in
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,VArSch,0.200361,of
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,VArSch,2.384076,sel
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,ZanVla,0.010049,in
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,ZanVla,0.175060,of
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,ZanVla,2.083018,sel
rimpelroos,Rosa rugosa Thunb.,Rr,PATDAT_incl_ob,0.122924,in
