soort,species,abbr,inVGLRL,inBE2100424,inBE2101437,inBE2101538,inBE2200626,inBE2219312,inBE2221314,inBE2223316,inBE2301134,inBE2301235,inBE2301336,inBE2500932,inBE2100323,inBE2101639,inBE2200525,inBE2200727,inBE2217310,inBE2218311,inBE2220313,inBE2300222,inBE2422315,inBE2500121,inBE2500831,inBE2501033,inBE2524317,ofVGLRL,ofBE2100424,ofBE2101437,ofBE2101538,ofBE2200626,ofBE2219312,ofBE2221314,ofBE2223316,ofBE2301134,ofBE2301235,ofBE2301336,ofBE2500932,ofBE2100323,ofBE2101639,ofBE2200525,ofBE2200727,ofBE2217310,ofBE2218311,ofBE2220313,ofBE2300222,ofBE2422315,ofBE2500121,ofBE2500831,ofBE2501033,ofBE2524317,selVGLRL,selBE2100424,selBE2101437,selBE2101538,selBE2200626,selBE2219312,selBE2221314,selBE2223316,selBE2301134,selBE2301235,selBE2301336,selBE2500932,selBE2100323,selBE2101639,selBE2200525,selBE2200727,selBE2217310,selBE2218311,selBE2220313,selBE2300222,selBE2422315,selBE2500121,selBE2500831,selBE2501033,selBE2524317
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,0.444842,0.000596,0.004359,0.030634, 0.008718, 0.088058,0.020535, 0.138724,0.001968,0.019661, 0.122871,0.008718,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003262,0.004986,0.000764,0.003118, 0.011104, 0.024746,0.001127, 0.015476,0.001814,0.003380, 0.012492,0.000643,0,0,0,0,0,0,0,0,0,0,0,0,0,6.170997,9.433640,1.445537,5.899498,21.007917,46.816626,2.132273,29.280004,3.432714,6.394397,23.633767,1.216675,0,0,0,0,0,0,0,0,0,0,0,0,0
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,0.160088,0.000503,0.005431,0.009497,0.001336,0.004982,0.012932,0.017617,0.004545,0.015055,0.015710,0.032031,0.004090,0.003730,0.001250,0.003104,0.002072,0.002155,0.001869,0.001036,0.005148,0.000382,0.009760,0.005605,0.000247,0.179328,0.642603,0.145415,0.147687,0.259873,0.213896,0.108433,0.300261,0.640017,0.395385,0.244009,0.360957,0.206147,0.075848,0.175418,0.145736,0.023115,0.026677,0.072131,0.592885,0.453671,0.037646,0.209120,0.322313,0.054581,2.220797,7.958004,1.800816,1.828950,3.218265,2.648893,1.342835,3.718435,7.925976,4.896449,3.021813,4.470096,2.552931,0.939300,2.172373,1.804795,0.286258,0.330363,0.893276,7.342289,5.618264,0.466213,2.589741,3.991530,0.675933
rimpelroos,Rosa rugosa Thunb.,Rr,0.106144,0,0.000520,0.001329,0.000603,0.000895,0.002956,0.002575,0.000282,0.005288,0.008702,0.006154,0.000045,0.010047,0,0.000096,0.001657,0.000841,0,0.000116,0.000444, 0.040841,0.001342, 0.017478, 0.003936,0.007977,0,0.000933,0.001386,0.007866,0.002577,0.001663,0.002945,0.002661,0.009317,0.009068,0.004653,0.000153,0.013706,0,0.000304,0.001240,0.000698,0,0.004458,0.002623, 0.270244,0.001929, 0.067427, 0.058353,1.472458,0,0.172287,0.255862,1.451856,0.475643,0.306911,0.543531,0.491179,1.719822,1.673785,0.858767,0.028170,2.529785,0,0.056044,0.228838,0.128919,0,0.822943,0.484087,49.882076,0.356066,12.445690,10.770850
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,0.136469,0.000097,0.006877,0.008420, 0.004572,0.009148,0.015795,0.014588,0,0.004587,0.000241,0.000218,0.009173,0.010017,0.004704,0.006664,0.009447,0.014180,0.003815,0.000565,0.001091, 0.009969,0.000202,0.002098,0,0.054994,0.044782,0.066248,0.047104, 0.320028,0.141284,0.047643,0.089443,0,0.043333,0.001344,0.000885,0.166332,0.073269,0.237392,0.112538,0.037908,0.063154,0.052974,0.116363,0.034589, 0.353711,0.001560,0.043403,0,1.893142,1.541596,2.280555,1.621520,11.016760,4.863608,1.640084,3.079027,0,1.491714,0.046266,0.030478,5.725892,2.522254,8.172065,3.874048,1.304945,2.174049,1.823600,4.005713,1.190708,12.176302,0.053695,1.494120,0
reuzenberenklauw,Heracleum mantegazzianum Sommier & Levier,Hm,0.052077,0,0.002997,0.001191,0.000186,0,0.002747,0.008409,0.000529,0.007667,0.001291,0.007752,0.000430,0.000433,0.001024,0,0.003984,0.007117,0.000199,0.000009,0.001238,0.001948,0.001722,0.001204,0,0.005210,0,0.007167,0.001654,0.003238,0,0.002057,0.012801,0.006652,0.017984,0.001790,0.007802,0.001938,0.000787,0.012825,0,0.003969,0.007869,0.000685,0.000471,0.009747,0.017162,0.003295,0.006186,0,0.722427,0,0.993671,0.229392,0.448953,0,0.285242,1.774824,0.922301,2.493535,0.248239,1.081761,0.268702,0.109124,1.778143,0,0.550326,1.091101,0.095041,0.065351,1.351495,2.379507,0.456916,0.857695,0
Canadese gans,"Branta canadensis (Linnaeus, 1758)",Bc,0.204003, 0.000759,0.006478,0.011444,0.002044,0.006331,0.008662,0.020506,0.005333,0.024135,0.030368,0.039042,0.007534,0.004914,0.001853,0.001645,0.001624,0.003033,0.001257, 0.001708,0.006156,0.000943,0.009937,0.007955,0.000343,0.155008, 0.657892,0.117668,0.120716,0.269787,0.184360,0.049267,0.237066,0.509413,0.429942,0.319934,0.298432,0.257580,0.067775,0.176304,0.052394,0.012287,0.025470,0.032917, 0.662671,0.367970,0.063054,0.144427,0.310264,0.051342,2.829996,12.011194,2.148274,2.203926,4.925536,3.365880,0.899480,4.328139,9.300402,7.849498,5.841071,5.448508,4.702671,1.237372,3.218800,0.956571,0.224318,0.465009,0.600969,12.098447,6.718059,1.151184,2.636812,5.664517,0.937354
verspreidbladige waterpest,Lagarosiphon major (Ridley) Moss,Lm,0.037722,0,0,0,0,0,0,0.037722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000024,0,0,0,0,0,0,0.000365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.523287,0,0,0,0,0,0,7.961799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zonnebaars,"Lepomis gibbosus Linnaeus, 1758",Lgi,0.206057, 0.002993,0.008979,0.017148, 0.013770,0,0.020324,0.043169,0, 0.033664,0.001465,0.000330,0,0.029799, 0.023201,0,0.002993,0.005229,0,0,0.002993,0,0,0,0,0.002201, 0.036445,0.002292,0.002542, 0.025544,0,0.001625,0.007015,0, 0.008429,0.000217,0.000035,0,0.005777, 0.031031,0,0.000318,0.000617,0,0,0.002515,0,0,0,0,2.858494,47.339582,2.977370,3.302434,33.179573,0,2.110410,9.111582,0,10.948820,0.281715,0.046052,0,7.503597,40.306852,0,0.413461,0.801729,0,0,3.266300,0,0,0,0
rosse stekelstaart,"Oxyura jamaicensis Gmelin, 1789",Oj,0.471290,0,0,0,0, 0.020546,0.015278,0,0,0.019783, 0.116524,0.025641, 0.061571,0,0,0,0,0,0,  0.078522,0,0, 0.125786,0.007639,0,0.001972,0,0,0,0, 0.003295,0.000479,0,0,0.001941, 0.006760,0.001079, 0.011592,0,0,0,0,0,0,  0.167810,0,0, 0.010067,0.001641,0,6.537889,0,0,0,0,10.923279,1.586461,0,0,6.434092,22.412847,3.578288,38.433225,0,0,0,0,0,0,556.366105,0,0,33.377587,5.439699,0
sneeuwbes,Symphoricarpos albus (L.) K.Koch,Sa,0.065743,0,0.001078,0.002293,0.001339,0.003628,0.004036,0.010071,0.000407,0.008244,0.001724,0.001139,0.000543,0.005001,0.003307,0,0.003505,0.003532,0.000438,0,0.000984, 0.011025,0.001916,0.001533,0,0.003690,0,0.001447,0.001787,0.013055,0.007804,0.001696,0.008600,0.002871,0.010848,0.001342,0.000643,0.001370,0.005094,0.023247,0,0.001959,0.002191,0.000848,0,0.004343, 0.054480,0.002057,0.004417,0,0.912015,0,0.357571,0.441590,3.226816,1.928931,0.419125,2.125690,0.709662,2.681306,0.331682,0.158951,0.338694,1.259160,5.745959,0,0.484091,0.541461,0.209555,0,1.073398,13.465731,0.508379,1.091737,0
