soort,species,abbr,gebied,overlap,type
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,HBTRL,0.350187,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,HBTRL,0.002402,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,HBTRL,4.544332,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2100016,0.004359,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2100016,0.001372,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2100016,2.596509,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2100024, 0.034861,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2100024, 0.006923,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2100024,13.097859,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2100026,0.000410,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2100026,0.000060,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2100026,0.114406,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2100040,0.005715,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2100040,0.000956,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2100040,1.808254,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2200028, 0.008718,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2200028, 0.011723,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2200028,22.179242,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2200031, 0.083980,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2200031, 0.016679,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2200031,31.554556,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2200033,0.004359,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2200033,0.001245,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2200033,2.354531,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2200038,0.009772,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2200038,0.002704,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2200038,5.115013,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2300005,0.000358,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2300005,0.000076,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2300005,0.144566,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2300006,0.033329,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2300006,0.002680,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2300006,5.071220,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2300007,0.030533,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2300007,0.003964,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2300007,7.500421,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2300044,0.004359,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2300044,0.001751,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2300044,3.313321,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2400014, 0.114119,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2400014, 0.016741,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2400014,31.673165,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2500002, 0.015316,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2500002, 0.005912,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2500002,11.185166,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2100015,0,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2100015,0,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2100015,0,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2100017,0,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2100017,0,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2100017,0,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2100019,0,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2100019,0,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2100019,0,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2100020,0,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2100020,0,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2100020,0,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2100045,0,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2100045,0,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2100045,0,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2200029,0,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2200029,0,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2200029,0,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2200030,0,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2200030,0,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2200030,0,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2200032,0,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2200032,0,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2200032,0,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2200034,0,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2200034,0,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2200034,0,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2200035,0,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2200035,0,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2200035,0,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2200036,0,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2200036,0,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2200036,0,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2200037,0,in
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2200037,0,of
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2200037,0,sel
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,BE2200039,0,in
