Soort,inHBTRL,inBE2100016,inBE2100024,inBE2100026,inBE2100040,inBE2200028,inBE2200031,inBE2200033,inBE2200038,inBE2300005,inBE2300006,inBE2300007,inBE2300044,inBE2400014,inBE2500002,inBE2100015,inBE2100017,inBE2100019,inBE2100020,inBE2100045,inBE2200029,inBE2200030,inBE2200032,inBE2200034,inBE2200035,inBE2200036,inBE2200037,inBE2200039,inBE2200041,inBE2200042,inBE2200043,inBE2400008,inBE2400009,inBE2400010,inBE2400011,inBE2400012,inBE2500001,inBE2500003,inBE2500004,ofHBTRL,ofBE2100016,ofBE2100024,ofBE2100026,ofBE2100040,ofBE2200028,ofBE2200031,ofBE2200033,ofBE2200038,ofBE2300005,ofBE2300006,ofBE2300007,ofBE2300044,ofBE2400014,ofBE2500002,ofBE2100015,ofBE2100017,ofBE2100019,ofBE2100020,ofBE2100045,ofBE2200029,ofBE2200030,ofBE2200032,ofBE2200034,ofBE2200035,ofBE2200036,ofBE2200037,ofBE2200039,ofBE2200041,ofBE2200042,ofBE2200043,ofBE2400008,ofBE2400009,ofBE2400010,ofBE2400011,ofBE2400012,ofBE2500001,ofBE2500003,ofBE2500004
heilige ibis,0.350,0.004,0.035,0,0.006,0.009,0.084,0.004,0.010,0,0.033,0.031,0.004,0.114,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.001,0.007,0,0.001,0.012,0.017,0.001,0.003,0,0.003,0.004,0.002,0.017,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nijlgans,0.152,0.002,0.009,0.008,0.009,0.001,0.005,0.003,0.003,0.006,0.025,0.004,0.005,0.014,0.008,0.004,0.006,0.002,0.001,0.002,0.003,0.001,0.004,0.002,0.003,0.000,0.003,0.001,0.001,0.001,0.000,0.001,0.001,0.002,0.004,0.002,0.004,0.001,0.003,0.159,0.073,0.261,0.185,0.221,0.267,0.161,0.136,0.111,0.195,0.303,0.077,0.296,0.305,0.446,0.204,0.123,0.356,0.163,0.706,0.036,0.036,0.214,0.118,0.091,0.118,0.416,0.053,0.133,0.182,0.048,0.022,0.084,0.121,0.108,0.108,0.128,0.041,0.115
rimpelroos,0.185,0,0.000,0.007,0.001,0.001,0.002,0.000,0.001,0.001,0.013,0.003,0.002,0.003,0.001,0,0.002,0.000,0.000,0.002,0,0,0,0,0,0,0.002,0,0,0.000,0,0.001,0,0.000,0.000,0,0.139,0.001,0.001,0.013,0,0.001,0.010,0.002,0.009,0.004,0.001,0.003,0.003,0.011,0.004,0.010,0.004,0.004,0,0.003,0.003,0.002,0.047,0,0,0,0,0,0,0.019,0,0,0.001,0,0.002,0,0.001,0.001,0,0.271,0.004,0.002
Amerikaanse vogelkers,0.270,0.005,0.009,0.016,0.011,0.004,0.014,0.008,0.002,0.012,0.008,0.003,0.006,0.023,0,0.009,0.016,0.002,0.001,0.002,0.015,0.008,0.004,0.005,0.014,0,0.001,0.000,0.001,0.004,0.003,0.003,0.002,0.001,0.013,0.015,0.021,0.005,0.005,0.102,0.094,0.094,0.132,0.105,0.329,0.155,0.119,0.030,0.138,0.034,0.023,0.134,0.182,0,0.165,0.118,0.087,0.045,0.273,0.072,0.083,0.080,0.107,0.152,0,0.045,0.009,0.088,0.258,0.195,0.040,0.035,0.036,0.122,0.257,0.216,0.106,0.064
reuzenberenklauw,0.118,0.001,0.001,0.005,0.002,0.000,0.000,0.001,0.003,0.007,0.009,0.013,0.009,0.006,0.002,0.000,0.005,0,0.001,0.001,0.011,0.000,0.002,0.001,0.000,0.00,0.003,0.002,0.001,0.001,0.002,0.001,0.002,0.004,0.005,0.006,0.006,0.002,0.002,0.011,0.005,0.004,0.010,0.006,0.004,0.001,0.002,0.013,0.019,0.010,0.024,0.051,0.013,0.012,0.001,0.010,0,0.009,0.027,0.013,0.001,0.009,0.005,0.001,0.02,0.035,0.012,0.008,0.013,0.034,0.002,0.010,0.028,0.012,0.024,0.015,0.011,0.006
Canadese gans,0.208,0.003,0.011,0.014,0.012,0.002,0.007,0.003,0.003,0.006,0.041,0.005,0.004,0.016,0.015,0.007,0.009,0.003,0.002,0.003,0.004,0.001,0.004,0.001,0.002,0.000,0.004,0.000,0.001,0.001,0.000,0.001,0.002,0.001,0.004,0.002,0.008,0.001,0.004,0.148,0.095,0.236,0.215,0.208,0.284,0.148,0.083,0.086,0.135,0.342,0.070,0.185,0.249,0.587,0.261,0.124,0.365,0.168,0.677,0.032,0.024,0.157,0.050,0.040,0.043,0.339,0.016,0.109,0.085,0.034,0.020,0.083,0.070,0.081,0.058,0.153,0.027,0.102
verspreidbladige waterpest,0.153,0,0,0,0,0,0,0,0,0,0,0,0.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0
zonnebaars,0.404,0.006,0.049,0.028,0.090,0.014,0.034,0.009,0.002,0,0.041,0,0,0.044,0,0,0.020,0,0.002,0.014,0.005,0.006,0.014,0.003,0,0,0,0,0,0.003,0.003,0,0,0.013,0.003,0,0,0,0,0.004,0.003,0.014,0.006,0.022,0.027,0.010,0.004,0.001,0,0.005,0,0,0.009,0,0,0.004,0,0.003,0.041,0.001,0.002,0.008,0.002,0,0,0,0,0,0.004,0.005,0,0,0.009,0.001,0,0,0,0
rosse stekelstaart,0.186,0,0,0,0,0,0.021,0.015,0,0,0.034,0,0,0,0.022,0.062,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010,0,0,0.001,0,0,0,0,0,0.002,0.002,0,0,0.002,0,0,0,0.005,0.012,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0
sneeuwbes,0.152,0.002,0.002,0.008,0.005,0.001,0.006,0.001,0.002,0.006,0.012,0.009,0.010,0.007,0,0.000,0.004,0.000,0,0.008,0.004,0.002,0.001,0.001,0,0.00,0.002,0.002,0,0.000,0.001,0.004,0.001,0.005,0.003,0.003,0.035,0.002,0.001,0.008,0.004,0.003,0.009,0.007,0.013,0.009,0.002,0.005,0.009,0.007,0.009,0.032,0.008,0,0.001,0.004,0.003,0,0.130,0.003,0.002,0.003,0.002,0,0.01,0.011,0.008,0,0.002,0.007,0.008,0.002,0.020,0.005,0.008,0.051,0.005,0.002
