Soort,inBWKHAB,in1130,in1330,in2310,in2330,in3130,in3140,in3150,in3160,in4010,in4030,in6230,in6410,in6430,in6510,in7140,in9120,in9130,in9160,in9190,in91E0,in1140,in1310,in1320,in2110,in2120,in2130,in2160,in2170,in2180,in2190,in3260,in3270,in6120,in6210,in7110,in7150,in7210,in7230,in9110,in9150,in5130,ofBWKHAB,of1130,of1330,of2310,of2330,of3130,of3140,of3150,of3160,of4010,of4030,of6230,of6410,of6430,of6510,of7140,of9120,of9130,of9160,of9190,of91E0,of1140,of1310,of1320,of2110,of2120,of2130,of2160,of2170,of2180,of2190,of3260,of3270,of6120,of6210,of7110,of7150,of7210,of7230,of9110,of9150,of5130
grote waternavel,0.054,0.16,0.002,0,0.006,0.019,0.005,0.039,0,0.014,0.02,0.001,0,0.014,0.199,0.003,0.087,0.019,0.016,0.007,0.338,0,0,0,0,0.005,0,0.013,0,0,0.001,0.029,0.004,0,0,0,0,0,0,0,0,0,0.002,0.004,0.002,0,0.001,0.002,0.001,0.011,0,0.001,0.001,0,0,0.003,0.011,0.001,0.001,0.001,0.001,0,0.004,0,0,0,0,0.002,0,0.003,0,0,0.002,0.014,0.026,0,0,0,0.002,0,0,0,0,0
Chinese muntjak,0.146,0,0,0.011,0,0,0,0,0.004,0.008,0.023,0.009,0,0,0.018,0,0.693,0.044,0,0.134,0.049,0,0,0,0,0,0.005,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0.002,0,0,0.001,0,0,0.001,0,0.003,0.001,0,0.003,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japans hoefblad,0.077,0.002,0,0,0,0,0,0,0,0,0,0,0,0.052,0.03,0,0.631,0.031,0,0.068,0.181,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hemelboom,0.054,0.071,0,0.002,0.005,0,0.013,0.005,0,0,0.015,0.007,0,0.004,0.089,0.001,0.221,0.039,0.042,0.007,0.075,0,0,0,0,0.008,0.101,0.136,0.014,0.065,0.003,0.062,0.014,0,0,0,0,0,0,0,0,0,0.002,0.002,0,0,0.001,0,0.003,0.002,0,0,0.001,0.001,0,0.001,0.006,0.001,0.002,0.002,0.002,0,0.001,0,0,0,0,0.004,0.023,0.034,0.039,0.035,0.006,0.035,0.111,0,0,0,0,0,0,0,0,0
boksdoorn,0.29,0.039,0.002,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0.004,0,0,0,0.001,0.059,0.001,0,0.011,0.302,0.253,0.225,0.017,0.056,0.022,0,0,0,0,0,0,0,0,0,0,0,0.005,0.002,0.003,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0.009,0.006,0,0.131,0.279,0.112,0.107,0.093,0.058,0.076,0,0,0,0,0,0,0,0,0,0,0
struikaster,0.243,0.103,0.019,0,0.012,0,0.043,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0.022,0.003,0,0.028,0.207,0.208,0.267,0.054,0.014,0.015,0,0,0,0,0,0,0,0,0,0,0,0.002,0.003,0.014,0,0.002,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.009,0,0.146,0.086,0.041,0.057,0.132,0.007,0.023,0,0,0,0,0,0,0,0,0,0,0
Amerikaanse hondsvis,0.224,0,0,0.049,0.042,0.13,0,0.083,0.024,0.071,0.046,0.015,0.007,0.001,0.028,0.123,0.027,0,0,0.038,0.276,0,0,0,0,0,0,0,0,0,0,0.016,0,0,0,0.026,0,0,0,0,0,0,0.001,0,0,0.001,0.002,0.004,0,0.007,0.005,0.002,0,0.001,0.005,0,0,0.018,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0.85,0,0,0,0,0,0
Chinese wolhandkrab,0.184,0.488,0,0.001,0,0.019,0.108,0.01,0,0.002,0,0.003,0.002,0.014,0.107,0.003,0.038,0.002,0.013,0.004,0.124,0.051,0,0,0.001,0.002,0.001,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0.008,0.046,0.001,0,0,0.008,0.077,0.011,0,0.001,0,0.002,0.015,0.01,0.022,0.005,0.001,0,0.002,0.001,0.006,0.013,0,0,0.018,0.003,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0,0
Siberische grondeekhoorn,0.666,0,0,0,0,0,0,0.002,0,0,0.002,0,0,0,0.007,0,0.624,0.005,0.143,0,0.009,0,0,0,0,0.006,0.009,0.021,0,0.172,0.001,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0.006,0,0.007,0,0,0,0,0,0,0.003,0.002,0.006,0,0.098,0.002,0,0,0,0,0,0,0,0,0,0,0
blauwbandgrondel,0.132,0.417,0,0.003,0,0.078,0.015,0.025,0,0.006,0.002,0.006,0.002,0.017,0.104,0.005,0.04,0.006,0.011,0.005,0.244,0,0,0,0,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0,0,0.003,0.012,0,0,0,0.011,0.003,0.009,0,0.001,0,0.001,0.004,0.004,0.007,0.003,0,0,0.001,0,0.004,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0
lettersierschildpad,0.143,0.061,0,0.003,0.007,0.115,0.049,0.058,0.024,0.018,0.017,0.01,0.001,0.012,0.062,0.007,0.259,0.047,0.042,0.02,0.174,0,0,0,0,0,0.004,0.001,0,0.005,0.002,0.002,0,0,0,0,0,0.001,0,0,0,0,0.007,0.005,0,0.001,0.003,0.044,0.032,0.055,0.056,0.005,0.002,0.007,0.005,0.008,0.011,0.012,0.007,0.007,0.006,0.002,0.008,0,0,0,0,0,0.002,0.001,0,0.008,0.01,0.003,0,0,0,0,0,0.115,0,0,0,0
smalle olijfwilg,0.176,0.185,0.007,0.008,0,0,0.032,0,0,0,0,0,0,0,0.041,0,0.027,0,0,0,0,0.039,0,0,0.007,0.269,0.167,0.119,0.019,0.067,0.013,0,0,0,0,0,0,0,0,0,0,0,0.002,0.005,0.006,0.001,0,0,0.007,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0.003,0,0.037,0.039,0.125,0.037,0.029,0.053,0.035,0.023,0,0,0,0,0,0,0,0,0,0,0
watercrassula,0.175,0.033,0.001,0.009,0.014,0.277,0.121,0.012,0.003,0.043,0.052,0.063,0.004,0.002,0.025,0.012,0.11,0.002,0.004,0.056,0.069,0.001,0.002,0,0,0.001,0.039,0.018,0,0.009,0.012,0.005,0,0,0,0,0.001,0,0,0,0,0,0.008,0.003,0.004,0.002,0.007,0.12,0.088,0.013,0.007,0.013,0.007,0.046,0.033,0.001,0.005,0.022,0.003,0,0.001,0.007,0.004,0,0.018,0,0,0.002,0.029,0.015,0.001,0.016,0.067,0.009,0,0,0,0,0.021,0,0,0,0,0
Amerikaanse nerts,0.105,0.046,0.029,0,0,0,0.277,0.072,0,0,0,0.027,0,0.018,0.059,0,0.261,0,0,0,0.208,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0.004,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zwartbekgrondel,0.153,0.406,0,0,0.003,0.001,0.051,0.238,0,0,0,0.001,0,0.015,0.093,0.001,0.039,0,0,0.009,0.079,0,0,0,0,0,0,0,0,0,0,0.058,0.004,0,0,0,0,0,0.001,0,0,0,0.002,0.011,0,0,0,0,0.011,0.076,0,0,0,0,0,0.003,0.006,0.001,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.032,0.028,0,0,0,0,0,0.009,0,0,0
Canadese guldenroede,0.106,0.007,0.002,0.031,0.005,0.022,0.007,0.015,0.012,0.028,0.055,0.005,0.004,0.019,0.099,0.001,0.149,0.003,0.083,0.048,0.357,0,0,0,0,0,0.001,0.013,0.006,0.007,0.001,0.013,0,0,0,0,0,0.001,0.005,0,0,0,0.004,0,0.003,0.004,0.001,0.005,0.003,0.009,0.018,0.005,0.004,0.002,0.019,0.007,0.011,0.001,0.002,0,0.007,0.003,0.01,0,0,0,0,0,0.001,0.006,0.028,0.007,0.003,0.013,0,0,0,0,0,0.071,0.147,0,0,0
reuzenbalsemien,0.147,0.225,0.001,0,0.001,0.015,0.01,0.011,0,0.002,0.003,0.002,0.003,0.033,0.083,0.004,0.13,0.027,0.028,0.019,0.391,0,0,0,0,0,0,0,0.001,0.002,0.001,0.007,0,0,0,0,0,0,0,0,0,0,0.051,0.135,0.01,0,0.004,0.041,0.045,0.074,0.002,0.003,0.003,0.009,0.135,0.151,0.108,0.048,0.024,0.028,0.028,0.016,0.127,0,0,0,0,0.001,0,0.001,0.037,0.017,0.026,0.086,0.046,0,0,0,0.007,0,0.009,0.001,0,0
Chinese prachtslang,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0.803,0,0,0.197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gevlekte Amerikaanse rivierkreeft,0.222,0.041,0,0.011,0.009,0.123,0.399,0.144,0,0.002,0.004,0.001,0.002,0.006,0.031,0.001,0.046,0.001,0.006,0.026,0.115,0,0,0,0,0,0,0,0,0,0,0.03,0.002,0,0,0,0,0,0,0,0,0,0.003,0.002,0,0.001,0.002,0.023,0.123,0.066,0,0,0,0,0.007,0.002,0.003,0,0.001,0,0,0.001,0.003,0,0,0,0,0,0,0,0,0,0,0.024,0.023,0,0,0,0,0,0,0,0,0
Amerikaanse stierkikker,0.137,0.04,0,0.004,0.062,0.06,0.012,0.037,0,0.007,0.001,0.016,0.016,0.044,0.042,0.024,0.08,0,0.014,0.041,0.484,0,0,0,0,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0,0,0.002,0.001,0,0,0.006,0.005,0.002,0.008,0,0,0,0.002,0.028,0.007,0.002,0.009,0,0,0,0.001,0.005,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0
beverrat,0.2,0.047,0,0,0,0.291,0,0.274,0,0.021,0.001,0,0,0.008,0.049,0.017,0.031,0,0.018,0.047,0.092,0.009,0,0,0,0,0,0,0,0,0,0.09,0.005,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0,0.017,0,0.04,0,0.001,0,0,0,0.001,0.001,0.004,0,0,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0.023,0.016,0,0,0,0,0,0,0,0,0
moerashyacint,0.125,0.02,0,0,0.007,0.191,0,0.071,0.007,0.002,0.004,0.001,0.001,0.013,0.016,0.017,0.085,0.01,0.026,0.072,0.406,0,0,0,0,0,0.009,0,0,0.024,0.001,0.015,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0.011,0,0.01,0.003,0,0,0,0.001,0.001,0,0.004,0,0,0.001,0.001,0.003,0,0,0,0,0,0.001,0,0,0.006,0,0.004,0,0,0,0,0,0,0,0,0,0
valse wingerd,0.092,0.061,0,0.029,0.009,0.021,0.025,0.062,0,0.009,0.02,0.017,0,0.018,0.064,0.002,0.163,0.013,0.019,0.043,0.188,0.005,0,0,0.001,0.06,0.042,0.065,0.02,0.028,0.004,0.014,0,0,0,0,0,0,0,0,0,0,0.002,0.001,0,0.001,0.001,0.002,0.004,0.013,0,0.001,0.001,0.002,0,0.003,0.003,0.001,0.001,0,0.001,0.001,0.002,0,0,0,0.003,0.018,0.006,0.01,0.036,0.01,0.005,0.005,0,0,0.013,0,0.002,0,0,0,0,0
vijfbladige wingerd,0.054,0.047,0,0.021,0.004,0.083,0,0,0,0,0.04,0.037,0,0.019,0.052,0,0.217,0.004,0.003,0.028,0.157,0,0,0,0,0.062,0.035,0.097,0,0.043,0,0.044,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0.001,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0.005,0.001,0.004,0,0.004,0,0.004,0,0,0.102,0,0,0,0,0,0,0
Afghaanse duizendknoop,0.159,0,0,0.08,0,0.025,0,0.033,0,0,0,0.005,0,0,0.011,0,0.356,0.058,0,0.13,0.196,0,0,0,0,0.012,0.032,0.03,0,0.026,0.001,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.001,0.001,0.001,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0
grote waterteunisbloem,0.1,0.103,0,0.003,0.027,0.075,0.104,0.032,0.003,0.019,0.026,0.005,0,0.018,0.224,0.003,0.119,0.009,0.008,0.037,0.152,0,0,0,0,0,0,0,0,0,0,0.033,0,0,0,0,0,0,0,0,0,0,0.004,0.005,0,0,0.008,0.018,0.042,0.019,0.005,0.003,0.002,0.002,0.002,0.007,0.026,0.003,0.002,0.001,0.001,0.003,0.004,0,0,0,0,0,0,0,0,0,0,0.034,0,0,0,0,0,0,0,0,0,0
wasbeer,0.204,0.011,0,0,0,0.033,0,0.007,0,0,0.015,0.004,0,0.022,0.044,0,0.315,0.012,0.078,0.051,0.409,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0.002,0,0.001,0,0,0,0,0,0.002,0.001,0,0.001,0,0.002,0.001,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gele maskerbloem,0.104,0.034,0,0,0,0.061,0.141,0.024,0.001,0,0.038,0.007,0,0.037,0.041,0.083,0.117,0.045,0.015,0.037,0.299,0,0,0,0,0,0,0,0,0,0,0.013,0.001,0,0,0,0,0,0,0.004,0,0,0.001,0,0,0,0,0.003,0.011,0.003,0,0,0.001,0.001,0,0.003,0.001,0.017,0,0.001,0,0.001,0.002,0,0,0,0,0,0,0,0,0,0,0.003,0.003,0,0,0,0,0,0,0.001,0,0
rode Amerikaanse rivierkreeft,0.057,0.048,0.083,0,0,0.009,0,0.151,0,0,0,0.002,0,0.038,0.155,0,0.198,0.001,0.007,0,0.29,0,0.017,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.001,0,0.024,0,0,0,0,0.016,0,0,0,0,0,0.003,0.003,0,0.001,0,0,0,0.001,0,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marmergrondel,0.226,0.011,0,0.014,0.008,0.07,0.062,0.335,0.001,0.002,0.017,0.001,0,0.026,0.024,0,0.056,0,0,0.015,0.189,0,0,0,0,0,0,0,0,0,0,0.154,0.014,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0.002,0.003,0.027,0,0,0,0,0,0.001,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.021,0.027,0,0,0,0,0,0,0,0,0
kleine waterteunisbloem,0.257,0,0,0,0,0.017,0.958,0.007,0,0,0,0,0,0,0.013,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
egeria,0.091,0,0,0,0,0.253,0,0.01,0,0,0,0,0,0,0,0.047,0.634,0,0.006,0.009,0.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ongelijkbladig vederkruid,0.143,0,0,0,0.012,0.363,0,0,0,0.048,0.137,0.041,0,0,0,0,0.07,0,0.005,0.222,0.081,0,0,0,0,0,0,0,0,0,0,0.021,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0.01,0,0,0,0.001,0.001,0.002,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0
Aziatische boomwurger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zijdeplant,0.015,0.179,0,0,0,0,0,0,0,0,0,0.034,0,0,0.009,0,0,0,0.002,0.678,0.032,0,0,0,0,0,0,0,0,0,0,0.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
waterhyacint,0.261,0,0,0,0,0.065,0,0,0,0,0,0.022,0.01,0,0,0,0.297,0,0,0.125,0.33,0,0,0,0,0,0,0,0,0,0,0.151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0
watersla,0.143,0,0,0,0,0,0,0.067,0,0,0.003,0.012,0.005,0,0.016,0.002,0.379,0,0,0,0.328,0,0,0,0,0,0,0,0,0,0,0.188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0.002,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0,0
