specieskey;unique_cells;soort
1311477;11938;Aziatische hoornaar
1651430;17;Aziatische tijgermug
2225776;988;Chinese wolhandkrab
2226990;3;Californische rivierkreeft
2227289;66;gestreepte Amerikaanse rivierkreeft
2227300;446;rode Amerikaanse rivierkreeft
2286388;27;Amerikaanse strandschelp
2340977;6;zwarte dwergmeerval
2362868;828;blauwbandgrondel
2394486;839;zonnebaars
2427091;181;Amerikaanse stierkikker
2434552;2;wasbeerhond
2437282;17;Amerikaanse rode eekhoorn
2437394;1;Pallas' eekhoorn
2437450;51;Siberische grondeekhoorn
2440946;156;Chinese muntjak
2440954;33;sikahert
2443002;1001;lettersierschildpad
2479226;2526;halsbandparkiet
2479407;44;monniksparkiet
2480764;135;heilige ibis
2489005;5;treurmaina
2489010;5;kuifmania
2498252;10394;nijlgans
2498305;125;rosse stekelstaart
2502938;7;hamerhoofdplatworm
2765942;11;waterhyacint
2766030;246;moerashyacint
2865524;12;Vallisneria australis
2865565;28;verspreidbladige waterpest
2869311;58;moerasaronskelk
2870583;43;watersla
2882443;17;waterwaaier
2889088;173;Sachalinse duizendknoop
2889173;5983;Japanse duizendknoop
2891770;4231;reuzenbalsemien
2928835;235;boksdoorn
2984306;12;gewone gunnera
3003979;2198;rimpelroos
3034825;3050;reuzenberenklauw
3084842;1;hottentotvijg
3088310;113;Japans hoefblad
3129663;174;struikaster
3169169;2;Aziatische boomwurger
3170247;47;zijdeplant
3190653;940;hemelboom
4038485;74;Japanse x Sachalinse duizendknoop
4264680;100;beverrat
5217334;10;Afrikaanse klauwkikker
5218786;253;wasbeer
5218823;51;Amerikaanse nerts
5219681;9;grijze eekhoorn
5219683;1;Amerikaanse voseekhoorn
5219858;1779;muskusrat
5220136;611;damhert
5220435;2;Chinese weekschildpad
5229055;118;grote Alexanderparkiet
5232437;8464;Canadese gans
5274863;1;grote vlotvaren
5289808;1;Japans steltgras
5304257;633;Spaanse hyacint
5304294;330;Hyacinthoides ×massartiana
5328593;38;Kaapse waterlelie
5329212;613;smalle waterpest
5361762;73;ongelijkbladig vederkruid
5361785;578;parelvederkruid
5361944;8;papiermoerbei
5362054;1119;watercrassula
5384931;96;moerasanemoon
5384932;17;Leidse plant
5389017;4248;late guldenroede
5389029;965;Canadese guldenroede
5420991;18;kleine waterteunisbloem
5421039;655;waterteunisbloem
5828232;3;fraai lampenpoetsersgras
7346102;204;gele maskerbloem
7978544;671;grote waternavel
8701771;77;grote gevlekte landplatworm
8790531;4;grote agaatslak
8848208;45;Afghaanse duizendknoop
8889878;16;prachtslang
8909595;487;gevlekte Amerikaanse rivierkreeft
8946295;18;Turkse rivierkreeft
8971201;3;geknobbelde Amerikaanse rivierkreeft
9442269;23;marmerkreeft
9738098;27;Cipangopaludina chinensis
9799308;1;gewone koningsslang
10919373;13;Mantsjoerese wilde rijst
11055820;1;Hydrocharis laevigata
