"","groep","soort","GBIF_canonicalName","GBIF_scientificName","GBIF_code","species_wettelijke_naam","species_wettelijke_naam_bron","reg","rip","dun","vad","hoc","marien","brakwater","zoetwater","terrestrisch","natuur","volksgezondheid","veiligheid","infrastructuur","socioeconomisch","indamming_min","indamming_gem","indamming_stafw","indamming_max","uitroeiing_min","uitroeiing_gem","uitroeiing_stafw","uitroeiing_max","int_groep","aanwezigheid"
"1","dier","Afrikaanse klauwkikker","Xenopus laevis","Xenopus laevis (Daudin, 1802)",5217334,"Xenopus laevis (Daudin, 1802)",4,4,NA,NA,NA,NA,0,0,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"REL-AAN-SPO","sporadisch"
"2","dier","Amerikaanse baars","Morone americana","Morone americana (Gmelin, 1789)",2394604,"Morone americana (Gmelin, 1789)",4,4,NA,NA,NA,NA,1,1,1,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,"IRR","afwezig"
"3","dier","Amerikaanse nerts","Mustela vison","Mustela vison Schreber, 1777",5218823,"Neogale vison (Schreber, 1777)",5,5,NA,NA,NA,NA,0,0,1,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"REL-AAN-GEV-BEP","sporadisch"
"4","dier","Amerikaanse rode eekhoorn","Tamiasciurus hudsonicus","Tamiasciurus hudsonicus (Erxleben, 1777)",2437282,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sporadisch"
"5","dier","Amerikaanse stierkikker","Lithobates catesbeianus","Lithobates catesbeianus (Shaw, 1802)",2427091,"Lithobates (Rana) catesbeianus Shaw, 1802",1,1,NA,NA,NA,NA,0,0,1,1,1,0,0,0,0,3.14285714285714,3.19047619047619,0.0824786098842322,3.28571428571429,3.14285714285714,3.28571428571429,0.142857142857143,3.42857142857143,"REL-AAN-GEV-BEP","aanwezig"
"6","dier","Amerikaanse strandschelp","Mulinia lateralis","Mulinia lateralis (Say, 1822)",2286388,"Mulinia lateralis (Say, 1822)",5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","dier","Amerikaanse voseekhoorn","Sciurus niger","Sciurus niger Linnaeus, 1758",5219683,"Sciurus niger Linnaeus, 1758",1,1,NA,NA,NA,NA,0,0,0,1,1,0,0,0,0,2.28571428571429,3.0952380952381,0.733085919920984,3.71428571428571,3.85714285714286,3.85714285714286,0,3.85714285714286,"REL-AAN-SPO","sporadisch"
"8","dier","Amynthas agrestis","Amynthas agrestis","Amynthas agrestis (Goto & Hatai, 1899)",9225458,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"afwezig"
"9","dier","Amynthas tokioensis","Amynthas tokioensis","Amynthas tokioensis (Beddard, 1892)",9448251,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"afwezig"
"10","dier","Aziatische hoornaar","Vespa velutina","Vespa velutina Lepeletier, 1836",1311477,"Vespa velutina nigrithorax de Buysson, 1905",1,1,NA,NA,NA,NA,0,0,0,1,1,1,1,0,1,2.28571428571429,2.42857142857143,0.142857142857143,2.57142857142857,2.28571428571429,2.38095238095238,0.164957219768465,2.57142857142857,"REL-AAN-GEV-VER-BUI","aanwezig"
