soort,GBIF_code,marien,brakwater,zoetwater,terrestrisch
Acacia mearnsii,2979775,0,0,0,1
wilgacacia,2978552,0,0,0,1
kuifmania,2489010,0,0,0,1
treurmaina,2489005,0,0,0,1
hemelboom,3190653,0,0,0,1
nijlgans,2498252,0,1,1,1
alligatorkruid,3084923,0,0,1,1
zwarte dwergmeerval,2340977,0,0,1,0
Amerikaans bezemgras,2706080,0,0,0,1
Nieuw-Zeelandse platworm,2502792,0,0,0,1
zijdeplant,3170247,0,0,0,1
Noord-Atlantische zeester,5187508,1,0,0,0
axishert,2440934,0,0,0,1
struikaster,3129663,0,1,0,1
hamerhoofdplatworm,2502938,0,0,0,1
Aziatische naaldmier,10314173,0,0,0,1
papiermoerbei,5361944,0,0,0,1
waterwaaier,2882443,0,0,1,0
Pallas' eekhoorn,2437394,0,0,0,1
Thailandeekhoorn,2437399,0,0,0,1
ballonrank,3189935,0,0,0,1
Canadese bever,2439838,0,0,1,1
Aziatische boomwurger,3169169,0,0,0,1
fraai lampenpoetsersgras,5828232,0,0,0,1
sikahert,2440954,0,0,0,1
noordelijke slangekopvis,4284921,0,0,1,0
gewone yabby,4417558,0,0,1,0
Cipangopaludina chinensis,9738098,0,0,1,0
hoog pampagras,2704521,0,0,0,1
huiskraai,2482499,0,0,0,1
watercrassula,5362054,0,0,1,1
Delairea odorata,3134183,0,0,0,1
roze rimpelgras,2702865,0,0,0,1
smalle waterpest,5329212,0,0,1,0
Chinese wolhandkrab,2225776,1,1,1,0
calicotrivierkreeft,8930656,0,0,1,0
gevlekte Amerikaanse rivierkreeft,8909595,0,0,1,0
roestbruine Amerikaanse rivierkreeft,8979506,0,0,1,0
geknobbelde Amerikaanse rivierkreeft,8971201,0,0,1,0
mummichog,5712056,1,1,1,0
westelijk muskietenvisje,2350580,0,1,1,0
oostelijk muskietenvisje,2350570,0,1,1,0
gewone gunnera,2984306,0,0,0,1
smalle theeplant,6063677,0,0,0,1
