"soort","GBIF_canonicalName","reg","WA","NL","DE","FR","LU","UK"
"Afrikaanse klauwkikker","Xenopus laevis",4,"sporadisch","sporadisch","sporadisch","sporadisch","afwezig","sporadisch"
"Amerikaanse baars","Morone americana",4,"afwezig","afwezig","afwezig","afwezig","afwezig","afwezig"
"Amerikaanse nerts","Mustela vison",5,"afwezig","sporadisch","aanwezig","sporadisch","afwezig","aanwezig"
"Amerikaanse rode eekhoorn","Tamiasciurus hudsonicus",NA,"sporadisch","aanwezig","sporadisch","afwezig","afwezig","afwezig"
"Amerikaanse stierkikker","Lithobates catesbeianus",1,"sporadisch","sporadisch","aanwezig","sporadisch","afwezig","sporadisch"
"Amerikaanse strandschelp","Mulinia lateralis",5,NA,NA,NA,NA,NA,NA
"Amerikaanse voseekhoorn","Sciurus niger",1,"sporadisch","sporadisch","afwezig","afwezig","afwezig","afwezig"
"Amynthas agrestis","Amynthas agrestis",NA,"afwezig","afwezig","afwezig","afwezig","afwezig","afwezig"
"Perichaeta tokioensis","Perichaeta tokioensis",NA,"afwezig","afwezig","afwezig","afwezig","afwezig","afwezig"
"Aziatische hoornaar","Vespa velutina",1,"aanwezig","aanwezig","aanwezig","aanwezig","aanwezig","sporadisch"
"Aziatische modderkruiper","Misgurnus anguillicaudatus",5,"afwezig","afwezig","sporadisch","afwezig","afwezig","afwezig"
"Aziatische naaldmier","Pachycondyla chinensis",5,"afwezig","afwezig","sporadisch","afwezig","afwezig","afwezig"
"Aziatische reuzenhoornaar","Vespa mandarinia",5,"afwezig","afwezig","afwezig","afwezig","afwezig","afwezig"
"Aziatische tijgermug","Aedes albopictus",NA,"sporadisch","sporadisch","aanwezig","aanwezig","sporadisch","afwezig"
"Californische rivierkreeft","Pacifastacus leniusculus",1,"aanwezig","aanwezig","aanwezig","aanwezig","aanwezig","aanwezig"
"Canadese bever","Castor canadensis",5,"afwezig","afwezig","sporadisch","afwezig","sporadisch","afwezig"
"Canadese gans","Branta canadensis",NA,"aanwezig","aanwezig","aanwezig","aanwezig","aanwezig","aanwezig"
"Chinese muntjak","Muntiacus reevesi",1,"aanwezig","sporadisch","sporadisch","sporadisch","afwezig","aanwezig"
"Chinese weekschildpad","Pelodiscus sinensis",NA,"afwezig","afwezig","sporadisch","sporadisch","afwezig","aanwezig"
"Chinese wolhandkrab","Eriocheir sinensis",1,"aanwezig","aanwezig","aanwezig","aanwezig","sporadisch","aanwezig"
"Cipangopaludina chinensis","Cipangopaludina chinensis",5,"aanwezig","aanwezig","afwezig","afwezig","afwezig","sporadisch"
"Indische mangoeste","Herpestes javanicus",1,"afwezig","afwezig","afwezig","afwezig","afwezig","afwezig"
"Kentuckyrivierkreeft","Faxonius juvenilis",NA,"afwezig","afwezig","afwezig","sporadisch","afwezig","afwezig"
"Perichaeta hilgendorfi","Perichaeta hilgendorfi",NA,"afwezig","afwezig","afwezig","afwezig","afwezig","afwezig"
"Nieuw-Guinese landplatworm","Platydemus manokwari",5,"afwezig","afwezig","afwezig","afwezig","afwezig","afwezig"
"Nieuw-Zeelandse platworm","Arthurdendyus triangulatus",3,"afwezig","afwezig","afwezig","afwezig","afwezig","sporadisch"
"Noord-Atlantische zeester","Asterias amurensis",5,NA,NA,NA,NA,NA,NA
"Noord-Aziatische modderkruiper","Misgurnus mohoity",5,"afwezig","aanwezig","afwezig","afwezig","afwezig","afwezig"
"Pallas' eekhoorn","Callosciurus erythraeus",1,"afwezig","sporadisch","afwezig","afwezig","afwezig","afwezig"
"Procambarus zonangulus","Procambarus zonangulus",NA,"afwezig","afwezig","afwezig","afwezig","afwezig","afwezig"
"Siberische grondeekhoorn","Tamias sibiricus",1,"aanwezig","aanwezig","sporadisch","aanwezig","afwezig","sporadisch"
"Thailandeekhoorn","Callosciurus finlaysonii",4,"sporadisch","afwezig","afwezig","afwezig","afwezig","afwezig"
"Turkse rivierkreeft","Pontastacus leptodactylus",NA,"aanwezig","aanwezig","sporadisch","sporadisch","sporadisch","sporadisch"
"amoergrondel","Perccottus glenii",1,"afwezig","sporadisch","afwezig","afwezig","afwezig","afwezig"
"axishert","Axis axis",4,"sporadisch","sporadisch","afwezig","afwezig","afwezig","afwezig"
"beverrat","Myocastor coypus",1,"aanwezig","aanwezig","aanwezig","aanwezig","aanwezig","sporadisch"
"blauwbandgrondel","Pseudorasbora parva",1,"aanwezig","aanwezig","aanwezig","aanwezig","sporadisch","sporadisch"
"calicotrivierkreeft","Faxonius immunis",5,"afwezig","sporadisch","aanwezig","sporadisch","afwezig","afwezig"
"damhert","Dama dama",NA,"aanwezig","aanwezig","aanwezig","aanwezig","aanwezig","aanwezig"
"dwergvuurmier","Wasmannia auropunctata",4,"afwezig","afwezig","afwezig","afwezig","afwezig","afwezig"
"geknobbelde Amerikaanse rivierkreeft","Faxonius virilis",1,"afwezig","aanwezig","sporadisch","afwezig","afwezig","sporadisch"
"gestreepte Amerikaanse rivierkreeft","Procambarus acutus",NA,"sporadisch","aanwezig","sporadisch","afwezig","afwezig","afwezig"
"gestreepte koraalmeerval","Plotosus lineatus",3,NA,NA,NA,NA,NA,NA
"gevlekte Amerikaanse rivierkreeft","Faxonius limosus",1,"aanwezig","aanwezig","aanwezig","aanwezig","aanwezig","sporadisch"
"gewone koningsslang","Lampropeltis getula",4,"afwezig","afwezig","sporadisch","afwezig","afwezig","afwezig"
"gewone yabby","Cherax destructor",5,"afwezig","afwezig","afwezig","afwezig","afwezig","afwezig"
"gouden mossel","Limnoperna fortunei",4,"afwezig","afwezig","afwezig","afwezig","afwezig","afwezig"
"grijze eekhoorn","Sciurus carolinensis",1,"sporadisch","sporadisch","sporadisch","sporadisch","afwezig","aanwezig"
"grote Alexanderparkiet","Psittacula eupatria",NA,"sporadisch","aanwezig","aanwezig","aanwezig","afwezig","aanwezig"
"grote agaatslak","Lissachatina fulica",NA,"afwezig","aanwezig","afwezig","sporadisch","afwezig","afwezig"
