"soort","GBIF_canonicalName","reg","aanwezigheid"
"Afrikaanse klauwkikker","Xenopus laevis",4,"sporadisch"
"Amerikaanse baars","Morone americana",4,"afwezig"
"Amerikaanse nerts","Mustela vison",5,"sporadisch"
"Amerikaanse rode eekhoorn","Tamiasciurus hudsonicus",NA,"sporadisch"
"Amerikaanse stierkikker","Lithobates catesbeianus",1,"aanwezig"
"Amerikaanse strandschelp","Mulinia lateralis",5,NA
"Amerikaanse voseekhoorn","Sciurus niger",1,"sporadisch"
"Amynthas agrestis","Amynthas agrestis",NA,"afwezig"
"Perichaeta tokioensis","Perichaeta tokioensis",NA,"afwezig"
"Aziatische hoornaar","Vespa velutina",1,"aanwezig"
"Aziatische modderkruiper","Misgurnus anguillicaudatus",5,"afwezig"
"Aziatische naaldmier","Pachycondyla chinensis",5,"afwezig"
"Aziatische reuzenhoornaar","Vespa mandarinia",5,"afwezig"
"Aziatische tijgermug","Aedes albopictus",NA,"sporadisch"
"Californische rivierkreeft","Pacifastacus leniusculus",1,"sporadisch"
"Canadese bever","Castor canadensis",5,"afwezig"
"Canadese gans","Branta canadensis",NA,"aanwezig"
"Chinese muntjak","Muntiacus reevesi",1,"aanwezig"
"Chinese weekschildpad","Pelodiscus sinensis",NA,"sporadisch"
"Chinese wolhandkrab","Eriocheir sinensis",1,"aanwezig"
"Cipangopaludina chinensis","Cipangopaludina chinensis",5,"aanwezig"
"Indische mangoeste","Herpestes javanicus",1,"afwezig"
"Kentuckyrivierkreeft","Faxonius juvenilis",NA,"afwezig"
"Perichaeta hilgendorfi","Perichaeta hilgendorfi",NA,"afwezig"
"Nieuw-Guinese landplatworm","Platydemus manokwari",5,"afwezig"
"Nieuw-Zeelandse platworm","Arthurdendyus triangulatus",3,"afwezig"
"Noord-Atlantische zeester","Asterias amurensis",5,NA
"Noord-Aziatische modderkruiper","Misgurnus mohoity",5,"aanwezig"
"Pallas' eekhoorn","Callosciurus erythraeus",1,"sporadisch"
"Procambarus zonangulus","Procambarus zonangulus",NA,"afwezig"
"Siberische grondeekhoorn","Tamias sibiricus",1,"aanwezig"
"Thailandeekhoorn","Callosciurus finlaysonii",4,"afwezig"
"Turkse rivierkreeft","Pontastacus leptodactylus",NA,"sporadisch"
"amoergrondel","Perccottus glenii",1,"afwezig"
"axishert","Axis axis",4,"afwezig"
"beverrat","Myocastor coypus",1,"aanwezig"
"blauwbandgrondel","Pseudorasbora parva",1,"aanwezig"
"calicotrivierkreeft","Faxonius immunis",5,"afwezig"
"damhert","Dama dama",NA,"aanwezig"
"dwergvuurmier","Wasmannia auropunctata",4,"afwezig"
"geknobbelde Amerikaanse rivierkreeft","Faxonius virilis",1,"sporadisch"
"gestreepte Amerikaanse rivierkreeft","Procambarus acutus",NA,"aanwezig"
"gestreepte koraalmeerval","Plotosus lineatus",3,NA
"gevlekte Amerikaanse rivierkreeft","Faxonius limosus",1,"aanwezig"
"gewone koningsslang","Lampropeltis getula",4,"sporadisch"
"gewone yabby","Cherax destructor",5,"afwezig"
"gouden mossel","Limnoperna fortunei",4,"afwezig"
"grijze eekhoorn","Sciurus carolinensis",1,"sporadisch"
"grote Alexanderparkiet","Psittacula eupatria",NA,"aanwezig"
"grote agaatslak","Lissachatina fulica",NA,"sporadisch"
"grote gevlekte landplatworm","Obama nungara",5,"aanwezig"
"halsbandparkiet","Psittacula krameri",NA,"aanwezig"
"hamerhoofdplatworm","Bipalium kewense",5,"sporadisch"
"heilige ibis","Threskiornis aethiopicus",1,"sporadisch"
"huiskraai","Corvus splendens",1,"afwezig"
"kuifmania","Acridotheres cristatellus",5,"sporadisch"
"lettersierschildpad","Trachemys scripta",1,"aanwezig"
"marisaslak","Marisa cornuarietis",5,"afwezig"
"marmerkreeft","Procambarus virginalis",1,"aanwezig"
"monniksparkiet","Myiopsitta monachus",NA,"aanwezig"
"mummichog","Fundulus heteroclitus",4,"afwezig"
"muskusrat","Ondatra zibethicus",2,"aanwezig"
"nijlgans","Alopochen aegyptiaca",2,"aanwezig"
"noordelijke slangekopvis","Channa argus",4,"afwezig"
"oostelijk muskietenvisje","Gambusia holbrooki",4,"afwezig"
"prachtslang","Elaphe taeniura",NA,"aanwezig"
"rode Amerikaanse rivierkreeft","Procambarus clarkii",1,"aanwezig"
"rode neusbeer","Nasua nasua",1,"sporadisch"
"rode vuurmier","Solenopsis invicta",4,"afwezig"
"roestbruine Amerikaanse rivierkreeft","Faxonius rusticus",4,"afwezig"
"roodbuikbuulbuul","Pycnonotus cafer",4,"afwezig"
"roodoorbuulbuul","Pycnonotus jocosus",5,"afwezig"
"rosse stekelstaart","Oxyura jamaicensis",1,"aanwezig"
"sikahert","Cervus nippon",5,"aanwezig"
"treurmaina","Acridotheres tristis",3,"sporadisch"
"tropische vuurmier","Solenopsis geminata",4,"afwezig"
"wasbeer","Procyon lotor",1,"aanwezig"
"wasbeerhond","Nyctereutes procyonoides",2,"sporadisch"
"westelijk muskietenvisje","Gambusia affinis",4,"afwezig"
"zonnebaars","Lepomis gibbosus",3,"aanwezig"
"zwarte dwergmeerval","Ameiurus melas",4,"sporadisch"
"zwarte vuurmier","Solenopsis richteri",4,"afwezig"
"Acacia mearnsii","Acacia mearnsii",5,"afwezig"
"Afghaanse duizendknoop","Koenigia polystachya",4,"aanwezig"
"Amerikaans bezemgras","Andropogon virginicus",3,"afwezig"
"Aziatische boomwurger","Celastrus orbiculatus",4,"sporadisch"
"Canadese guldenroede","Solidago canadensis",NA,"aanwezig"
"Chinese struikklaver","Lespedeza cuneata",3,"afwezig"
"Delairea odorata","Delairea odorata",5,"afwezig"
"Hyacinthoides ×massartiana","Hyacinthoides massartiana",NA,"aanwezig"
"Hydrocharis laevigata","Hydrocharis laevigata",NA,"sporadisch"
"Japans hoefblad","Petasites japonicus",NA,"aanwezig"
"Japans steltgras","Microstegium vimineum",2,"sporadisch"
"Japans zeegras","Zostera japonica",5,NA
"Japanse duizendknoop","Reynoutria japonica",5,"aanwezig"
"Japanse klimvaren","Lygodium japonicum",3,"afwezig"
"Japanse x Sachalinse duizendknoop","Reynoutria bohemica",5,"aanwezig"
"Kaapse waterlelie","Aponogeton distachyos",NA,"aanwezig"
"Leidse plant","Saururus cernuus",NA,"sporadisch"
"Mantsjoerese wilde rijst","Zizania latifolia",NA,"aanwezig"
"Perzische berenklauw","Heracleum persicum",1,"afwezig"
"Sachalinse duizendknoop","Reynoutria sachalinensis",5,"aanwezig"
"Sosnowsky's berenklauw","Heracleum sosnowskyi",1,"afwezig"
"Spaanse hyacint","Hyacinthoides hispanica",NA,"aanwezig"
"Vallisneria australis","Vallisneria australis",NA,"sporadisch"
"alligatorkruid","Alternanthera philoxeroides",2,"afwezig"
"ballonrank","Cardiospermum grandiflorum",3,"afwezig"
"boksdoorn","Lycium barbarum",NA,"aanwezig"
"egeria","Elodea densa",NA,"aanwezig"
"fraai lampenpoetsersgras","Cenchrus setaceus",2,"sporadisch"
"gele maskerbloem","Erythranthe guttata",NA,"aanwezig"
"gestekelde duizendknoop","Persicaria perfoliata",1,"afwezig"
"gewone gunnera","Gunnera tinctoria",2,"sporadisch"
"grote vlotvaren","Salvinia molesta",3,"sporadisch"
"grote waternavel","Hydrocotyle ranunculoides",1,"aanwezig"
"hakea","Hakea sericea",4,"afwezig"
"hemelboom","Ailanthus altissima",3,"aanwezig"
"hoog pampagras","Cortaderia jubata",3,"afwezig"
"hottentotvijg","Carpobrotus edulis",NA,"sporadisch"
"kleine waterteunisbloem","Ludwigia peploides",1,"aanwezig"
"kudzu","Pueraria montana lobata",1,"afwezig"
"late guldenroede","Solidago gigantea",NA,"aanwezig"
"mesquite","Prosopis juliflora",3,"afwezig"
