species,N_occ,N_occ_in_N2000,share_in_N2000,share_in_HRL,share_in_VRL,%_in_N2000,%_in_HRL,%_in_VRL,share_of_N2000,share_of_HRL,share_of_VRL,‰_of_N2000,‰_of_HRL,‰_of_VRL
Afghaanse duizendknoop,47,17,0.3617021276595745,0.3617021276595745,0.1702127659574468,36.2,36.2,17,0.004081632653061225,0.004969307220111079,0.004383561643835616,4.1,5,4.4
Afrikaanse klauwkikker,12,2,0.16666666666666666,0.16666666666666666,0,16.7,16.7,0,4.801920768307323e-4,5.846243788365975e-4,0,0.5,0.6,0
Amerikaanse nerts,45,22,0.4888888888888889,0.4444444444444444,0.24444444444444444,48.9,44.4,24.4,0.005282112845138055,0.005846243788365975,0.006027397260273973,5.3,5.8,6
Amerikaanse rode eekhoorn,16,4,0.25,0.25,0,25,25,0,9.603841536614646e-4,0.001169248757673195,0,1,1.2,0
Amerikaanse stierkikker,177,89,0.5028248587570622,0.480225988700565,0.1016949152542373,50.3,48,10.2,0.021368547418967588,0.024846536100555393,0.009863013698630137,21.4,24.8,9.9
Amerikaanse voseekhoorn,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Aziatische boomwurger,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Aziatische hoornaar,11934,3432,0.2875816993464052,0.24300318417965477,0.11396011396011396,28.8,24.3,11.4,0.8240096038415367,0.8477053493130664,0.7452054794520548,824,847.7,745.2
Aziatische tijgermug,17,3,0.17647058823529413,0.11764705882352941,0.11764705882352941,17.6,11.8,11.8,7.202881152460984e-4,5.846243788365975e-4,0.001095890410958904,0.7,0.6,1.1
Californische rivierkreeft,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Canadese gans,8506,2961,0.3481072184340466,0.2835645426757583,0.16306136844580296,34.8,28.4,16.3,0.7109243697478992,0.7050570008769366,0.76,710.9,705.1,760
Canadese guldenroede,959,403,0.42022940563086547,0.3733055265901981,0.1678832116788321,42,37.3,16.8,0.09675870348139255,0.10464776381175095,0.08821917808219178,96.8,104.6,88.2
Chinese muntjak,156,53,0.33974358974358976,0.3076923076923077,0.12179487179487179,34,30.8,12.2,0.012725090036014406,0.014030985092078339,0.010410958904109589,12.7,14,10.4
Chinese weekschildpad,2,1,0.5,0.5,0.5,50,50,50,2.4009603841536616e-4,2.9231218941829873e-4,5.47945205479452e-4,0.2,0.3,0.5
Chinese wolhandkrab,991,465,0.4692230070635722,0.4026236125126135,0.23208879919273462,46.9,40.3,23.2,0.11164465786314526,0.1166325635779012,0.12602739726027398,111.6,116.6,126
Cipangopaludina chinensis,28,16,0.5714285714285714,0.5714285714285714,0.03571428571428571,57.1,57.1,3.6,0.0038415366146458585,0.00467699503069278,5.47945205479452e-4,3.8,4.7,0.5
Hyacinthoides ×massartiana,342,102,0.2982456140350877,0.2807017543859649,0.09649122807017543,29.8,28.1,9.6,0.024489795918367346,0.028061970184156678,0.01808219178082192,24.5,28.1,18.1
Hydrocharis laevigata,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Japans hoefblad,115,34,0.2956521739130435,0.26956521739130435,0.08695652173913043,29.6,27,8.7,0.00816326530612245,0.009061677871967261,0.005479452054794521,8.2,9.1,5.5
Japans steltgras,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Japanse duizendknoop,6069,2114,0.34832756632064593,0.3036744109408469,0.14351623002142033,34.8,30.4,14.4,0.507563025210084,0.5387313650979246,0.47726027397260273,507.6,538.7,477.3
Japanse x Sachalinse duizendknoop,77,33,0.42857142857142855,0.37662337662337664,0.16883116883116883,42.9,37.7,16.9,0.007923169267707083,0.008477053493130663,0.007123287671232876,7.9,8.5,7.1
Kaapse waterlelie,36,24,0.6666666666666666,0.3333333333333333,0.6111111111111112,66.7,33.3,61.1,0.005762304921968787,0.0035077462730195848,0.012054794520547946,5.8,3.5,12.1
Leidse plant,15,10,0.6666666666666666,0.6666666666666666,0.26666666666666666,66.7,66.7,26.7,0.0024009603841536613,0.0029231218941829875,0.002191780821917808,2.4,2.9,2.2
Mantsjoerese wilde rijst,14,4,0.2857142857142857,0.21428571428571427,0.14285714285714285,28.6,21.4,14.3,9.603841536614646e-4,8.769365682548962e-4,0.001095890410958904,1,0.9,1.1
Noord-Aziatische modderkruiper,29,24,0.8275862068965517,0.3448275862068966,0.8275862068965517,82.8,34.5,82.8,0.005762304921968787,0.0029231218941829875,0.01315068493150685,5.8,2.9,13.2
