species,N_occ,N_occ_in_N2000,share_in_N2000,share_in_HRL,share_in_VRL,%_in_N2000,%_in_HRL,%_in_VRL,share_of_N2000,share_of_HRL,share_of_VRL,‰_of_N2000,‰_of_HRL,‰_of_VRL
Pallas' eekhoorn,2,1,0.5,0.5,0.5,50,50,50,2.4009603841536616e-4,2.9231218941829873e-4,5.47945205479452e-4,0.2,0.3,0.5
Sachalinse duizendknoop,181,70,0.3867403314917127,0.30939226519337015,0.20441988950276244,38.7,30.9,20.4,0.01680672268907563,0.01636948260742473,0.020273972602739727,16.8,16.4,20.3
Siberische grondeekhoorn,54,38,0.7037037037037037,0.6481481481481481,0.25925925925925924,70.4,64.8,25.9,0.009123649459783913,0.010230926629640456,0.007671232876712329,9.1,10.2,7.7
Spaanse hyacint,644,219,0.34006211180124224,0.31521739130434784,0.10714285714285714,34,31.5,10.7,0.05258103241296518,0.059339374451914645,0.03780821917808219,52.6,59.3,37.8
Turkse rivierkreeft,19,5,0.2631578947368421,0.15789473684210525,0.10526315789473684,26.3,15.8,10.5,0.0012004801920768306,8.769365682548962e-4,0.001095890410958904,1.2,0.9,1.1
Vallisneria australis,11,6,0.5454545454545454,0.5454545454545454,0.18181818181818182,54.5,54.5,18.2,0.0014405762304921968,0.0017538731365097924,0.001095890410958904,1.4,1.8,1.1
beverrat,102,60,0.5882352941176471,0.5686274509803921,0.28431372549019607,58.8,56.9,28.4,0.014405762304921969,0.016954106986261326,0.01589041095890411,14.4,17,15.9
blauwbandgrondel,833,368,0.4417767106842737,0.3577430972388956,0.21728691476590636,44.2,35.8,21.7,0.08835534213685474,0.08710903244665302,0.09917808219178083,88.4,87.1,99.2
boksdoorn,226,121,0.5353982300884956,0.5176991150442478,0.23008849557522124,53.5,51.8,23,0.029051620648259304,0.034200526161940956,0.028493150684931506,29.1,34.2,28.5
damhert,629,305,0.4848966613672496,0.44038155802861684,0.13672496025437203,48.5,44,13.7,0.07322929171668667,0.08097047646886875,0.047123287671232875,73.2,81,47.1
egeria,30,12,0.4,0.4,0.1,40,40,10,0.0028811524609843936,0.0035077462730195848,0.0016438356164383563,2.9,3.5,1.6
fraai lampenpoetsersgras,3,0,0,0,0,0,0,0,0,0,0,0,0,0
geknobbelde Amerikaanse rivierkreeft,4,0,0,0,0,0,0,0,0,0,0,0,0,0
gele maskerbloem,202,82,0.40594059405940597,0.3613861386138614,0.17326732673267325,40.6,36.1,17.3,0.019687875150060024,0.021338789827535808,0.019178082191780823,19.7,21.3,19.2
gestreepte Amerikaanse rivierkreeft,61,31,0.5081967213114754,0.36065573770491804,0.32786885245901637,50.8,36.1,32.8,0.00744297719087635,0.006430868167202572,0.010958904109589041,7.4,6.4,11
gevlekte Amerikaanse rivierkreeft,490,231,0.4714285714285714,0.40816326530612246,0.21428571428571427,47.1,40.8,21.4,0.05546218487394958,0.05846243788365975,0.057534246575342465,55.5,58.5,57.5
gewone gunnera,12,5,0.4166666666666667,0.4166666666666667,0.08333333333333333,41.7,41.7,8.3,0.0012004801920768306,0.0014615609470914938,5.47945205479452e-4,1.2,1.5,0.5
gewone koningsslang,1,0,0,0,0,0,0,0,0,0,0,0,0,0
grijze eekhoorn,9,3,0.3333333333333333,0.1111111111111111,0.3333333333333333,33.3,11.1,33.3,7.202881152460984e-4,2.9231218941829873e-4,0.0016438356164383563,0.7,0.3,1.6
grote Alexanderparkiet,119,16,0.13445378151260504,0.13445378151260504,0.025210084033613446,13.4,13.4,2.5,0.0038415366146458585,0.00467699503069278,0.0016438356164383563,3.8,4.7,1.6
grote agaatslak,4,1,0.25,0.25,0,25,25,0,2.4009603841536616e-4,2.9231218941829873e-4,0,0.2,0.3,0
grote gevlekte landplatworm,68,11,0.16176470588235295,0.16176470588235295,0.029411764705882353,16.2,16.2,2.9,0.0026410564225690276,0.003215434083601286,0.001095890410958904,2.6,3.2,1.1
grote vlotvaren,1,0,0,0,0,0,0,0,0,0,0,0,0,0
grote waternavel,671,315,0.46944858420268254,0.33084947839046197,0.2906110283159464,46.9,33.1,29.1,0.07563025210084033,0.06489330605086233,0.10684931506849316,75.6,64.9,106.8
halsbandparkiet,2536,663,0.2614353312302839,0.24526813880126183,0.06269716088328076,26.1,24.5,6.3,0.15918367346938775,0.18181818181818182,0.08712328767123288,159.2,181.8,87.1
hamerhoofdplatworm,6,0,0,0,0,0,0,0,0,0,0,0,0,0
heilige ibis,140,89,0.6357142857142857,0.4785714285714286,0.4714285714285714,63.6,47.9,47.1,0.021368547418967588,0.019584916691026015,0.03616438356164384,21.4,19.6,36.2
hemelboom,961,262,0.2726326742976067,0.24141519250780438,0.09989594172736732,27.3,24.1,10,0.06290516206482594,0.0678164279450453,0.0526027397260274,62.9,67.8,52.6
hottentotvijg,1,1,1,1,1,100,100,100,2.4009603841536616e-4,2.9231218941829873e-4,5.47945205479452e-4,0.2,0.3,0.5
kleine waterteunisbloem,21,11,0.5238095238095238,0.23809523809523808,0.38095238095238093,52.4,23.8,38.1,0.0026410564225690276,0.0014615609470914938,0.004383561643835616,2.6,1.5,4.4
kuifmania,5,2,0.4,0.2,0.4,40,20,40,4.801920768307323e-4,2.9231218941829873e-4,0.001095890410958904,0.5,0.3,1.1
late guldenroede,4290,1557,0.36293706293706296,0.32494172494172496,0.14219114219114218,36.3,32.5,14.2,0.3738295318127251,0.40748319204910843,0.33424657534246577,373.8,407.5,334.2
lettersierschildpad,975,395,0.40512820512820513,0.36923076923076925,0.15794871794871795,40.5,36.9,15.8,0.09483793517406963,0.10523238819058754,0.08438356164383562,94.8,105.2,84.4
marmerkreeft,24,6,0.25,0.25,0.041666666666666664,25,25,4.2,0.0014405762304921968,0.0017538731365097924,5.47945205479452e-4,1.4,1.8,0.5
moerasanemoon,96,28,0.2916666666666667,0.2604166666666667,0.14583333333333334,29.2,26,14.6,0.0067226890756302525,0.007307804735457469,0.007671232876712329,6.7,7.3,7.7
moerasaronskelk,57,26,0.45614035087719296,0.43859649122807015,0.14035087719298245,45.6,43.9,14,0.00624249699879952,0.007307804735457469,0.004383561643835616,6.2,7.3,4.4
moerashyacint,241,131,0.5435684647302904,0.5062240663900415,0.2821576763485477,54.4,50.6,28.2,0.03145258103241297,0.035662087109032445,0.03726027397260274,31.5,35.7,37.3
monniksparkiet,43,9,0.20930232558139536,0.16279069767441862,0.06976744186046512,20.9,16.3,7,0.0021608643457382954,0.0020461853259280912,0.0016438356164383563,2.2,2,1.6
muskusrat,1590,481,0.30251572327044024,0.22264150943396227,0.17044025157232703,30.3,22.3,17,0.11548619447779111,0.10347851505407775,0.14849315068493152,115.5,103.5,148.5
nijlgans,10382,3342,0.32190329416297436,0.2630514351762666,0.14582931997688306,32.2,26.3,14.6,0.8024009603841536,0.7983045893013738,0.8295890410958904,802.4,798.3,829.6
ongelijkbladig vederkruid,70,34,0.4857142857142857,0.4714285714285714,0.14285714285714285,48.6,47.1,14.3,0.00816326530612245,0.00964630225080386,0.005479452054794521,8.2,9.6,5.5
papiermoerbei,8,1,0.125,0.125,0,12.5,12.5,0,2.4009603841536616e-4,2.9231218941829873e-4,0,0.2,0.3,0
parelvederkruid,564,269,0.4769503546099291,0.4219858156028369,0.20567375886524822,47.7,42.2,20.6,0.0645858343337335,0.0695703010815551,0.06356164383561644,64.6,69.6,63.6
prachtslang,17,2,0.11764705882352941,0.11764705882352941,0,11.8,11.8,0,4.801920768307323e-4,5.846243788365975e-4,0,0.5,0.6,0
reuzenbalsemien,4274,1654,0.38699110903135236,0.34394010294805805,0.15348619560131024,38.7,34.4,15.3,0.3971188475390156,0.42969891844489916,0.3594520547945205,397.1,429.7,359.5
reuzenberenklauw,3023,1096,0.3625537545484618,0.31293417135296064,0.13661925239827985,36.3,31.3,13.7,0.2631452581032413,0.2765273311897106,0.2263013698630137,263.1,276.5,226.3
rimpelroos,2210,798,0.3610859728506787,0.31221719457013575,0.15701357466063348,36.1,31.2,15.7,0.1915966386554622,0.20169541069862612,0.19013698630136985,191.6,201.7,190.1
rode Amerikaanse rivierkreeft,456,238,0.5219298245614035,0.3574561403508772,0.37280701754385964,52.2,35.7,37.3,0.05714285714285714,0.0476468868751827,0.09315068493150686,57.1,47.6,93.2
rode neusbeer,1,0,0,0,0,0,0,0,0,0,0,0,0,0
rosse stekelstaart,136,78,0.5735294117647058,0.3235294117647059,0.4485294117647059,57.4,32.4,44.9,0.01872749099639856,0.012861736334405145,0.033424657534246574,18.7,12.9,33.4
sikahert,31,24,0.7741935483870968,0.7096774193548387,0.45161290322580644,77.4,71,45.2,0.005762304921968787,0.006430868167202572,0.007671232876712329,5.8,6.4,7.7
smalle waterpest,616,338,0.5487012987012987,0.44642857142857145,0.29383116883116883,54.9,44.6,29.4,0.08115246098439376,0.08038585209003216,0.09917808219178083,81.2,80.4,99.2
struikaster,171,107,0.6257309941520468,0.6023391812865497,0.30994152046783624,62.6,60.2,31,0.025690276110444176,0.03010815551008477,0.02904109589041096,25.7,30.1,29
treurmaina,5,2,0.4,0.4,0,40,40,0,4.801920768307323e-4,5.846243788365975e-4,0,0.5,0.6,0
verspreidbladige waterpest,32,12,0.375,0.34375,0.125,37.5,34.4,12.5,0.0028811524609843936,0.003215434083601286,0.002191780821917808,2.9,3.2,2.2
wasbeer,392,236,0.6020408163265306,0.5663265306122449,0.22959183673469388,60.2,56.6,23,0.05666266506602641,0.06489330605086233,0.049315068493150684,56.7,64.9,49.3
wasbeerhond,6,2,0.3333333333333333,0.3333333333333333,0.16666666666666666,33.3,33.3,16.7,4.801920768307323e-4,5.846243788365975e-4,5.47945205479452e-4,0.5,0.6,0.5
watercrassula,1118,548,0.49016100178890876,0.37656529516994636,0.278175313059034,49,37.7,27.8,0.13157262905162065,0.12306343174510377,0.1704109589041096,131.6,123.1,170.4
waterhyacint,10,6,0.6,0.5,0.3,60,50,30,0.0014405762304921968,0.0014615609470914938,0.0016438356164383563,1.4,1.5,1.6
watersla,44,16,0.36363636363636365,0.36363636363636365,0.09090909090909091,36.4,36.4,9.1,0.0038415366146458585,0.00467699503069278,0.002191780821917808,3.8,4.7,2.2
waterteunisbloem,640,317,0.4953125,0.39375,0.2671875,49.5,39.4,26.7,0.07611044417767107,0.07366267173341129,0.0936986301369863,76.1,73.7,93.7
waterwaaier,16,8,0.5,0.5,0.0625,50,50,6.2,0.0019207683073229293,0.00233849751534639,5.47945205479452e-4,1.9,2.3,0.5
zijdeplant,44,18,0.4090909090909091,0.38636363636363635,0.06818181818181818,40.9,38.6,6.8,0.004321728691476591,0.004969307220111079,0.0016438356164383563,4.3,5,1.6
zonnebaars,865,456,0.5271676300578034,0.4554913294797688,0.2566473988439306,52.7,45.5,25.7,0.10948379351740696,0.1151710026308097,0.12164383561643835,109.5,115.2,121.6
zwarte dwergmeerval,5,3,0.6,0.4,0.2,60,40,20,7.202881152460984e-4,5.846243788365975e-4,5.47945205479452e-4,0.7,0.6,0.5
