Groep,Species,Soort,GBIF_scientific_name,GBIF_code,EU_lijst,RIPARIAS_lijst,DUNIAS_lijst,ANB_lijst
plant,Salvinia molesta D.S.Mitch.,grote vlotvaren,Salvinia ×molesta D.S.Mitch.,5274863,3,0,0,0
dier,"Acridotheres tristis Linnaeus, 1766",treurmaina,"Acridotheres tristis (Linnaeus, 1766)",2489005,3,0,0,0
dier,"Alopochen aegyptiacus Linnaeus, 1766",nijlgans,"Alopochen aegyptiaca (Linnaeus, 1766)",2498252,2,0,0,0
dier,"Callosciurus erythraeus Pallas, 1779",Pallas' eekhoorn,"Callosciurus erythraeus (Pallas, 1779)",2437394,1,0,0,0
dier,"Eriocheir sinensis H. Milne Edwards, 1854",Chinese wolhandkrab,"Eriocheir sinensis H.Milne Edwards, 1853",2225776,1,0,0,0
dier,"Lepomis gibbosus Linnaeus, 1758",zonnebaars,"Lepomis gibbosus (Linnaeus, 1758)",2394486,3,0,0,0
dier,"Lithobates (Rana) catesbeianus Shaw, 1802",Amerikaanse stierkikker,"Lithobates catesbeianus (Shaw, 1802)",2427091,1,0,0,0
dier,"Muntiacus reevesi Ogilby, 1839",Chinese muntjak,"Muntiacus reevesi (Ogilby, 1839)",2440946,1,0,0,0
dier,"Myocastor coypus Molina, 1782",beverrat,"Myocastor coypus (Molina, 1782)",4264680,1,0,0,0
dier,"Nyctereutes procyonoides Gray, 1834",wasbeerhond,"Nyctereutes procyonoides (Gray, 1834)",2434552,2,0,0,0
dier,"Ondatra zibethicus Linnaeus, 1766",muskusrat,"Ondatra zibethicus (Linnaeus, 1766)",5219858,2,0,0,0
dier,"Faxonius limosus Rafinesque, 1817",gevlekte Amerikaanse rivierkreeft,"Faxonius limosus (Rafinesque, 1817)",8909595,1,0,0,0
dier,"Oxyura jamaicensis Gmelin, 1789",rosse stekelstaart,"Oxyura jamaicensis (J.F.Gmelin, 1789)",2498305,1,0,0,0
dier,"Pacifastacus leniusculus Dana, 1852",Californische rivierkreeft,"Pacifastacus leniusculus (Dana, 1852)",2226990,1,0,0,0
dier,"Procambarus clarkii Girard, 1852",rode Amerikaanse rivierkreeft,"Procambarus clarkii (Girard, 1852)",2227300,1,1,0,0
dier,"Procambarus virginalis Lyko, 2017",marmerkreeft,"Procambarus virginalis Lyko, 2017",9442269,1,1,0,0
dier,"Procyon lotor L., 1758",wasbeer,"Procyon lotor (Linnaeus, 1758)",5218786,1,0,0,0
dier,"Pseudorasbora parva Temminck & Schlegel, 1846",blauwbandgrondel,"Pseudorasbora parva (Temminck & Schlegel, 1846)",2362868,1,0,0,0
dier,"Sciurus carolinensis Gmelin, 1788",grijze eekhoorn,"Sciurus carolinensis Gmelin, 1788",5219681,1,0,0,0
