Species;Soort;abbr
Alopochen aegyptiacus Linnaeus, 1766;nijlgans;Aae
Ailanthus altissima (Mill.) Swingle;hemelboom;Aal
Aponogeton distachyos L.f.;Kaapse waterlelie;Ad
Asclepias syriaca L.;zijdeplant;As
Acridotheres tristis Linnaeus, 1766;treurmaina;At
Branta canadensis (Linnaeus, 1758);Canadese gans;Bc
Baccharis halimifolia L.;struikaster;Bh
Cabomba caroliniana Gray;waterwaaier;Cca
Cipangopaludina chinensis (J.E.Gray, 1833);Chinese moerasslak;Cch
Callosciurus erythraeus Pallas, 1779;Pallas' eekhoorn;Ce
Crassula helmsii (Kirk) Cockayne;watercrassula;Ch
Cervus nippon Temminck, 1838;sikahert;Cn
 Celastrus orbiculatus Thunb.;Aziatische boomwurger;Co
Cenchrus setaceus (Forssk.) Morrone;fraai lampenpoetsersgras;Cs
Elaeagnus angustifolia L.;smalle olijfwilg;Ea
Eichhornia crassipes (Martius) Solms;waterhyacint;Ec
Elodea densa (Planch.) Casp.;egeria;Ed
Erythranthe guttata (DC.) G.L.Nesom;gele maskerbloem;Eg
Elodea nuttallii (Planch.) St. John;smalle waterpest;En
Eriocheir sinensis H. Milne Edwards, 1854;Chinese wolhandkrab;Es
Elaphe taeniura (Cope, 1861);Chinese prachtslang;Et
Faxonius limosus Rafinesque, 1817;gevlekte Amerikaanse rivierkreeft;Fl
Faxonius virilis Hagen, 1870;geknobbelde Amerikaanse rivierkreeft;Fv
Gunnera tinctoria (Molina) Mirbel;gewone gunnera;Gt
Houttuynia cordata Thunb.;moerasanemoon;Hc
Heracleum mantegazzianum Sommier & Levier;reuzenberenklauw;Hm
Hydrocotyle ranunculoides L. f.;grote waternavel;Hr
Impatiens glandulifera Royle;reuzenbalsemien;Ig
Koenigia polystachya (Wall. ex Meisn.) T.M.Schust. & Reveal;Afghaanse duizendknoop;Kp
Lysichiton americanus Hultén & H. St. John;moerasaronskelk;La
Lycium barbarum L.;boksdoorn;Lb
Lithobates (Rana) catesbeianus Shaw, 1802;Amerikaanse stierkikker;Lc
Lepomis gibbosus Linnaeus, 1758;zonnebaars;Lgi
Ludwigia grandiflora (Michx.) Greuter & Burdet;grote waterteunisbloem;Lgr
Lagarosiphon major (Ridley) Moss;verspreidbladige waterpest;Lm
Ludwigia peploides (Kunth) P.H. Raven;kleine waterteunisbloem;Lp
Mahonia aquifolium (Pursh) Nutt.;mahonie;Maa
Misgurnus bipartitus (Sauvage & Dabry de Thiersant, 1874);Noord-Aziatische modderkruiper;Mb
Myocastor coypus Molina, 1782;beverrat;Mc
Myriophyllum heterophyllum Michaux;ongelijkbladig vederkruid;Mh
Muntiacus reevesi Ogilby, 1839;Chinese muntjak;Mr
Microstegium vimineum (Trin.) A. Camus;Japans steltgras;Mvim
Mustela vison Schreber, 1777;Amerikaanse nerts;Mvis
Myriophyllum aquaticum (Vell.) Verdc.;parelvederkruid;Mya
 Neogobius fluviatilis (Pallas, 1814);Pontische stroomgrondel;Nf
 Neogobius melanostomus (Pallas, 1814);zwartbekgrondel;Nm
Nyctereutes procyonoides Gray, 1834;wasbeerhond;Np
Oxyura jamaicensis Gmelin, 1789;rosse stekelstaart;Oj
Ondatra zibethicus Linnaeus, 1766;muskusrat;Oz
Procambarus acutus (Girard, 1852);gestreepte Amerikaanse rivierkreeft;Pa
Procambarus clarkii Girard, 1852;rode Amerikaanse rivierkreeft;Pcl
Pontederia cordata L.;moerashyacint;Pco
Parthenocissus inserta (A.Kern.) Fritsch;valse wingerd;Pi
Petasites japonicus (Siebold & Zucc.) Maxim.;Japans hoefblad;Pj
Ponticola kessleri (Günther, 1861);Kesslergrondel;Pk
Pacifastacus leniusculus Dana, 1852;Californische rivierkreeft;Plen
Pontastacus leptodactylus (Eschscholtz, 1823);Turkse rivierkreeft;Plep
Procyon lotor L., 1758;wasbeer;Plo
Pseudorasbora parva Temminck & Schlegel, 1846;blauwbandgrondel;Pp
Parthenocissus quinquefolia (L.) Planch.;vijfbladige wingerd;Pq
Proterorhinus semilunaris (Heckel, 1837);marmergrondel;Ps
Prunus serotina Ehrh.;Amerikaanse vogelkers;Pse
Pistia stratiotes L.;watersla;Pst
Procambarus virginalis Lyko, 2017;marmerkreeft;Pv
Reynoutria japonica Houtt.;invasieve duizendknopen;Rj
Rosa rugosa Thunb.;rimpelroos;Rr
Symphoricarpos albus (L.) K.Koch;sneeuwbes;Sa
 Solidago canadensis L.;Canadese guldenroede;Sc
Sciurus carolinensis Gmelin, 1788;grijze eekhoorn;Sca
Saururus cernuus L.;Leidse plant;Sce
 Solidago gigantea Aiton;late guldenroede;Sg
 Salvinia molesta D.S.Mitch.;grote vlotvaren;Sm
Sciurus niger L., 1758;Amerikaanse voseekhoorn;Sn
Threskiornis aethiopicus Latham, 1790;heilige ibis;Ta
Trachemys scripta Schoepff, 1792;lettersierschildpad;Tsc
Tamias sibiricus Laxmann, 1769;Siberische grondeekhoorn;Tsi
Umbra pygmaea (DeKay, 1842);Amerikaanse hondsvis;Up
Vespa velutina Lepeletier, 1836;Aziatische hoornaar (soort);Vv
Xenopus laevis (Daudin, 1802);Afrikaanse klauwkikker;Xl
Zizania latifolia (Griseb.) Hance ex F.Muell.;Mantsjoerese wilde rijst;Zl
