"";"Species";"Soort";"Lijst";"prius_gbif_code";"prius_scientificName";"union_gbif_code";"union_scientificName";"code_check";"prius_name_check";"prius_status_check";"union_status_check";"prius_deleted";"union_deleted";"issue"
"1";"Lampropeltis getula (Linnaeus, 1766)";"gewone koningsslang";"4";9799308;"Lampropeltis getula (Linnaeus, 1766)";5224480;"Lampropeltis getula (Blainville, 1835)";"FALSE";"TRUE";"ACCEPTED";"DOUBTFUL";"FALSE";"FALSE";"code_issue"
"2";"Eichhornia crassipes (Martius) Solms";"waterhyacint";"1";2765942;"Pontederia crassipes Mart.";2765940;"Eichhornia crassipes (Mart.) Solms";"FALSE";"FALSE";"ACCEPTED";"HOMOTYPIC_SYNONYM";"FALSE";"FALSE";"code_name_issue"
"3";"Heracleum persicum Fischer";"Perzische berenklauw";"1";3628745;"Heracleum persicum Desf.";8000520;"Heracleum persicum Desf. ex Fisch., C.A.Mey. & Avé-Lall.";"FALSE";"FALSE";"ACCEPTED";"SYNONYM";"FALSE";"FALSE";"code_name_issue"
"4";"Hydrocotyle ranunculoides L. f.";"grote waternavel";"1";3034613;"Hydrocotyle ranunculoides L.f.";7978544;"Hydrocotyle ranunculoides L.fil.";"FALSE";"FALSE";"ACCEPTED";"ACCEPTED";"TRUE";"FALSE";"code_name_issue"
"5";"Cabomba caroliniana Gray";"waterwaaier";"1";2882443;"Cabomba caroliniana A.Gray";2882443;"Cabomba caroliniana A.Gray";"TRUE";"FALSE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"name_issue"
"6";"Cortaderia jubata (Lemoine ex Carrière) Stapf";"hoog pampagras";"3";2704521;"Cortaderia jubata (Lemoine) Stapf";2704521;"Cortaderia jubata (Lemoine) Stapf";"TRUE";"FALSE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"name_issue"
"7";"Elodea nuttallii (Planch.) St. John";"smalle waterpest";"2";5329212;"Elodea nuttallii (Planch.) H.St.John";5329212;"Elodea nuttallii (Planch.) H.St.John";"TRUE";"FALSE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"name_issue"
"8";"Gunnera tinctoria (Molina) Mirbel";"gewone gunnera";"2";2984306;"Gunnera tinctoria (Molina) Mirb.";2984306;"Gunnera tinctoria (Molina) Mirb.";"TRUE";"FALSE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"name_issue"
"9";"Gymnocoronis spilanthoides (D.Don ex Hook. & Arn.) DC.";"smalle theeplant";"3";6063677;"Gymnocoronis spilanthoides DC.";6063677;"Gymnocoronis spilanthoides DC.";"TRUE";"FALSE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"name_issue"
"10";"Heracleum sosnowskyi Mandenova";"Sosnowsky's berenklauw";"1";3642949;"Heracleum sosnowskyi Manden.";3642949;"Heracleum sosnowskyi Manden.";"TRUE";"FALSE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"name_issue"
