"";"Species";"Soort";"Lijst";"prius_gbif_code";"prius_scientificName";"union_gbif_code";"union_scientificName";"code_check";"prius_name_check";"prius_status_check";"union_status_check";"prius_deleted";"union_deleted";"issue"
"11";"Lagarosiphon major (Ridley) Moss";"verspreidbladige waterpest";"1";2865565;"Lagarosiphon major (Ridl.) Moss";2865565;"Lagarosiphon major (Ridl.) Moss";"TRUE";"FALSE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"name_issue"
"12";"Ludwigia peploides (Kunth) P.H. Raven";"kleine waterteunisbloem";"1";5420991;"Ludwigia peploides (Kunth) P.H.Raven";5420991;"Ludwigia peploides (Kunth) P.H.Raven";"TRUE";"FALSE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"name_issue"
"13";"Lysichiton americanus Hultén & H. St. John";"moerasaronskelk";"1";2869311;"Lysichiton americanus Hultén & H.St.John";2869311;"Lysichiton americanus Hultén & H.St.John";"TRUE";"FALSE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"name_issue"
"14";"Microstegium vimineum (Trin.) A. Camus";"Japans steltgras";"2";5289808;"Microstegium vimineum (Trin.) A.Camus";5289808;"Microstegium vimineum (Trin.) A.Camus";"TRUE";"FALSE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"name_issue"
"15";"Myriophyllum heterophyllum Michaux";"ongelijkbladig vederkruid";"2";5361762;"Myriophyllum heterophyllum Michx.";5361762;"Myriophyllum heterophyllum Michx.";"TRUE";"FALSE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"name_issue"
"16";"Persicaria perfoliata (L.) H. Gross";"gestekelde duizendknoop";"1";4033648;"Persicaria perfoliata (L.) H.Gross";4033648;"Persicaria perfoliata (L.) H.Gross";"TRUE";"FALSE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"name_issue"
"17";"Polygonum perfoliatum L.";"gestekelde duizendknoop";"1";5334406;"Polygonum perfoliatum (L.) L.";5334406;"Polygonum perfoliatum (L.) L.";"TRUE";"FALSE";"HOMOTYPIC_SYNONYM";"HOMOTYPIC_SYNONYM";"FALSE";"FALSE";"name_issue"
"18";"Pueraria montana (Lour.) Merr. var. lobata (Willd.)";"kudzu";"1";2977647;"Pueraria montana var. lobata (Willd.) Maesen & S.M.Almeida ex Sanjappa & Predeep";2977647;"Pueraria montana var. lobata (Willd.) Maesen & S.M.Almeida ex Sanjappa & Predeep";"TRUE";"FALSE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"name_issue"
"19";"Salvinia molesta D.S.Mitch.";"grote vlotvaren";"3";5274863;"Salvinia ×molesta D.S.Mitch.";5274863;"Salvinia ×molesta D.S.Mitch.";"TRUE";"FALSE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"name_issue"
"20";"Acridotheres tristis Linnaeus, 1766";"treurmaina";"3";2489005;"Acridotheres tristis (Linnaeus, 1766)";2489005;"Acridotheres tristis (Linnaeus, 1766)";"TRUE";"FALSE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"name_issue"
"21";"Alopochen aegyptiacus Linnaeus, 1766";"nijlgans";"2";2498252;"Alopochen aegyptiaca (Linnaeus, 1766)";2498252;"Alopochen aegyptiaca (Linnaeus, 1766)";"TRUE";"FALSE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"name_issue"
"22";"Arthurdendyus triangulatus (Dendy, 1894) Jones & Gerard (1999)";"Nieuw-Zeelandse platworm";"3";2502792;"Arthurdendyus triangulatus (Dendy, 1895)";2502792;"Arthurdendyus triangulatus (Dendy, 1895)";"TRUE";"FALSE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"name_issue"
"23";"Callosciurus erythraeus Pallas, 1779";"Pallas' eekhoorn";"1";2437394;"Callosciurus erythraeus (Pallas, 1779)";2437394;"Callosciurus erythraeus (Pallas, 1779)";"TRUE";"FALSE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"name_issue"
"24";"Corvus splendens Viellot, 1817";"huiskraai";"1";2482499;"Corvus splendens Vieillot, 1817";2482499;"Corvus splendens Vieillot, 1817";"TRUE";"FALSE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"name_issue"
"25";"Eriocheir sinensis H. Milne Edwards, 1854";"Chinese wolhandkrab";"1";2225776;"Eriocheir sinensis H.Milne Edwards, 1853";2225776;"Eriocheir sinensis H.Milne Edwards, 1853";"TRUE";"FALSE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"name_issue"
"26";"Herpestes javanicus É. Geoffroy Saint-Hilaire, 1818";"Indische mangoeste";"1";2434271;"Herpestes javanicus (É.Geoffroy Saint-Hilaire, 1818)";2434271;"Herpestes javanicus (É.Geoffroy Saint-Hilaire, 1818)";"TRUE";"FALSE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"name_issue"
"27";"Lepomis gibbosus Linnaeus, 1758";"zonnebaars";"3";2394486;"Lepomis gibbosus (Linnaeus, 1758)";2394486;"Lepomis gibbosus (Linnaeus, 1758)";"TRUE";"FALSE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"name_issue"
"28";"Lithobates (Rana) catesbeianus Shaw, 1802";"Amerikaanse stierkikker";"1";2427091;"Lithobates catesbeianus (Shaw, 1802)";NA;NA;NA;"FALSE";"ACCEPTED";"NA";"FALSE";"NA";"name_issue"
"29";"Muntiacus reevesi Ogilby, 1839";"Chinese muntjak";"1";2440946;"Muntiacus reevesi (Ogilby, 1839)";2440946;"Muntiacus reevesi (Ogilby, 1839)";"TRUE";"FALSE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"name_issue"
"30";"Myocastor coypus Molina, 1782";"beverrat";"1";4264680;"Myocastor coypus (Molina, 1782)";4264680;"Myocastor coypus (Molina, 1782)";"TRUE";"FALSE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"name_issue"
"31";"Nasua nasua L., 1766";"rode neusbeer";"1";2433536;"Nasua nasua (Linnaeus, 1766)";2433536;"Nasua nasua (Linnaeus, 1766)";"TRUE";"FALSE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"name_issue"
"32";"Nyctereutes procyonoides Gray, 1834";"wasbeerhond";"2";2434552;"Nyctereutes procyonoides (Gray, 1834)";2434552;"Nyctereutes procyonoides (Gray, 1834)";"TRUE";"FALSE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"name_issue"
"33";"Ondatra zibethicus Linnaeus, 1766";"muskusrat";"2";5219858;"Ondatra zibethicus (Linnaeus, 1766)";5219858;"Ondatra zibethicus (Linnaeus, 1766)";"TRUE";"FALSE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"name_issue"
"34";"Orconectes limosus Rafinesque, 1817";"gevlekte Amerikaanse rivierkreeft";"1";2227000;"Orconectes limosus (Rafinesque, 1817)";2227000;"Orconectes limosus (Rafinesque, 1817)";"TRUE";"FALSE";"SYNONYM";"SYNONYM";"FALSE";"FALSE";"name_issue"
"35";"Faxonius limosus Rafinesque, 1817";"gevlekte Amerikaanse rivierkreeft";"1";8909595;"Faxonius limosus (Rafinesque, 1817)";8909595;"Faxonius limosus (Rafinesque, 1817)";"TRUE";"FALSE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"name_issue"
"36";"Orconectes virilis Hagen, 1870";"geknobbelde Amerikaanse rivierkreeft";"1";2227064;"Orconectes virilis (Hagen, 1870)";2227064;"Orconectes virilis (Hagen, 1870)";"TRUE";"FALSE";"SYNONYM";"SYNONYM";"FALSE";"FALSE";"name_issue"
"37";"Faxonius virilis Hagen, 1870";"geknobbelde Amerikaanse rivierkreeft";"1";8971201;"Faxonius virilis (Hagen, 1870)";8971201;"Faxonius virilis (Hagen, 1870)";"TRUE";"FALSE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"name_issue"
"38";"Oxyura jamaicensis Gmelin, 1789";"rosse stekelstaart";"1";2498305;"Oxyura jamaicensis (J.F.Gmelin, 1789)";2498305;"Oxyura jamaicensis (J.F.Gmelin, 1789)";"TRUE";"FALSE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"name_issue"
"39";"Pacifastacus leniusculus Dana, 1852";"Californische rivierkreeft";"1";2226990;"Pacifastacus leniusculus (Dana, 1852)";2226990;"Pacifastacus leniusculus (Dana, 1852)";"TRUE";"FALSE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"name_issue"
"40";"Procambarus clarkii Girard, 1852";"rode Amerikaanse rivierkreeft";"1";2227300;"Procambarus clarkii (Girard, 1852)";2227300;"Procambarus clarkii (Girard, 1852)";"TRUE";"FALSE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"name_issue"
"41";"Procambarus fallax (Hagen, 1870) f. virginalis";"marmerkreeft";"1";8879526;"Procambarus fallax f. virginalis Martin, Dorn, Kawai, van der Heiden & Scholtz, 2010";8879526;"Procambarus fallax f. virginalis Martin, Dorn, Kawai, van der Heiden & Scholtz, 2010";"TRUE";"FALSE";"SYNONYM";"SYNONYM";"FALSE";"FALSE";"name_issue"
"42";"Procyon lotor L., 1758";"wasbeer";"1";5218786;"Procyon lotor (Linnaeus, 1758)";5218786;"Procyon lotor (Linnaeus, 1758)";"TRUE";"FALSE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"name_issue"
"43";"Pseudorasbora parva Temminck & Schlegel, 1846";"blauwbandgrondel";"1";2362868;"Pseudorasbora parva (Temminck & Schlegel, 1846)";2362868;"Pseudorasbora parva (Temminck & Schlegel, 1846)";"TRUE";"FALSE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"name_issue"
"44";"Sciurus niger L., 1758";"Amerikaanse voseekhoorn";"1";5219683;"Sciurus niger Linnaeus, 1758";5219683;"Sciurus niger Linnaeus, 1758";"TRUE";"FALSE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"name_issue"
"45";"Tamias sibiricus Laxmann, 1769";"Siberische grondeekhoorn";"1";2437450;"Tamias sibiricus (Laxmann, 1769)";2437450;"Tamias sibiricus (Laxmann, 1769)";"TRUE";"FALSE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"name_issue"
"46";"Threskiornis aethiopicus Latham, 1790";"heilige ibis";"1";2480764;"Threskiornis aethiopicus (Latham, 1790)";2480764;"Threskiornis aethiopicus (Latham, 1790)";"TRUE";"FALSE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"name_issue"
"47";"Trachemys scripta Schoepff, 1792";"lettersierschildpad";"1";2443002;"Trachemys scripta (Thunberg In Schoepff, 1792)";2443002;"Trachemys scripta (Thunberg In Schoepff, 1792)";"TRUE";"FALSE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"name_issue"
"48";"Vespa velutina nigrithorax de Buysson, 1905";"Aziatische hoornaar (ondersoort)";"1";6247411;"Vespa velutina nigrithorax Buysson, 1905";6247411;"Vespa velutina nigrithorax Buysson, 1905";"TRUE";"FALSE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"name_issue"
"49";"Misgurnus bipartitus (Sauvage & Dabry de Thiersant, 1874)";"Noord-Aziatische modderkruiper";"ANB";2367911;"Misgurnus mohoity (Dybowski, 1869)";NA;NA;NA;"FALSE";"ACCEPTED";"NA";"FALSE";"NA";"name_issue"
"50";"Acacia saligna (Labill.) H.L.Wendl.";"wilgacacia";"3";2978552;"Acacia saligna (Labill.) H.L.Wendl.";2978552;"Acacia saligna (Labill.) H.L.Wendl.";"TRUE";"TRUE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"ok"
"51";"Acacia cyanophylla Lindl.";"wilgacacia";"3";2980328;"Acacia cyanophylla Lindl.";2980328;"Acacia cyanophylla Lindl.";"TRUE";"TRUE";"SYNONYM";"SYNONYM";"FALSE";"FALSE";"ok"
"52";"Ailanthus altissima (Mill.) Swingle";"hemelboom";"3";3190653;"Ailanthus altissima (Mill.) Swingle";3190653;"Ailanthus altissima (Mill.) Swingle";"TRUE";"TRUE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"ok"
"53";"Alternanthera philoxeroides (Mart.) Griseb.";"alligatorkruid";"2";3084923;"Alternanthera philoxeroides (Mart.) Griseb.";3084923;"Alternanthera philoxeroides (Mart.) Griseb.";"TRUE";"TRUE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"ok"
"54";"Andropogon virginicus L.";"Amerikaans bezemgras";"3";2706080;"Andropogon virginicus L.";2706080;"Andropogon virginicus L.";"TRUE";"TRUE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"ok"
"55";"Asclepias syriaca L.";"zijdeplant";"2";3170247;"Asclepias syriaca L.";3170247;"Asclepias syriaca L.";"TRUE";"TRUE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"ok"
"56";"Baccharis halimifolia L.";"struikaster";"1";3129663;"Baccharis halimifolia L.";3129663;"Baccharis halimifolia L.";"TRUE";"TRUE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"ok"
"57";"Cardiospermum grandiflorum Sw.";"ballonrank";"3";3189935;"Cardiospermum grandiflorum Sw.";3189935;"Cardiospermum grandiflorum Sw.";"TRUE";"TRUE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"ok"
"58";"Ehrharta calycina Sm.";"roze rimpelgras";"3";2702865;"Ehrharta calycina Sm.";2702865;"Ehrharta calycina Sm.";"TRUE";"TRUE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"ok"
"59";"Heracleum mantegazzianum Sommier & Levier";"reuzenberenklauw";"2";3034825;"Heracleum mantegazzianum Sommier & Levier";3034825;"Heracleum mantegazzianum Sommier & Levier";"TRUE";"TRUE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"ok"
"60";"Humulus scandens (Lour.) Merr.";"oosterse hop";"3";2984537;"Humulus scandens (Lour.) Merr.";2984537;"Humulus scandens (Lour.) Merr.";"TRUE";"TRUE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"ok"
"61";"Impatiens glandulifera Royle";"reuzenbalsemien";"2";2891770;"Impatiens glandulifera Royle";2891770;"Impatiens glandulifera Royle";"TRUE";"TRUE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"ok"
"62";"Lespedeza cuneata (Dum.Cours.) G.Don";"Chinese struikklaver";"3";8114276;"Lespedeza cuneata (Dum.Cours.) G.Don";8114276;"Lespedeza cuneata (Dum.Cours.) G.Don";"TRUE";"TRUE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"ok"
"63";"Lespedeza juncea var. sericea (Thunb.) Lace & Hauech";"Chinese struikklaver";"3";2955720;"Lespedeza juncea var. sericea (Thunb.) Lace & Hauech";2955720;"Lespedeza juncea var. sericea (Thunb.) Lace & Hauech";"TRUE";"TRUE";"SYNONYM";"SYNONYM";"FALSE";"FALSE";"ok"
"64";"Ludwigia grandiflora (Michx.) Greuter & Burdet";"grote waterteunisbloem";"1";5421039;"Ludwigia grandiflora (Michx.) Greuter & Burdet";5421039;"Ludwigia grandiflora (Michx.) Greuter & Burdet";"TRUE";"TRUE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"ok"
"65";"Lygodium japonicum (Thunb.) Sw.";"Japanse klimvaren";"3";2650436;"Lygodium japonicum (Thunb.) Sw.";2650436;"Lygodium japonicum (Thunb.) Sw.";"TRUE";"TRUE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"ok"
"66";"Myriophyllum aquaticum (Vell.) Verdc.";"parelvederkruid";"1";5361785;"Myriophyllum aquaticum (Vell.) Verdc.";5361785;"Myriophyllum aquaticum (Vell.) Verdc.";"TRUE";"TRUE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"ok"
"67";"Parthenium hysterophorus L.";"schijnambrosia";"1";3086784;"Parthenium hysterophorus L.";3086784;"Parthenium hysterophorus L.";"TRUE";"TRUE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"ok"
"68";"Prosopis juliflora (Sw.) DC.";"mesquite";"3";5358460;"Prosopis juliflora (Sw.) DC.";5358460;"Prosopis juliflora (Sw.) DC.";"TRUE";"TRUE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"ok"
"69";"Pueraria lobata (Willd.) Ohwi";"kudzu";"1";2977654;"Pueraria lobata (Willd.) Ohwi";2977654;"Pueraria lobata (Willd.) Ohwi";"TRUE";"TRUE";"SYNONYM";"SYNONYM";"FALSE";"FALSE";"ok"
"70";"Salvinia adnata Desv.";"grote vlotvaren";"3";5579439;"Salvinia adnata Desv.";5579439;"Salvinia adnata Desv.";"TRUE";"TRUE";"SYNONYM";"SYNONYM";"FALSE";"FALSE";"ok"
"71";"Triadica sebifera (L.) Small";"talgboom";"3";3054399;"Triadica sebifera (L.) Small";3054399;"Triadica sebifera (L.) Small";"TRUE";"TRUE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"ok"
"72";"Sapium sebiferum (L.) Roxb.";"talgboom";"3";7748792;"Sapium sebiferum (L.) Roxb.";7748792;"Sapium sebiferum (L.) Roxb.";"TRUE";"TRUE";"SYNONYM";"SYNONYM";"FALSE";"FALSE";"ok"
"73";"Perccottus glenii Dybowski, 1877";"amoergrondel";"1";2390064;"Perccottus glenii Dybowski, 1877";2390064;"Perccottus glenii Dybowski, 1877";"TRUE";"TRUE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"ok"
"74";"Plotosus lineatus (Thunberg, 1787)";"gestreepte koraalmeerval";"3";7965247;"Plotosus lineatus (Thunberg, 1787)";7965247;"Plotosus lineatus (Thunberg, 1787)";"TRUE";"TRUE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"ok"
"75";"Procambarus virginalis Lyko, 2017";"marmerkreeft";"1";9442269;"Procambarus virginalis Lyko, 2017";9442269;"Procambarus virginalis Lyko, 2017";"TRUE";"TRUE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"ok"
"76";"Sciurus carolinensis Gmelin, 1788";"grijze eekhoorn";"1";5219681;"Sciurus carolinensis Gmelin, 1788";5219681;"Sciurus carolinensis Gmelin, 1788";"TRUE";"TRUE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"ok"
"77";"Ameiurus melas (Rafinesque, 1820)";"zwarte dwergmeerval";"4";2340977;"Ameiurus melas (Rafinesque, 1820)";2340977;"Ameiurus melas (Rafinesque, 1820)";"TRUE";"TRUE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"ok"
"78";"Axis axis (Erxleben, 1777)";"axishert";"4";2440934;"Axis axis (Erxleben, 1777)";2440934;"Axis axis (Erxleben, 1777)";"TRUE";"TRUE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"ok"
"79";"Callosciurus finlaysonii (Horsfield, 1823)";"Thailandeekhoorn";"4";2437399;"Callosciurus finlaysonii (Horsfield, 1823)";2437399;"Callosciurus finlaysonii (Horsfield, 1823)";"TRUE";"TRUE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"ok"
"80";"Celastrus orbiculatus Thunb.";"Aziatische boomwurger";"4";3169169;"Celastrus orbiculatus Thunb.";3169169;"Celastrus orbiculatus Thunb.";"TRUE";"TRUE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"ok"
"81";"Channa argus (Cantor, 1842)";"noordelijke slangekopvis";"4";4284921;"Channa argus (Cantor, 1842)";4284921;"Channa argus (Cantor, 1842)";"TRUE";"TRUE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"ok"
"82";"Faxonius rusticus (Girard, 1852)";"roestbruine Amerikaanse rivierkreeft";"4";8979506;"Faxonius rusticus (Girard, 1852)";8979506;"Faxonius rusticus (Girard, 1852)";"TRUE";"TRUE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"ok"
"83";"Fundulus heteroclitus (Linnaeus, 1766)";"mummichog";"4";5712056;"Fundulus heteroclitus (Linnaeus, 1766)";5712056;"Fundulus heteroclitus (Linnaeus, 1766)";"TRUE";"TRUE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"ok"
"84";"Gambusia affinis (Baird & Girard, 1853)";"westelijk muskietenvisje";"4";2350580;"Gambusia affinis (Baird & Girard, 1853)";2350580;"Gambusia affinis (Baird & Girard, 1853)";"TRUE";"TRUE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"ok"
"85";"Gambusia holbrooki Girard, 1859";"oostelijk muskietenvisje";"4";2350570;"Gambusia holbrooki Girard, 1859";2350570;"Gambusia holbrooki Girard, 1859";"TRUE";"TRUE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"ok"
"86";"Hakea sericea Schrad. & J.C.Wendl.";"hakea";"4";7287606;"Hakea sericea Schrad. & J.C.Wendl.";7287606;"Hakea sericea Schrad. & J.C.Wendl.";"TRUE";"TRUE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"ok"
"87";"Koenigia polystachya (Wall. ex Meisn.) T.M.Schust. & Reveal";"Afghaanse duizendknoop";"4";8848208;"Koenigia polystachya (Wall. ex Meisn.) T.M.Schust. & Reveal";8848208;"Koenigia polystachya (Wall. ex Meisn.) T.M.Schust. & Reveal";"TRUE";"TRUE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"ok"
"88";"Limnoperna fortunei (Dunker, 1857)";"gouden mossel";"4";5855350;"Limnoperna fortunei (Dunker, 1857)";5855350;"Limnoperna fortunei (Dunker, 1857)";"TRUE";"TRUE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"ok"
"89";"Morone americana (Gmelin, 1789)";"Amerikaanse baars";"4";2394604;"Morone americana (Gmelin, 1789)";2394604;"Morone americana (Gmelin, 1789)";"TRUE";"TRUE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"ok"
"90";"Pistia stratiotes L.";"watersla";"4";2870583;"Pistia stratiotes L.";2870583;"Pistia stratiotes L.";"TRUE";"TRUE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"ok"
"91";"Pycnonotus cafer (Linnaeus, 1766)";"roodbuikbuulbuul";"4";2486131;"Pycnonotus cafer (Linnaeus, 1766)";2486131;"Pycnonotus cafer (Linnaeus, 1766)";"TRUE";"TRUE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"ok"
"92";"Rugulopteryx okamurae (E.Y.Dawson) I.K.Hwang, W.J.Lee & H.S.Kim, 2009";"stomp gaffelwier";"4";5824863;"Rugulopteryx okamurae (E.Y.Dawson) I.K.Hwang, W.J.Lee & H.S.Kim, 2009";5824863;"Rugulopteryx okamurae (E.Y.Dawson) I.K.Hwang, W.J.Lee & H.S.Kim, 2009";"TRUE";"TRUE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"ok"
"93";"Solenopsis geminata (Fabricius, 1804)";"tropische vuurmier";"4";5035187;"Solenopsis geminata (Fabricius, 1804)";5035187;"Solenopsis geminata (Fabricius, 1804)";"TRUE";"TRUE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"ok"
"94";"Solenopsis invicta Buren, 1972";"rode vuurmier";"4";5035230;"Solenopsis invicta Buren, 1972";5035230;"Solenopsis invicta Buren, 1972";"TRUE";"TRUE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"ok"
"95";"Solenopsis richteri Forel, 1909";"zwarte vuurmier";"4";5035017;"Solenopsis richteri Forel, 1909";5035017;"Solenopsis richteri Forel, 1909";"TRUE";"TRUE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"ok"
"96";"Wasmannia auropunctata (Roger, 1863)";"dwergvuurmier";"4";1315391;"Wasmannia auropunctata (Roger, 1863)";1315391;"Wasmannia auropunctata (Roger, 1863)";"TRUE";"TRUE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"ok"
"97";"Xenopus laevis (Daudin, 1802)";"Afrikaanse klauwkikker";"4";5217334;"Xenopus laevis (Daudin, 1802)";5217334;"Xenopus laevis (Daudin, 1802)";"TRUE";"TRUE";"ACCEPTED";"ACCEPTED";"FALSE";"FALSE";"ok"
"98";"Cenchrus setaceus (Forssk.) Morrone";"fraai lampenpoetsersgras";"2";5828232;"Cenchrus setaceus (Forssk.) Morrone";NA;NA;NA;"TRUE";"ACCEPTED";"NA";"FALSE";"NA";NA
"99";"Vespa velutina Lepeletier, 1836";"Aziatische hoornaar (soort)";"1";1311477;"Vespa velutina Lepeletier, 1836";NA;NA;NA;"TRUE";"ACCEPTED";"NA";"FALSE";"NA";NA
"100";"Ambrosia artemisiifolia L.";"alsemambrosia";"ANB";8002952;"Ambrosia artemisiifolia L.";NA;NA;NA;"TRUE";"ACCEPTED";"NA";"FALSE";"NA";NA
