"groep","GBIF_code","soort","species","naam_Unielijst","naam_Unielijst_lijst","Unielijst","lijst_rip","lijst_dun","lijst_vad","lijst_hoc","marien","brakwater","zoetwater","terrestrisch","natuur","volksgezondheid","veiligheid","infrastructuur","socioeconomisch","aanwezig_VL","hokken_VL","hokken_N2000","percent_in_N2000","percent_in_HRL","percent_in_VRL","promille_van_N2000","promille_van_HRL","promille_van_VRL","toename_VL","toename_N2000","WA","NL","DE","FR","LU","UK","prius_groep"
"dier",5217334,"Afrikaanse klauwkikker","Xenopus laevis","Xenopus laevis (Daudin, 1802)",4,4,0,0,0,0,0,0,1,0,1,0,0,0,0,"sporadisch",12,2,16.7,16.7,0,0.5,0.6,0,"onvoldoende data","onvoldoende data","sporadisch","sporadisch","sporadisch","sporadisch","afwezig","sporadisch","REL-AAN-SPO"
"dier",2394604,"Amerikaanse baars","Morone americana","Morone americana (Gmelin, 1789)",4,4,0,0,0,0,1,1,1,0,1,0,0,0,1,"afwezig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"afwezig","afwezig","afwezig","afwezig","afwezig","afwezig","IRR"
"dier",5218823,"Amerikaanse nerts","Mustela vison","Neogale vison (Schreber, 1777)",5,5,0,0,0,0,0,0,1,1,1,0,0,0,0,"sporadisch",45,22,48.9,44.4,24.4,5.3,5.8,6,"niet opkomend","onvoldoende data","afwezig","sporadisch","aanwezig","sporadisch","afwezig","aanwezig","REL-AAN-SPO"
"dier",2437282,"Amerikaanse rode eekhoorn","Tamiasciurus hudsonicus",NA,NA,0,0,0,0,1,0,0,0,1,1,1,0,0,0,"sporadisch",16,4,25,25,0,1,1.2,0,"onvoldoende data","onvoldoende data","sporadisch","aanwezig","sporadisch","afwezig","afwezig","afwezig","REL-AAN-SPO"
"dier",2427091,"Amerikaanse stierkikker","Lithobates catesbeianus","Lithobates (Rana) catesbeianus Shaw, 1802",1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,"aanwezig",177,89,50.3,48,10.2,21.4,24.8,9.9,"opkomend","opkomend","sporadisch","sporadisch","aanwezig","sporadisch","afwezig","sporadisch","REL-AAN-GEV-VER-NAT"
"dier",2286388,"Amerikaanse strandschelp","Mulinia lateralis","Mulinia lateralis (Say, 1822)",5,5,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IRR"
"dier",5219683,"Amerikaanse voseekhoorn","Sciurus niger","Sciurus niger Linnaeus, 1758",1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,"sporadisch",1,0,0,0,0,0,0,0,"onvoldoende data","onvoldoende data","sporadisch","sporadisch","afwezig","afwezig","afwezig","afwezig","REL-AAN-SPO"
"dier",9225458,"Amynthas agrestis","Amynthas agrestis",NA,NA,0,0,0,0,1,0,0,0,1,1,0,0,0,1,"afwezig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"afwezig","afwezig","afwezig","afwezig","afwezig","afwezig","REL-AFW"
"dier",9711540,"Perichaeta tokioensis","Perichaeta tokioensis",NA,NA,0,0,0,0,1,0,0,0,1,1,0,0,0,1,"afwezig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"afwezig","afwezig","afwezig","afwezig","afwezig","afwezig","REL-AFW"
"dier",1311477,"Aziatische hoornaar","Vespa velutina","Vespa velutina nigrithorax de Buysson, 1905",1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,"aanwezig",11934,3432,28.8,24.3,11.4,824,847.7,745.2,"opkomend","niet opkomend","aanwezig","aanwezig","aanwezig","aanwezig","aanwezig","sporadisch","REL-AAN-GEV-VER-BUI"
"dier",2367919,"Aziatische modderkruiper","Misgurnus anguillicaudatus","Misgurnus anguillicaudatus (Cantor, 1842)",5,5,0,0,0,0,0,1,1,0,1,0,0,0,0,"afwezig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"afwezig","afwezig","sporadisch","afwezig","afwezig","afwezig","REL-AFW"
"dier",1319870,"Aziatische naaldmier","Pachycondyla chinensis","Brachyponera chinensis (Emery, 1895)",5,5,0,0,0,0,0,0,0,1,1,1,0,1,1,"afwezig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"afwezig","afwezig","sporadisch","afwezig","afwezig","afwezig","REL-AFW"
"dier",5871429,"Aziatische reuzenhoornaar","Vespa mandarinia","Vespa mandarinia Smith, 1852",5,5,0,0,0,0,0,0,0,1,1,1,1,0,1,"afwezig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"afwezig","afwezig","afwezig","afwezig","afwezig","afwezig","REL-AFW"
"dier",1651430,"Aziatische tijgermug","Aedes albopictus",NA,NA,0,0,0,0,1,0,0,0,1,0,1,1,0,1,"sporadisch",17,3,17.6,11.8,11.8,0.7,0.6,1.1,"opkomend","onvoldoende data","sporadisch","sporadisch","aanwezig","aanwezig","sporadisch","afwezig","IRR"
"dier",2226990,"Californische rivierkreeft","Pacifastacus leniusculus","Pacifastacus leniusculus Dana, 1852",1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,"sporadisch",2,0,0,0,0,0,0,0,"onvoldoende data","onvoldoende data","aanwezig","aanwezig","aanwezig","aanwezig","aanwezig","aanwezig","REL-AAN-SPO"
"dier",2439838,"Canadese bever","Castor canadensis","Castor canadensis Kuhl, 1820",5,5,0,0,0,0,0,0,1,1,1,0,0,1,1,"afwezig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"afwezig","afwezig","sporadisch","afwezig","sporadisch","afwezig","REL-AFW"
"dier",5232437,"Canadese gans","Branta canadensis",NA,NA,0,0,0,0,1,0,0,1,1,1,0,0,1,1,"aanwezig",8506,2961,34.8,28.4,16.3,710.9,705.1,760,"opkomend","opkomend","aanwezig","aanwezig","aanwezig","aanwezig","aanwezig","aanwezig","REL-AAN-GEV-VER-BUI"
"dier",2440946,"Chinese muntjak","Muntiacus reevesi","Muntiacus reevesi Ogilby, 1839",1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,"aanwezig",156,53,34,30.8,12.2,12.7,14,10.4,"niet opkomend","niet opkomend","aanwezig","sporadisch","sporadisch","sporadisch","afwezig","aanwezig","REL-AAN-GEV-VER-BUI"
"dier",5220435,"Chinese weekschildpad","Pelodiscus sinensis",NA,NA,0,0,0,0,1,0,0,1,0,1,0,0,0,0,"sporadisch",2,1,50,50,50,0.2,0.3,0.5,"onvoldoende data","onvoldoende data","afwezig","afwezig","sporadisch","sporadisch","afwezig","aanwezig","REL-AAN-SPO"
"dier",2225776,"Chinese wolhandkrab","Eriocheir sinensis","Eriocheir sinensis H. Milne Edwards, 1854",1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,"aanwezig",991,465,46.9,40.3,23.2,111.6,116.6,126,"opkomend","opkomend","aanwezig","aanwezig","aanwezig","aanwezig","sporadisch","aanwezig","REL-AAN-GEV-VER-BUI"
"dier",9738098,"Cipangopaludina chinensis","Cipangopaludina chinensis","Cipangopaludina chinensis (Gray 1834)",5,5,0,0,0,0,0,0,1,0,1,0,0,0,1,"aanwezig",28,16,57.1,57.1,3.6,3.8,4.7,0.5,"onduidelijk","opkomend","aanwezig","aanwezig","afwezig","afwezig","afwezig","sporadisch","REL-AAN-GEV-BEP"
"dier",2434271,"Indische mangoeste","Herpestes javanicus","Herpestes javanicus É. Geoffroy Saint-Hilaire, 1818",1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,"afwezig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"afwezig","afwezig","afwezig","afwezig","afwezig","afwezig","REL-AFW"
"dier",8721209,"Kentuckyrivierkreeft","Faxonius juvenilis",NA,NA,0,1,0,0,0,0,0,1,0,1,0,0,1,1,"afwezig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"afwezig","afwezig","afwezig","sporadisch","afwezig","afwezig","REL-AFW"
"dier",9565801,"Perichaeta hilgendorfi","Perichaeta hilgendorfi",NA,NA,0,0,0,0,1,0,0,0,1,1,0,0,0,1,"afwezig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"afwezig","afwezig","afwezig","afwezig","afwezig","afwezig","REL-AFW"
"dier",5892137,"Nieuw-Guinese landplatworm","Platydemus manokwari","Platydemus manokwari de Beauchamp, 1963",5,5,0,0,0,0,0,0,0,1,1,0,0,0,1,"afwezig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"afwezig","afwezig","afwezig","afwezig","afwezig","afwezig","REL-AFW"
"dier",2502792,"Nieuw-Zeelandse platworm","Arthurdendyus triangulatus","Arthurdendyus triangulatus (Dendy, 1894) Jones & Gerard (1999)",3,3,0,0,0,0,0,0,0,1,1,0,0,0,1,"afwezig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"afwezig","afwezig","afwezig","afwezig","afwezig","sporadisch","REL-AFW"
"dier",5187508,"Noord-Atlantische zeester","Asterias amurensis","Asterias amurensis Lutken, 1871",5,5,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IRR"
"dier",2367911,"Noord-Aziatische modderkruiper","Misgurnus mohoity","Misgurnus bipartitus (Sauvage & Dabry de Thiersant, 1874)",5,5,0,0,0,0,0,0,1,0,1,0,0,0,0,"aanwezig",29,24,82.8,34.5,82.8,5.8,2.9,13.2,"potentieel opkomend","potentieel opkomend","afwezig","aanwezig","afwezig","afwezig","afwezig","afwezig","REL-AAN-GEV-BEP"
"dier",2437394,"Pallas' eekhoorn","Callosciurus erythraeus","Callosciurus erythraeus Pallas, 1779",1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,"sporadisch",2,1,50,50,50,0.2,0.3,0.5,"niet opkomend","onvoldoende data","afwezig","sporadisch","afwezig","afwezig","afwezig","afwezig","REL-AAN-SPO"
"dier",2227231,"Procambarus zonangulus","Procambarus zonangulus",NA,NA,0,0,0,0,1,0,0,1,0,1,0,0,1,1,"afwezig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"afwezig","afwezig","afwezig","afwezig","afwezig","afwezig","REL-AFW"
"dier",2437450,"Siberische grondeekhoorn","Tamias sibiricus","Tamias sibiricus Laxmann, 1769 (Eutamias sibiricus (Laxmann, 1769))",5,1,0,0,0,0,0,0,0,1,1,0,0,0,0,"aanwezig",54,38,70.4,64.8,25.9,9.1,10.2,7.7,"opkomend","opkomend","aanwezig","aanwezig","sporadisch","aanwezig","afwezig","sporadisch","REL-AAN-GEV-BEP"
"dier",2437399,"Thailandeekhoorn","Callosciurus finlaysonii","Callosciurus finlaysonii (Horsfield, 1823)",4,4,0,0,0,0,0,0,0,1,1,0,0,1,0,"afwezig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sporadisch","afwezig","afwezig","afwezig","afwezig","afwezig","REL-AFW"
"dier",8946295,"Turkse rivierkreeft","Pontastacus leptodactylus",NA,NA,0,0,0,0,1,0,0,1,0,1,0,0,1,1,"sporadisch",19,5,26.3,15.8,10.5,1.2,0.9,1.1,"opkomend","onvoldoende data","aanwezig","aanwezig","sporadisch","sporadisch","sporadisch","sporadisch","REL-AAN-SPO"
