"acceptedTaxonKey";"acceptedScientificName";"year_begin";"year_end";"gbif_download_key";"gbif_download_created";"project"
5035230;"Solenopsis invicta Buren, 1972";"1971";"2025";"0013680-260108223611665";"2026-01-16 08:52:55";"PrIUS2"
8701771;"Obama nungara Carbayo, Alvarez-Presas, Jones & Riutort, 2016";"1971";"2025";"0013680-260108223611665";"2026-01-16 08:52:55";"PrIUS2"
2440946;"Muntiacus reevesi (Ogilby, 1839)";"1971";"2025";"0013680-260108223611665";"2026-01-16 08:52:55";"PrIUS2"
5712056;"Fundulus heteroclitus (Linnaeus, 1766)";"1971";"2025";"0013680-260108223611665";"2026-01-16 08:52:55";"PrIUS2"
2437282;"Tamiasciurus hudsonicus (Erxleben, 1777)";"1971";"2025";"0013680-260108223611665";"2026-01-16 08:52:55";"PrIUS2"
2394604;"Morone americana (Gmelin, 1789)";"1971";"2025";"0013680-260108223611665";"2026-01-16 08:52:55";"PrIUS2"
2479407;"Myiopsitta monachus (Boddaert, 1783)";"1971";"2025";"0013680-260108223611665";"2026-01-16 08:52:55";"PrIUS2"
7965247;"Plotosus lineatus (Thunberg, 1787)";"1971";"2025";"0013680-260108223611665";"2026-01-16 08:52:55";"PrIUS2"
5855350;"Limnoperna fortunei (Dunker, 1857)";"1971";"2025";"0013680-260108223611665";"2026-01-16 08:52:55";"PrIUS2"
9225458;"Amynthas agrestis (Goto & Hatai, 1899)";"1971";"2025";"0013680-260108223611665";"2026-01-16 08:52:55";"PrIUS2"
5871429;"Vespa mandarinia Smith, 1852";"1971";"2025";"0013680-260108223611665";"2026-01-16 08:52:55";"PrIUS2"
2882443;"Cabomba caroliniana A.Gray";"1971";"2025";"0013680-260108223611665";"2026-01-16 08:52:55";"PrIUS2"
5361762;"Myriophyllum heterophyllum Michx.";"1971";"2025";"0013680-260108223611665";"2026-01-16 08:52:55";"PrIUS2"
3084923;"Alternanthera philoxeroides (Mart.) Griseb.";"1971";"2025";"0013680-260108223611665";"2026-01-16 08:52:55";"PrIUS2"
2367919;"Misgurnus anguillicaudatus (Cantor, 1842)";"1971";"2025";"0013680-260108223611665";"2026-01-16 08:52:55";"PrIUS2"
