"","species","N_occ","N_occ_in_N2000","share_in_N2000","share_in_HRL","share_in_VRL","%_in_N2000","%_in_HRL","%_in_VRL","share_of_N2000","share_of_HRL","share_of_VRL","‰_of_N2000","‰_of_HRL","‰_of_VRL"
"1","hemelboom",541,143,0.264325323475046,0.240295748613678,0.0961182994454713,26.4,24,9.6,0.0112262521588946,0.0109852966030083,0.00556090257726446,11.2,11,5.6
"2","zijdeplant",31,10,0.32258064516129,0.32258064516129,0.0645161290322581,32.3,32.3,6.5,0.000785052598524101,0.000845022815616022,0.000213880868356326,0.8,0.8,0.2
"3","struikaster",112,76,0.678571428571429,0.660714285714286,0.383928571428571,67.9,66.1,38.4,0.00596639974878317,0.00625316883555856,0.004598438669661,6,6.3,4.6
"4","waterwaaier",13,4,0.307692307692308,0.307692307692308,0,30.8,30.8,0,0.00031402103940964,0.000338009126246409,0,0.3,0.3,0
"5","waterhyacint",13,6,0.461538461538462,0.384615384615385,0.230769230769231,46.2,38.5,23.1,0.000471031559114461,0.000422511407808011,0.000320821302534488,0.5,0.4,0.3
"6","smalle waterpest",456,271,0.594298245614035,0.493421052631579,0.320175438596491,59.4,49.3,32,0.0212749254200031,0.0190130133513605,0.0156133033900118,21.3,19,15.6
"7","gewone gunnera",10,3,0.3,0.3,0.1,30,30,10,0.00023551577955723,0.000253506844684806,0.000106940434178163,0.2,0.3,0.1
"8","reuzenberenklauw",2015,715,0.354838709677419,0.320099255583127,0.122084367245658,35.5,32,12.2,0.0561312607944732,0.0545039716072334,0.026307346807828,56.1,54.5,26.3
"9","grote waternavel",402,171,0.425373134328358,0.328358208955224,0.236318407960199,42.5,32.8,23.6,0.0134243994347621,0.0111543011661315,0.0101593412469255,13.4,11.2,10.2
"10","reuzenbalsemien",3047,1254,0.411552346570397,0.37807679684936,0.159172957006892,41.2,37.8,15.9,0.0984455958549223,0.0973466283589657,0.0518661105764089,98.4,97.3,51.9
"11","verspreidbladige waterpest",23,7,0.304347826086957,0.260869565217391,0.173913043478261,30.4,26.1,17.4,0.000549536818966871,0.000507013689369613,0.000427761736712651,0.5,0.5,0.4
"12","grote waterteunisbloem",413,224,0.542372881355932,0.435835351089588,0.288135593220339,54.2,43.6,28.8,0.0175851782069399,0.0152104106810884,0.0127259116672014,17.6,15.2,12.7
"13","kleine waterteunisbloem",14,8,0.571428571428571,0.285714285714286,0.5,57.1,28.6,50,0.000628042078819281,0.000338009126246409,0.000748583039247139,0.6,0.3,0.7
"14","moerasaronskelk",44,23,0.522727272727273,0.477272727272727,0.227272727272727,52.3,47.7,22.7,0.00180562097660543,0.00177454791279365,0.00106940434178163,1.8,1.8,1.1
"15","Japans steltgras",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","parelvederkruid",376,197,0.523936170212766,0.460106382978723,0.223404255319149,52.4,46,22.3,0.0154655361909248,0.0146188947101572,0.00898299647096567,15.5,14.6,9
"17","ongelijkbladig vederkruid",57,27,0.473684210526316,0.473684210526316,0.0701754385964912,47.4,47.4,7,0.00211964201601507,0.00228156160216326,0.000427761736712651,2.1,2.3,0.4
"18","fraai lampenpoetsersgras",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","treurmaina",4,1,0.25,0.25,0,25,25,0,7.85052598524101e-05,8.45022815616022e-05,0,0.1,0.1,0
"20","nijlgans",7994,2774,0.34701025769327,0.289592194145609,0.160370277708281,34.7,29,16,0.217773590830586,0.195622781815109,0.137097636616405,217.8,195.6,137.1
"21","Pallas' eekhoorn",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","Chinese wolhandkrab",546,287,0.525641025641026,0.45970695970696,0.287545787545788,52.6,46,28.8,0.0225310095776417,0.0212100726719621,0.0167896481659716,22.5,21.2,16.8
"23","zonnebaars",321,176,0.548286604361371,0.507788161993769,0.271028037383178,54.8,50.8,27.1,0.0138169257340242,0.0137738718945412,0.00930381777350016,13.8,13.8,9.3
"24","Amerikaanse stierkikker",87,51,0.586206896551724,0.540229885057471,0.126436781609195,58.6,54,12.6,0.00400376825247292,0.0039716072333953,0.00117634477595979,4,4,1.2
"25","Chinese muntjak",114,36,0.315789473684211,0.263157894736842,0.105263157894737,31.6,26.3,10.5,0.00282618935468676,0.00253506844684806,0.00128328521013795,2.8,2.5,1.3
"26","beverrat",69,43,0.623188405797101,0.623188405797101,0.289855072463768,62.3,62.3,29,0.00337572617365363,0.00363359810714889,0.00213880868356326,3.4,3.6,2.1
"27","wasbeerhond",1,1,1,1,0,100,100,0,7.85052598524101e-05,8.45022815616022e-05,0,0.1,0.1,0
"28","muskusrat",1648,500,0.303398058252427,0.239684466019417,0.158980582524272,30.3,24,15.9,0.0392526299262051,0.0333784012168329,0.0280183937546786,39.3,33.4,28
"29","gevlekte rivierkreeft",205,98,0.478048780487805,0.439024390243902,0.190243902439024,47.8,43.9,19,0.00769351546553619,0.00760520534054419,0.00417067693294835,7.7,7.6,4.2
"30","rosse stekelstaart",95,53,0.557894736842105,0.252631578947368,0.442105263157895,55.8,25.3,44.2,0.00416077877217774,0.00202805475747845,0.00449149823548284,4.2,2,4.5
"31","Californische rivierkreeft",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","rode rivierkreeft",162,79,0.487654320987654,0.308641975308642,0.339506172839506,48.8,30.9,34,0.0062019155283404,0.00422511407808011,0.00588172387979895,6.2,4.2,5.9
"33","marmerkreeft",13,4,0.307692307692308,0.307692307692308,0,30.8,30.8,0,0.00031402103940964,0.000338009126246409,0,0.3,0.3,0
"34","wasbeer",81,44,0.54320987654321,0.530864197530864,0.185185185185185,54.3,53.1,18.5,0.00345423143350604,0.00363359810714889,0.00160410651267244,3.5,3.6,1.6
"35","blauwbandgrondel",413,177,0.428571428571429,0.348668280871671,0.232445520581114,42.9,34.9,23.2,0.0138954309938766,0.0121683285448707,0.0102662816811036,13.9,12.2,10.3
"36","grijze eekhoorn",7,2,0.285714285714286,0,0.285714285714286,28.6,0,28.6,0.00015701051970482,0,0.000213880868356326,0.2,0,0.2
"37","Amerikaanse voseekhoorn",2,1,0.5,0.5,0.5,50,50,50,7.85052598524101e-05,8.45022815616022e-05,0.000106940434178163,0.1,0.1,0.1
"38","Siberische grondeekhoorn",33,28,0.848484848484849,0.848484848484849,0.303030303030303,84.8,84.8,30.3,0.00219814727586748,0.00236606388372486,0.00106940434178163,2.2,2.4,1.1
"39","heilige ibis",112,70,0.625,0.5,0.455357142857143,62.5,50,45.5,0.00549536818966871,0.00473212776744972,0.0054539621430863,5.5,4.7,5.5
"40","lettersierschildpad",747,304,0.406961178045515,0.376171352074967,0.160642570281124,40.7,37.6,16.1,0.0238655989951327,0.0237451411188102,0.0128328521013795,23.9,23.7,12.8
"41","Aziatische hoornaar (soort)",3852,959,0.248961578400831,0.232866043613707,0.0685358255451713,24.9,23.3,6.9,0.0752865441984613,0.0757985465607571,0.028232274623035,75.3,75.8,28.2
"42","Aziatische boomwurger",1,1,1,1,0,100,100,0,7.85052598524101e-05,8.45022815616022e-05,0,0.1,0.1,0
"43","Afghaanse duizendknoop",40,19,0.475,0.475,0.15,47.5,47.5,15,0.00149159993719579,0.00160554334967044,0.000641642605068977,1.5,1.6,0.6
"44","watersla",32,15,0.46875,0.46875,0.15625,46.9,46.9,15.6,0.00117757889778615,0.00126753422342403,0.000534702170890814,1.2,1.3,0.5
"45","Afrikaanse klauwkikker",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","alsemambrosia",709,207,0.291960507757405,0.259520451339915,0.136812411847673,29.2,26,13.7,0.0162505887894489,0.0155484198073348,0.0103732221152818,16.3,15.5,10.4
"47","watercrassula",488,264,0.540983606557377,0.42827868852459,0.30327868852459,54.1,42.8,30.3,0.0207253886010363,0.0176609768463749,0.0158271842583681,20.7,17.7,15.8
"48","invasieve duizendknopen",4231,1574,0.372016071850626,0.330181990073269,0.150319073505082,37.2,33,15,0.123567279007694,0.118049687341558,0.0680141161373115,123.6,118,68
"49","Aziatische tijgermug",5,1,0.2,0,0.2,20,0,20,7.85052598524101e-05,0,0.000106940434178163,0.1,0,0.1
"50","Canadese gans",6314,2363,0.374247703515996,0.309629394995249,0.179125752296484,37.4,31,17.9,0.185507929031245,0.165201960452932,0.120949631055502,185.5,165.2,120.9
"51","Amerikaanse nerts",30,16,0.533333333333333,0.466666666666667,0.266666666666667,53.3,46.7,26.7,0.00125608415763856,0.00118303194186243,0.000855523473425302,1.3,1.2,0.9
"52","Noord-Aziatische modderkruiper",1,1,1,0,1,100,0,100,7.85052598524101e-05,0,0.000106940434178163,0.1,0,0.1
