speciesKey;unique_cells;Soort
1311477;3852;Aziatische hoornaar (soort)
2225776;546;Chinese wolhandkrab
2226990;1;Californische rivierkreeft
2227300;162;rode rivierkreeft
2362868;413;blauwbandgrondel
2367911;1;Noord-Aziatische modderkruiper
2394486;321;zonnebaars
2427091;87;Amerikaanse stierkikker
2434552;1;wasbeerhond
2437394;1;Pallas' eekhoorn
2437450;33;Siberische grondeekhoorn
2440946;114;Chinese muntjak
2443002;747;lettersierschildpad
2480764;112;heilige ibis
2489005;4;treurmaina
2498252;7994;nijlgans
2498305;95;rosse stekelstaart
2765942;13;waterhyacint
2865565;23;verspreidbladige waterpest
2869311;44;moerasaronskelk
2870583;32;watersla
2882443;13;waterwaaier
2889088;91;invasieve duizendknopen
2889173;4176;invasieve duizendknopen
2891770;3047;reuzenbalsemien
2984306;10;gewone gunnera
3034613;402;grote waternavel
3034825;2015;reuzenberenklauw
3129663;112;struikaster
3169169;1;Aziatische boomwurger
3170247;31;zijdeplant
3190653;541;hemelboom
4038485;59;invasieve duizendknopen
4264680;69;beverrat
5217334;2;Afrikaanse klauwkikker
5218786;81;wasbeer
5218823;30;Amerikaanse nerts
5219681;7;grijze eekhoorn
5219683;2;Amerikaanse voseekhoorn
5219858;1648;muskusrat
5232437;6314;Canadese gans
5289808;1;Japans steltgras
5329212;456;smalle waterpest
5361762;57;ongelijkbladig vederkruid
5361785;376;parelvederkruid
5362054;488;watercrassula
5420991;14;kleine waterteunisbloem
5421039;413;grote waterteunisbloem
5828232;2;fraai lampenpoetsersgras
8002952;709;alsemambrosia
8848208;40;Afghaanse duizendknoop
8909595;205;gevlekte rivierkreeft
9442269;13;marmerkreeft
