"","species","% in Natura2000","% in habitat","% in spa","bezet Natura2000","bezet habitat","bezet spa"
"1","hemelboom",0.224096385542169,0.209638554216867,0.0795180722891566,0.00730098916627414,0.00735169849585939,0.00352903432787937
"2","zijdeplant",0.4,0.4,0.08,0.000785052598524101,0.000845022815616022,0.000213880868356326
"3","struikaster",0.688172043010753,0.666666666666667,0.408602150537634,0.00502433663055425,0.00523914145681933,0.00406373649877018
"4","waterwaaier",0.555555555555556,0.555555555555556,0,0.000392526299262051,0.000422511407808011,0
"5","waterhyacint",0.545454545454545,0.454545454545455,0.181818181818182,0.000471031559114461,0.000422511407808011,0.000213880868356326
"6","smalle waterpest",0.734006734006734,0.643097643097643,0.407407407407407,0.0171141466478254,0.016139935778266,0.0129397925355577
"7","gewone gunnera",0,0,0,0,0,0
"8","reuzenberenklauw",0.385315139701105,0.348927875243665,0.13190383365822,0.0465536190924792,0.0453777251985804,0.021708908138167
"9","grote waternavel",0.459302325581395,0.331395348837209,0.27906976744186,0.0062019155283404,0.00481663004901132,0.00513314084055181
"10","reuzenbalsemien",0.425784238714614,0.392884468247896,0.167176740627391,0.0873763542157324,0.0867838431637654,0.0467329697358571
"11","verspreidbladige waterpest",0.210526315789474,0.157894736842105,0.105263157894737,0.00031402103940964,0.000253506844684806,0.000213880868356326
"12","grote waterteunisbloem",0.597087378640777,0.495145631067961,0.325242718446602,0.00965614696184644,0.00861923271928342,0.00716500908993691
"13","kleine waterteunisbloem",0.583333333333333,0.25,0.5,0.000549536818966871,0.000253506844684806,0.000641642605068977
"14","moerasaronskelk",0.428571428571429,0.428571428571429,0.0714285714285714,0.000471031559114461,0.000507013689369613,0.000106940434178163
"15","parelvederkruid",0.567164179104478,0.507462686567164,0.242537313432836,0.0119327994975663,0.0114923102923779,0.00695112822158058
"16","ongelijkbladig vederkruid",0.46,0.44,0.1,0.00180562097660543,0.00185905019435525,0.000534702170890814
"17","treurmaina",0.5,0.5,0,7.85052598524101e-05,8.45022815616022e-05,0
"18","nijlgans",0.35189701897019,0.293089430894309,0.165311653116531,0.203878159836709,0.182778435017745,0.130467329697359
"19","Pallas' eekhoorn",0,0,0,0,0,0
"20","Chinese wolhandkrab",0.524896265560166,0.466804979253112,0.29045643153527,0.0198618307426598,0.0190130133513605,0.0149716607849428
"21","zonnebaars",0.543307086614173,0.503937007874016,0.240157480314961,0.0108337258596326,0.0108162920398851,0.00652336648486793
"22","Amerikaanse stierkikker",0.602564102564103,0.576923076923077,0.102564102564103,0.00368974721306328,0.0038026026702721,0.000855523473425302
"23","Chinese muntjak",0.304347826086957,0.260869565217391,0.104347826086957,0.00274768409483435,0.00253506844684806,0.00128328521013795
"24","beverrat",0.65625,0.65625,0.3125,0.00164861045690061,0.00177454791279365,0.00106940434178163
"25","wasbeerhond",1,1,0,7.85052598524101e-05,8.45022815616022e-05,0
"26","muskusrat",0.305921052631579,0.244243421052632,0.159539473684211,0.0292039566650966,0.0250971776237958,0.0207464442305636
"27","gevlekte rivierkreeft",0.482758620689655,0.431034482758621,0.224137931034483,0.00659444182760245,0.00633767111712016,0.00417067693294835
"28","rosse stekelstaart",0.538461538461538,0.230769230769231,0.428571428571429,0.0038467577327681,0.00177454791279365,0.00417067693294835
"29","Californische rivierkreeft",0,0,0,0,0,0
"30","rode rivierkreeft",0.5,0.285714285714286,0.357142857142857,0.00494583137070184,0.00304208213621768,0.00481231953801732
"31","marmerkreeft",0.222222222222222,0.222222222222222,0,0.00015701051970482,0.000169004563123204,0
"32","wasbeer",0.450980392156863,0.450980392156863,0.117647058823529,0.00180562097660543,0.00194355247591685,0.000641642605068977
"33","blauwbandgrondel",0.43558282208589,0.358895705521472,0.233128834355828,0.0111477468990422,0.00988676694270745,0.00812747299754037
"34","grijze eekhoorn",0.4,0,0.4,0.00015701051970482,0,0.000213880868356326
"35","Amerikaanse voseekhoorn",0.5,0.5,0.5,7.85052598524101e-05,8.45022815616022e-05,0.000106940434178163
"36","Siberische grondeekhoorn",0.838709677419355,0.838709677419355,0.32258064516129,0.00204113675616266,0.00219705932060166,0.00106940434178163
"37","heilige ibis",0.63963963963964,0.522522522522523,0.468468468468468,0.00557387344952112,0.00490113233057293,0.00556090257726446
"38","lettersierschildpad",0.40633608815427,0.37603305785124,0.162534435261708,0.023159051656461,0.0230691228663174,0.0126189712330232
"39","Afghaanse duizendknoop",0.411764705882353,0.411764705882353,0.147058823529412,0.00109907363793374,0.00118303194186243,0.000534702170890814
"40","watersla",0.52,0.52,0.16,0.00102056837808133,0.00109852966030083,0.000427761736712651
"41","alsemambrosia",0.279197080291971,0.251824817518248,0.12043795620438,0.0120113047574187,0.0116613148555011,0.00705806865575874
"42","watercrassula",0.55919395465995,0.45088161209068,0.309823677581864,0.017428167687235,0.0151259083995268,0.013153673403914
"43","'invasieve duizendknopen'",0.379404534280251,0.340617317672767,0.147227533460803,0.109043805934998,0.105374345107318,0.0576408940220297
"44","Aziatische tijgermug",0.25,0,0.25,7.85052598524101e-05,0,0.000106940434178163
"45","Canadese gans",0.385660247592847,0.319463548830812,0.185178817056396,0.176087297848956,0.157005239141457,0.115174847609881
"46","Amerikaanse nerts",0.478260869565217,0.434782608695652,0.217391304347826,0.000863557858376511,0.000845022815616022,0.000534702170890814
